in,Node
1,1428
2,494
3,456
4,1232
5,1365
6,2501
7,1267
8,486
9,2828
10,454
11,1185
12,2787
13,1921
14,1359
15,2743
16,1350
17,450
18,1919
19,2504
20,1919
21,2708
22,2439
23,2548
24,2377
25,2398
26,995
27,1264
28,1264
29,2827
30,478
31,1188
32,2623
33,926
34,2469
35,1189
36,2421
37,1189
38,630
39,1185
40,453
41,2829
42,2580
43,1202
44,451
45,468
46,1233
47,1285
48,452
49,1215
50,2787
51,1189
52,1278
53,575
54,2373
55,1183
56,1921
57,1253
58,2595
59,769
60,2580
61,1042
62,2472
63,933
64,469
65,1157
66,1215
67,2520
68,1919
69,489
70,491
71,458
72,485
73,624
74,1179
75,2571
76,742
77,1266
78,1364
79,1145
80,496
81,2474
82,2466
83,2352
84,461
85,479
86,1264
87,1359
88,458
89,451
90,1948
91,1279
92,1329
93,2387
94,914
95,2626
96,2743
97,629
98,2747
99,1266
100,1929
101,737
102,455
103,2479
104,2623
105,2623
106,1278
107,2775
108,1186
109,1250
110,484
111,2631
112,494
113,430
114,1244
115,1168
116,593
117,2525
118,744
119,2665
120,2439
121,2370
122,484
123,2431
124,2655
125,2369
126,2623
127,432
128,1213
129,1212
130,482
131,483
132,482
133,482
134,482
135,482
136,482
137,483
138,1266
139,432
140,1290
141,2504
142,456
143,1887
144,748
145,2469
146,429
147,2427
148,558
149,2434
150,1264
151,1190
152,581
153,585
154,1208
155,451
156,763
157,2460
158,449
159,482
160,1210
161,1186
162,2469
163,466
164,1264
165,465
166,1168
167,2459
168,457
169,1256
170,2394
171,445
172,608
173,437
174,1442
175,471
176,351
177,424
178,1920
179,490
180,961
181,1220
182,1220
183,2481
184,1235
185,2497
186,1153
187,2628
188,478
189,2572
190,757
191,431
192,784
193,2785
194,1266
195,2532
196,428
197,454
198,818
199,1188
200,481
201,1247
202,1938
203,1218
204,607
205,2582
206,1948
207,573
208,1421
209,2829
210,1339
211,1223
212,1172
213,2785
214,612
215,2755
216,350
217,454
218,2507
219,629
220,2467
221,2476
222,2663
223,1350
224,1256
225,2658
226,1211
227,481
228,1214
229,1938
230,466
231,2515
232,562
233,2495
234,458
235,2557
236,1190
237,1244
238,2498
239,1250
240,1190
241,432
242,2756
243,578
244,1231
245,764
246,493
247,2471
248,1280
249,585
250,1363
251,1163
252,1278
253,1186
254,1157
255,2520
256,476
257,465
258,469
259,2387
260,2438
261,2597
262,644
263,2394
264,2567
265,483
266,1258
267,1241
268,2667
269,2711
270,2459
271,1353
272,481
273,1240
274,586
275,1176
276,2434
277,2401
278,449
279,1123
280,2456
281,1236
282,1314
283,2441
284,1244
285,1979
286,2839
287,789
288,1438
289,489
290,961
291,1189
292,590
293,1185
294,2438
295,1197
296,1237
297,427
298,476
299,2517
300,2780
301,470
302,751
303,840
304,1220
305,2829
306,2592
307,2473
308,998
309,961
310,1143
311,2456
312,1945
313,489
314,2548
315,2389
316,1242
317,1324
318,1245
319,587
320,450
321,472
322,2440
323,1947
324,1258
325,2390
326,1329
327,1214
328,2508
329,813
330,1233
331,2391
332,458
333,1925
334,449
335,2834
336,458
337,2503
338,446
339,469
340,1248
341,483
342,1157
343,1186
344,2470
345,360
346,2868
347,431
348,471
349,461
350,1239
351,1921
352,1256
353,2421
354,458
355,2622
356,2481
357,1277
358,2435
359,2546
360,581
361,1379
362,471
363,456
364,2577
365,1944
366,1353
367,1250
368,618
369,2497
370,1244
371,1972
372,925
373,1277
374,1256
375,471
376,2787
377,2424
378,876
379,1320
380,1354
381,2831
382,561
383,2561
384,2566
385,1239
386,1166
387,946
388,1184
389,562
390,461
391,2662
392,469
393,460
394,2400
395,1258
396,2427
397,426
398,1215
399,813
