in,x,y,q,tc,tr,te,tl
498,-21.166,7.728,3.0,0.051000000000000004,8.045884997178462,8.045884997178462,20.0
499,-15.34,9.403,3.0,0.051000000000000004,8.05390646333809,8.05390646333809,20.0
500,-9.296,-3.951,3.0,0.051000000000000004,8.148719089877837,8.148719089877837,20.0
501,-10.739,18.213,3.0,0.051000000000000004,8.230860693750197,8.230860693750197,20.0
502,-18.195,12.989,3.0,0.051000000000000004,8.260269099699627,8.260269099699627,20.0
503,-1.682,1.033,3.0,0.051000000000000004,8.349954890086039,8.349954890086039,20.0
504,-11.682,8.519,3.0,0.051000000000000004,8.378414471220559,8.378414471220559,20.0
505,-1.807,-8.896,3.0,0.051000000000000004,8.42071028574139,8.42071028574139,20.0
506,-11.467,12.773,3.0,0.051000000000000004,8.474958600119386,8.474958600119386,20.0
507,-2.064,-7.733,3.0,0.051000000000000004,8.534864468842326,8.534864468842326,20.0
508,-7.319,-5.157,3.0,0.051000000000000004,8.557321787762334,8.557321787762334,20.0
509,2.073,-1.566,3.0,0.051000000000000004,8.561686624922528,8.561686624922528,20.0
510,-11.07,13.374,3.0,0.051000000000000004,8.574244917605984,8.574244917605984,20.0
511,-2.168,-8.292,3.0,0.051000000000000004,8.575639022345122,8.575639022345122,20.0
512,-11.899,-4.282,3.0,0.051000000000000004,8.758213152442954,8.758213152442954,20.0
513,-20.901,14.501,3.0,0.051000000000000004,8.845331456295245,8.845331456295245,20.0
514,0.296,-6.948,3.0,0.051000000000000004,8.926742470066735,8.926742470066735,20.0
515,-0.93,-18.129,3.0,0.051000000000000004,9.05684442608789,9.05684442608789,20.0
516,-2.712,-0.527,3.0,0.051000000000000004,9.106199758684795,9.106199758684795,20.0
517,-15.458,11.53,3.0,0.051000000000000004,9.171930245014167,9.171930245014167,20.0
518,-0.611,-6.061,3.0,0.051000000000000004,9.20656942541552,9.20656942541552,20.0
519,-2.143,-4.233,3.0,0.051000000000000004,9.230576859055647,9.230576859055647,20.0
520,-0.679,-7.245,3.0,0.051000000000000004,9.359318655330753,9.359318655330753,20.0
521,-16.981,6.555,3.0,0.051000000000000004,9.489484173011721,9.489484173011721,20.0
522,-11.934,1.776,3.0,0.051000000000000004,9.602096063813475,9.602096063813475,20.0
