in,x,y,q,tc,tr,te,tl
2,-17.385,17.104,3.0,0.051000000000000004,8.0,8.0,20.0
3,-15.424,8.977,3.0,0.051000000000000004,8.0,8.0,20.0
4,-0.425,1.091,3.0,0.051000000000000004,8.0,8.0,20.0
5,0.226,4.845,3.0,0.051000000000000004,8.0,8.0,20.0
6,-0.426,-2.449,3.0,0.051000000000000004,8.0,8.0,20.0
7,-2.871,0.266,3.0,0.051000000000000004,8.0,8.0,20.0
8,-14.774,13.699,3.0,0.051000000000000004,8.0,8.0,20.0
9,2.155,3.332,3.0,0.051000000000000004,8.0,8.0,20.0
10,-19.313,9.46,3.0,0.051000000000000004,8.0,8.0,20.0
11,-2.11,-4.782,3.0,0.051000000000000004,8.0,8.0,20.0
12,-2.578,14.595,3.0,0.051000000000000004,8.0,8.0,20.0
13,3.093,-1.384,3.0,0.051000000000000004,8.0,8.0,20.0
14,-1.095,0.959,3.0,0.051000000000000004,8.0,8.0,20.0
15,0.668,4.362,3.0,0.051000000000000004,8.0,8.0,20.0
16,-2.085,-0.097,3.0,0.051000000000000004,8.0,8.0,20.0
17,-19.566,10.311,3.0,0.051000000000000004,8.0,8.0,20.0
18,-10.882,13.293,3.0,0.051000000000000004,8.0,8.0,20.0
19,2.841,-0.533,3.0,0.051000000000000004,8.0,8.0,20.0
20,-8.145,10.687,3.0,0.051000000000000004,8.0,8.0,20.0
21,-11.411,17.772,3.0,0.051000000000000004,8.0,8.0,20.0
22,-10.991,10.402,3.0,0.051000000000000004,8.0,8.0,20.0
23,-22.117,8.691,3.0,0.051000000000000004,8.0,8.0,20.0
24,-2.964,-15.294,3.0,0.051000000000000004,8.0,8.0,20.0
25,-0.796,-4.278,3.0,0.051000000000000004,8.0,8.0,20.0
26,-0.408,-4.543,3.0,0.051000000000000004,8.0,8.0,20.0
27,2.36,2.781,3.0,0.051000000000000004,8.0,8.0,20.0
28,-16.887,12.493,3.0,0.051000000000000004,8.0,8.0,20.0
29,-2.609,-4.55,3.0,0.051000000000000004,8.0,8.0,20.0
30,-8.034,16.83,3.0,0.051000000000000004,8.0,8.0,20.0
31,-8.586,-0.909,3.0,0.051000000000000004,8.0,8.0,20.0
32,-11.566,12.098,3.0,0.051000000000000004,8.0,8.0,20.0
33,-1.935,-2.324,3.0,0.051000000000000004,8.0,8.0,20.0
34,-8.323,6.669,3.0,0.051000000000000004,8.0,8.0,20.0
35,-0.346,-17.557,3.0,0.051000000000000004,8.0,8.0,20.0
36,-2.231,-4.9,3.0,0.051000000000000004,8.0,8.0,20.0
37,-16.729,8.706,3.0,0.051000000000000004,8.0,8.0,20.0
38,3.654,5.733,3.0,0.051000000000000004,8.0,8.0,20.0
39,-9.392,13.712,3.0,0.051000000000000004,8.0,8.0,20.0
40,-4.233,-1.017,3.0,0.051000000000000004,8.0,8.0,20.0
