in,Node
1,1428
2,456
3,1232
4,1364
5,2503
6,2743
7,1267
8,1231
9,486
10,2828
11,1176
12,454
13,2787
14,1921
15,1359
16,1317
17,449
18,2504
19,1919
20,2440
21,2548
22,2377
23,2398
24,995
25,1265
26,1264
27,2827
28,478
29,1186
30,2629
31,932
32,2469
33,1189
34,2404
35,1189
36,629
37,1185
38,454
39,2834
40,2521
41,1218
42,451
43,468
44,1177
45,466
46,2655
47,1284
48,452
49,1232
50,1216
51,2786
52,1189
53,1278
54,575
55,2377
56,1183
57,2664
58,1921
59,1252
60,2595
61,360
62,1042
63,2472
64,934
65,469
66,1157
67,2452
68,1187
69,2525
70,2443
71,1918
72,489
73,491
74,458
75,485
76,629
77,2571
78,742
79,1320
80,1365
81,1047
82,496
83,2474
84,2466
85,2360
86,2358
87,476
88,1264
89,1359
90,458
91,451
92,1948
93,1369
94,1329
95,2387
96,914
97,2628
98,2380
99,629
100,2748
101,1266
102,1441
103,777
104,455
105,2479
106,2623
107,1290
108,2775
109,1186
110,611
111,1250
112,483
113,2631
114,429
115,1242
116,1168
117,593
118,2525
119,744
120,2665
121,2437
122,1354
123,2392
124,483
125,2431
126,2655
127,2445
128,2393
129,2623
130,436
131,1232
132,1218
133,482
134,482
135,482
136,482
137,482
138,482
139,483
140,1266
141,449
142,1369
143,2498
144,456
145,1887
146,747
147,2500
148,429
149,2427
150,559
151,2401
152,1254
153,1197
154,458
155,581
156,585
157,1208
158,451
159,2460
160,449
161,1210
162,1186
163,2389
164,466
165,1264
166,466
167,1168
168,2602
169,457
170,1252
171,2342
172,447
173,611
174,437
175,471
176,1341
177,351
178,424
179,486
180,961
181,1220
182,1222
183,2482
184,2497
185,1153
186,2567
187,483
188,802
189,1232
190,2434
191,763
192,431
193,784
194,2785
195,1259
196,508
197,432
198,451
199,818
200,1188
201,481
202,1243
203,1946
204,1218
205,618
206,2435
207,1948
208,563
209,1421
210,2829
211,1300
212,1172
213,2785
214,609
215,2755
216,343
217,454
218,2513
219,612
220,2467
221,2476
222,1351
223,1256
224,2659
225,1211
226,361
227,481
228,1214
229,1946
230,466
231,2518
232,562
233,2496
234,2557
235,1190
236,1244
237,2498
238,1250
239,432
240,2756
241,578
242,1213
243,764
244,494
245,2470
246,1280
247,1165
248,1278
249,1187
250,1249
251,2525
252,476
253,465
254,469
255,2387
256,2597
257,644
258,2628
259,489
260,1257
261,1248
262,2711
263,2459
264,1354
265,481
266,805
267,1150
268,586
269,2433
270,2401
271,449
272,1355
273,2456
274,1236
275,1230
276,2441
277,960
278,1185
279,2835
280,2836
281,349
282,789
283,1437
284,483
285,472
286,961
287,1189
288,457
289,747
290,1183
291,2438
292,1197
293,1237
294,476
295,2504
296,2621
297,436
298,748
299,840
300,1220
301,2829
302,2834
303,2604
304,2476
305,1010
306,1194
307,1147
308,2456
309,1945
310,489
311,2561
312,2389
313,1242
314,1328
315,1244
316,591
317,451
318,472
319,2440
320,1948
321,1258
322,2388
323,1322
324,1209
325,2485
326,814
327,1233
328,2391
329,458
330,1925
331,469
332,2834
333,2749
334,2503
335,446
336,449
337,1190
338,1248
339,483
340,1163
341,1177
342,2470
343,2343
344,2868
345,481
346,459
347,1238
348,1924
349,1254
350,2421
351,490
352,1265
353,2436
354,2544
355,581
356,1345
357,456
358,2749
359,2655
360,2572
361,1945
362,2435
363,2435
364,1245
365,620
366,2497
367,1948
368,1244
369,1979
370,936
371,1277
372,1256
373,471
374,2792
375,2424
376,884
377,814
378,1320
379,1354
380,2831
381,561
382,2561
383,2562
384,1150
385,1166
386,1222
387,946
388,1238
389,548
390,461
391,2660
392,469
393,459
394,2740
395,1250
396,2400
397,1258
398,2427
399,442
400,1223
401,813
402,2425
403,1939
404,2664
405,2476
406,925
407,482
408,1142
409,465
410,430
411,1182
412,1332
413,2457
414,1926
415,2394
416,849
417,1947
418,1258
419,458
420,1924
421,2831
422,1371
423,1364
424,2442
425,1236
426,2523
427,2595
428,1352
429,1155
430,2525
431,2436
432,478
433,2427
434,2752
435,1926
436,2427
437,1925
438,1363
439,741
440,1194
441,2387
442,1248
443,1280
444,471
445,426
446,2595
447,481
448,2401
449,1211
450,487
451,2553
452,1224
453,2499
454,1163
455,925
456,1186
457,2655
458,877
459,747
460,432
461,1168
462,577
463,1225
464,1177
465,1183
466,1948
467,2835
468,930
469,449
470,1430
471,1916
472,484
473,1220
474,2596
475,959
476,1134
477,2471
478,2385
479,609
480,2377
481,1177
482,1167
483,1972
484,2775
485,2575
486,1245
487,1254
488,352
489,1920
490,2584
491,2401
492,2780
493,1148
494,1182
495,1914
496,561
497,1226
498,2657
499,1216
500,2471
501,2716
502,2582
503,452
504,1157
505,1332
506,1342
507,2567
508,562
509,481
510,1009
511,350
512,1354
513,480
514,1277
515,2831
516,1258
517,428
518,561
519,449
520,2457
521,2385
522,642
523,1201
524,1188
525,1145
526,1113
527,1084
528,1196
529,1374
530,469
531,1189
532,493
533,499
534,1290
535,2829
536,489
537,2521
538,1173
539,1231
540,2548
541,2387
542,1166
543,2568
544,460
545,482
546,1183
547,596
548,467
549,2564
550,1157
551,1167
552,1278
553,2377
554,1939
555,474
556,1187
557,1210
558,1235
559,609
560,1168
561,2344
562,1147
563,2501
564,2775
565,2403
566,2567
567,2642
568,1164
569,452
570,1359
571,2465
572,1188
573,2401
574,1132
575,1235
576,1167
577,1216
578,495
579,2520
580,2497
581,813
582,746
583,2843
584,2562
585,817
586,2548
587,2400
588,2401
589,2661
590,1198
591,1920
592,1187
593,2467
594,1175
595,1940
596,1181
597,1259
598,2525
599,450
600,1359
601,2420
602,483
603,2433
604,2596
605,1249
606,1265
607,1248
608,452
609,2399
610,2440
611,1202
612,2391
613,1236
614,995
615,483
616,1909
617,477
618,1359
619,442
620,2717
621,2476
622,772
623,1329
624,482
625,471
626,470
627,2709
628,465
