in,x,y,q,tc,tr,te,tl
4,-2.262,14.598,1.78,0.029670000000000002,8,8,20
5,-2.1,15.168,1.68,0.027999999999999997,8,8,20
6,-1.614,14.055,1.55,0.025830000000000002,8,8,20
7,-2.239,14.243,1.32,0.022000000000000002,8,8,20
8,-2.008,14.037,1.23,0.020499999999999997,8,8,20
9,-1.007,13.859,1.59,0.0265,8,8,20
10,-2.33,13.45,1.51,0.025169999999999998,8,8,20
11,-5.76,12.221,1.1300000000000001,0.01883,8,8,20
12,-5.258,11.607,1.9100000000000001,0.03183,8,8,20
13,-5.48,11.171,0.77,0.01283,8,8,20
14,-4.835,13.285,1.8,0.03,8,8,20
15,-3.113,15.549,1.1,0.01833,8,8,20
16,-3.085,14.868,2.19,0.0365,8,8,20
17,-4.012,15.024,1.72,0.02867,8,8,20
18,-5.146,15.666,1.71,0.0285,8,8,20
19,-5.831,14.453,1.67,0.02783,8,8,20
20,-3.713,14.218,0.99,0.0165,8,8,20
21,-3.14,14.354,1.76,0.02933,8,8,20
22,-7.948,16.161,2.27,0.03783,8,8,20
23,-8.64,15.75,3.13,0.052169999999999994,8,8,20
24,-8.291,15.543,3.36,0.055999999999999994,8,8,20
25,-6.934,16.52,2.0100000000000002,0.0335,8,8,20
26,-9.29,16.466,3.14,0.052329999999999995,8,8,20
27,-9.032,15.951,3.9,0.065,8,8,20
28,-8.111,16.662,2.8000000000000003,0.046669999999999996,8,8,20
29,-10.044,15.766,4.34,0.07232999999999999,8,8,20
30,-9.405,15.44,1.45,0.024169999999999997,8,8,20
31,-9.621,15.618,1.28,0.021330000000000002,8,8,20
32,-10.242,15.121,2.74,0.04567,8,8,20
33,-10.344,14.551,1.6400000000000001,0.02733,8,8,20
34,-10.012,14.905,2.83,0.04717,8,8,20
35,-9.845,14.324,1.9000000000000001,0.03167,8,8,20
36,-9.458,14.665,2.74,0.04567,8,8,20
37,-9.657,14.49,2.48,0.04133,8,8,20
38,-9.242,15.22,2.99,0.04983,8,8,20
39,-8.408,14.304,1.55,0.025830000000000002,8,8,20
40,-8.88,14.809,2.96,0.04933,8,8,20
41,-9.306,13.706,2.0300000000000002,0.03383,8,8,20
42,-9.572,13.658,1.56,0.026000000000000002,8,8,20
43,-9.118,13.872,3.63,0.0605,8,8,20
44,-8.919,14.047,2.2,0.03667,8,8,20
45,-10.844,19.149,2.17,0.03617,8,8,20
46,-9.987,18.869,2.34,0.039,8,8,20
47,-8.933,18.705,2.2,0.03667,8,8,20
48,-9.077,17.781,2.72,0.04533,8,8,20
49,-9.637,17.824,2.0300000000000002,0.03383,8,8,20
50,-9.91,17.587,4.72,0.07867,8,8,20
51,-10.725,17.814,2.21,0.03683,8,8,20
52,-11.124,18.413,2.2600000000000002,0.03767,8,8,20
53,-11.782,18.935,2.71,0.04517,8,8,20
54,-10.455,18.129,1.2,0.02,8,8,20
55,-10.656,18.315,3.09,0.051500000000000004,8,8,20
56,-13.209,19.028,3.85,0.06417,8,8,20
57,-11.871,18.01,2.97,0.0495,8,8,20
58,-15.243,18.271,1.74,0.028999999999999998,8,8,20
59,-12.575,17.705,2.62,0.04367,8,8,20
60,-14.56,17.293,1.2,0.02,8,8,20
61,-14.481,16.453,1.43,0.02383,8,8,20
62,-15.338,16.67,2.04,0.034,8,8,20
63,-13.747,16.746,2.33,0.03883,8,8,20
64,-13.736,15.998,1.44,0.024,8,8,20
65,-11.558,16.921,2.7,0.045,8,8,20
66,-11.834,16.656,1.6600000000000001,0.02767,8,8,20
67,-11.036,17.542,2.09,0.03483,8,8,20
68,-11.252,17.229,4.95,0.0825,8,8,20
69,-16.46,15.968,1.05,0.0175,8,8,20
70,-17.225,16.048,1.36,0.02267,8,8,20
71,-16.364,16.46,1.67,0.02783,8,8,20
72,-16.705,17.005,1.09,0.01817,8,8,20
73,-18.739,16.482,4.33,0.07217,8,8,20
74,-17.599,16.92,1.5,0.025,8,8,20
75,-17.89,16.079,1.06,0.017669999999999998,8,8,20
76,-11.978,15.82,1.17,0.0195,8,8,20
77,-12.625,15.839,1.4000000000000001,0.023330000000000004,8,8,20
78,-12.966,15.408,1.22,0.02033,8,8,20
