in,x,y,q,tc,tr,te,tl
2,-17.594,16.654,3.0,0.051000000000000004,8.0,8.0,20.0
3,-15.289,8.948,3.0,0.051000000000000004,8.0,8.0,20.0
4,-0.451,0.959,3.0,0.051000000000000004,8.0,8.0,20.0
5,-10.309,12.469,3.0,0.051000000000000004,8.0,8.0,20.0
6,0.337,4.492,3.0,0.051000000000000004,8.0,8.0,20.0
7,-0.259,-2.718,3.0,0.051000000000000004,8.0,8.0,20.0
8,-15.096,13.859,3.0,0.051000000000000004,8.0,8.0,20.0
9,2.024,3.243,3.0,0.051000000000000004,8.0,8.0,20.0
10,-19.413,9.276,3.0,0.051000000000000004,8.0,8.0,20.0
11,-1.971,-4.932,3.0,0.051000000000000004,8.0,8.0,20.0
12,-2.183,14.83,3.0,0.051000000000000004,8.0,8.0,20.0
13,2.77,-1.066,3.0,0.051000000000000004,8.0,8.0,20.0
14,-1.24,0.654,3.0,0.051000000000000004,8.0,8.0,20.0
15,0.7,4.322,3.0,0.051000000000000004,8.0,8.0,20.0
16,-2.041,-0.079,3.0,0.051000000000000004,8.0,8.0,20.0
17,-19.83,10.175,3.0,0.051000000000000004,8.0,8.0,20.0
18,2.258,-0.294,3.0,0.051000000000000004,8.0,8.0,20.0
19,-10.811,13.984,3.0,0.051000000000000004,8.0,8.0,20.0
20,2.501,-0.439,3.0,0.051000000000000004,8.0,8.0,20.0
21,-4.544,4.155,3.0,0.051000000000000004,8.0,8.0,20.0
22,-7.929,10.97,3.0,0.051000000000000004,8.0,8.0,20.0
23,-11.568,17.969,3.0,0.051000000000000004,8.0,8.0,20.0
24,-11.105,10.459,3.0,0.051000000000000004,8.0,8.0,20.0
25,-3.134,-15.285,3.0,0.051000000000000004,8.0,8.0,20.0
26,-0.773,-4.49,3.0,0.051000000000000004,8.0,8.0,20.0
27,-0.408,-4.253,3.0,0.051000000000000004,8.0,8.0,20.0
28,2.713,3.054,3.0,0.051000000000000004,8.0,8.0,20.0
29,-16.965,11.956,3.0,0.051000000000000004,8.0,8.0,20.0
30,-2.457,-4.203,3.0,0.051000000000000004,8.0,8.0,20.0
31,-7.659,16.411,3.0,0.051000000000000004,8.0,8.0,20.0
32,-8.829,0.116,3.0,0.051000000000000004,8.0,8.0,20.0
33,-11.742,12.101,3.0,0.051000000000000004,8.0,8.0,20.0
34,-2.326,-2.227,3.0,0.051000000000000004,8.0,8.0,20.0
35,-8.74,6.669,3.0,0.051000000000000004,8.0,8.0,20.0
36,-0.334,-17.227,3.0,0.051000000000000004,8.0,8.0,20.0
37,-2.555,-4.579,3.0,0.051000000000000004,8.0,8.0,20.0
38,-16.944,8.938,3.0,0.051000000000000004,8.0,8.0,20.0
39,3.635,5.837,3.0,0.051000000000000004,8.0,8.0,20.0
40,-9.086,13.539,3.0,0.051000000000000004,8.0,8.0,20.0
41,-4.085,-1.248,3.0,0.051000000000000004,8.0,8.0,20.0
42,-17.99,10.616,3.0,0.051000000000000004,8.0,8.0,20.0
43,-13.228,10.132,3.0,0.051000000000000004,8.0,8.0,20.0
44,-3.737,-4.153,3.0,0.051000000000000004,8.0,8.0,20.0
45,-14.163,11.364,3.0,0.051000000000000004,8.0,8.0,20.0
46,-3.114,2.136,3.0,0.051000000000000004,8.0,8.0,20.0
47,0.344,-3.402,3.0,0.051000000000000004,8.0,8.0,20.0
48,0.411,-3.088,3.0,0.051000000000000004,8.0,8.0,20.0
49,-17.832,6.691,3.0,0.051000000000000004,8.0,8.0,20.0
50,-3.28,1.373,3.0,0.051000000000000004,8.0,8.0,20.0
51,-3.394,-1.86,3.0,0.051000000000000004,8.0,8.0,20.0
52,-2.072,-6.465,3.0,0.051000000000000004,8.0,8.0,20.0
53,-1.989,-2.904,3.0,0.051000000000000004,8.0,8.0,20.0
54,0.263,-2.968,3.0,0.051000000000000004,8.0,8.0,20.0
55,-2.692,-17.668,3.0,0.051000000000000004,8.0,8.0,20.0
56,-12.092,9.054,3.0,0.051000000000000004,8.0,8.0,20.0
57,-3.307,-4.874,3.0,0.051000000000000004,8.0,8.0,20.0
58,2.801,-0.978,3.0,0.051000000000000004,8.0,8.0,20.0
59,-1.784,-4.108,3.0,0.051000000000000004,8.0,8.0,20.0
60,-8.483,13.989,3.0,0.051000000000000004,8.0,8.0,20.0
61,-13.218,0.793,3.0,0.051000000000000004,8.0,8.0,20.0
62,-3.543,-6.878,3.0,0.051000000000000004,8.0,8.0,20.0
63,-12.199,12.045,3.0,0.051000000000000004,8.0,8.0,20.0
64,-7.678,0.189,3.0,0.051000000000000004,8.0,8.0,20.0
65,-19.114,12.07,3.0,0.051000000000000004,8.0,8.0,20.0
66,-1.123,-7.934,3.0,0.051000000000000004,8.0,8.0,20.0
67,-3.294,-2.335,3.0,0.051000000000000004,8.0,8.0,20.0
68,-9.866,14.807,3.0,0.051000000000000004,8.0,8.0,20.0
69,-7.071,7.584,3.0,0.051000000000000004,8.0,8.0,20.0
70,2.019,-0.795,3.0,0.051000000000000004,8.0,8.0,20.0
71,2.132,4.879,3.0,0.051000000000000004,8.0,8.0,20.0
72,-14.087,13.113,3.0,0.051000000000000004,8.0,8.0,20.0
73,-14.157,15.749,3.0,0.051000000000000004,8.0,8.0,20.0
