in,x,y,q,tc,tr,te,tl
504,-4.488,0.003,3.0,0.051000000000000004,8.115655663532278,8.115655663532278,20.0
505,-15.421,14.271,3.0,0.051000000000000004,8.150436438805182,8.150436438805182,20.0
506,-1.07,-18.37,3.0,0.051000000000000004,8.160307442506245,8.160307442506245,20.0
507,-2.622,-3.79,3.0,0.051000000000000004,8.197201167982596,8.197201167982596,20.0
508,-13.5,9.922,3.0,0.051000000000000004,8.251282789149718,8.251282789149718,20.0
509,-0.539,0.577,3.0,0.051000000000000004,8.268120589605504,8.268120589605504,20.0
510,-11.449,16.634,3.0,0.051000000000000004,8.364627096646307,8.364627096646307,20.0
511,2.226,-1.322,3.0,0.051000000000000004,8.396416859196293,8.396416859196293,20.0
512,-4.546,-4.59,3.0,0.051000000000000004,8.404692831536916,8.404692831536916,20.0
513,2.646,-0.221,3.0,0.051000000000000004,8.452073091653839,8.452073091653839,20.0
514,-18.305,11.272,3.0,0.051000000000000004,8.471126822748193,8.471126822748193,20.0
515,-1.754,13.915,3.0,0.051000000000000004,8.510193902019877,8.510193902019877,20.0
516,-9.293,14.04,3.0,0.051000000000000004,8.537034188289974,8.537034188289974,20.0
517,-16.883,0.44,3.0,0.051000000000000004,8.579478284260786,8.579478284260786,20.0
518,-5.429,-4.404,3.0,0.051000000000000004,8.696711640897146,8.696711640897146,20.0
519,-0.918,-6.06,3.0,0.051000000000000004,8.786324454634498,8.786324454634498,20.0
520,-9.521,14.626,3.0,0.051000000000000004,8.892067223163762,8.892067223163762,20.0
521,-1.412,-5.061,3.0,0.051000000000000004,9.087342495975504,9.087342495975504,20.0
522,-20.987,11.309,3.0,0.051000000000000004,9.160280227431253,9.160280227431253,20.0
523,-10.937,13.384,3.0,0.051000000000000004,9.1635690463863,9.1635690463863,20.0
524,3.242,-1.158,3.0,0.051000000000000004,9.176237107583072,9.176237107583072,20.0
525,-11.112,9.599,3.0,0.051000000000000004,9.191706431740144,9.191706431740144,20.0
526,-1.203,-4.377,3.0,0.051000000000000004,9.194804721036597,9.194804721036597,20.0
527,-3.263,1.94,3.0,0.051000000000000004,9.206945018312112,9.206945018312112,20.0
528,-9.614,-5.269,3.0,0.051000000000000004,9.275204544251602,9.275204544251602,20.0
529,2.55,1.977,3.0,0.051000000000000004,9.289377325818604,9.289377325818604,20.0
530,-13.15,12.239,3.0,0.051000000000000004,9.319384624363208,9.319384624363208,20.0
531,-1.298,-8.357,3.0,0.051000000000000004,9.321535375159103,9.321535375159103,20.0
532,-8.223,9.432,3.0,0.051000000000000004,9.431382704793336,9.431382704793336,20.0
533,-2.281,-3.633,3.0,0.051000000000000004,9.485947531357425,9.485947531357425,20.0
534,-7.499,11.291,3.0,0.051000000000000004,9.52155156455392,9.52155156455392,20.0
535,2.891,5.266,3.0,0.051000000000000004,9.570382064849003,9.570382064849003,20.0
536,-8.018,15.907,3.0,0.051000000000000004,9.632255488348788,9.632255488348788,20.0
537,-9.249,-0.657,3.0,0.051000000000000004,9.795044263318918,9.795044263318918,20.0
538,-19.367,10.47,3.0,0.051000000000000004,9.942585487169179,9.942585487169179,20.0
539,-5.189,-0.293,3.0,0.051000000000000004,10.079335072880367,10.079335072880367,20.0
540,-7.787,9.861,3.0,0.051000000000000004,10.190069088939484,10.190069088939484,20.0
541,-9.254,-3.842,3.0,0.051000000000000004,10.195456008121129,10.195456008121129,20.0
542,-2.12,-21.681,3.0,0.051000000000000004,10.196101800112071,10.196101800112071,20.0
543,-0.109,-6.821,3.0,0.051000000000000004,10.317355717130768,10.317355717130768,20.0
544,-15.484,14.289,3.0,0.051000000000000004,10.323560915045942,10.323560915045942,20.0
545,-2.469,14.975,3.0,0.051000000000000004,10.434797001041426,10.434797001041426,20.0
546,-10.619,9.045,3.0,0.051000000000000004,10.447005605375246,10.447005605375246,20.0
547,1.399,2.838,3.0,0.051000000000000004,10.475210002029963,10.475210002029963,20.0
548,-6.501,11.121,3.0,0.051000000000000004,10.506520688997421,10.506520688997421,20.0
549,-5.753,-0.118,3.0,0.051000000000000004,10.53598030495976,10.53598030495976,20.0
550,-2.729,4.001,3.0,0.051000000000000004,10.559313817439488,10.559313817439488,20.0
551,2.502,-1.995,3.0,0.051000000000000004,10.604874983447166,10.604874983447166,20.0
552,0.012,-7.573,3.0,0.051000000000000004,10.632866286476784,10.632866286476784,20.0
553,-0.588,-8.091,3.0,0.051000000000000004,10.75363580348117,10.75363580348117,20.0
554,-1.68,1.301,3.0,0.051000000000000004,10.757250653261863,10.757250653261863,20.0
555,-8.798,15.568,3.0,0.051000000000000004,10.86822361677564,10.86822361677564,20.0
556,-21.768,9.477,3.0,0.051000000000000004,10.877107199916209,10.877107199916209,20.0
