in,Node
1,1428
2,494
3,456
4,1364
5,2501
6,2743
7,1266
8,1231
9,486
10,2828
11,454
12,1185
13,2785
14,1920
15,1317
16,449
17,2504
18,1919
19,2646
20,2439
21,2552
22,2377
23,2398
24,995
25,1264
26,1265
27,2827
28,478
29,1188
30,2630
31,926
32,2472
33,1189
34,2394
35,630
36,1185
37,453
38,2580
39,1218
40,451
41,468
42,485
43,1233
44,1285
45,452
46,1352
47,1215
48,1189
49,1278
50,575
51,2377
52,1183
53,2664
54,1921
55,1252
56,2580
57,1042
58,2465
59,2465
60,933
61,469
62,1153
63,1215
64,2520
65,2442
66,1918
67,2831
68,489
69,491
70,458
71,1351
72,485
73,630
74,1179
75,2571
76,739
77,1263
78,1365
79,1146
80,493
81,2474
82,2461
83,2352
84,2358
85,476
86,1264
87,1359
88,458
89,451
90,1948
91,1329
92,1369
93,2387
94,914
95,2567
96,629
97,2745
98,1266
99,1927
100,737
101,455
102,1124
103,492
104,2623
105,1267
106,2775
107,1186
108,1250
109,484
110,2631
111,494
112,430
113,1184
114,1168
115,566
116,744
117,2666
118,2439
119,1354
120,2370
121,483
122,2431
123,2655
124,2369
125,2656
126,2628
127,436
128,1232
129,1204
130,482
131,483
132,483
133,482
134,482
135,482
136,483
137,482
138,1266
139,742
140,432
141,1369
142,2509
143,456
144,1887
145,743
146,2469
147,424
148,2427
149,558
150,2434
151,1264
152,1197
153,458
154,585
155,451
156,487
157,2420
158,449
159,482
160,1210
161,1186
162,2465
163,466
164,1265
165,465
166,1168
167,2459
168,457
169,1256
170,445
171,608
172,435
173,1443
174,471
175,1341
176,351
177,424
178,1921
179,488
180,961
181,1222
182,2482
183,1235
184,2497
185,1153
186,2567
187,478
188,802
189,2401
190,360
191,429
192,793
193,2785
194,1263
195,2532
196,428
197,817
198,1188
199,481
200,1247
201,1938
202,1221
203,621
204,1948
205,573
206,1421
207,1301
208,1172
209,2785
210,609
211,2755
212,350
213,451
214,2511
215,623
216,2467
217,2476
218,1351
219,1256
220,2659
221,1212
222,485
223,1209
224,1938
225,466
226,2515
227,562
228,2512
229,2568
230,1190
231,1313
232,1244
233,2498
234,1251
235,430
236,2756
237,578
238,764
239,2470
240,1280
241,585
242,1360
243,1165
244,1266
245,1187
246,1248
247,2520
248,472
249,465
250,470
251,2387
252,2596
253,629
254,2567
255,489
256,1257
257,1240
258,2708
259,2459
260,1354
261,481
262,1150
263,586
264,2433
265,2401
266,449
267,2663
268,2456
269,1230
270,934
271,1185
272,2835
273,2839
274,789
275,1438
276,489
277,951
278,1189
279,747
280,573
281,2526
282,1185
283,2438
284,1190
285,1237
286,443
287,476
288,2504
289,2397
290,2621
291,436
292,751
293,840
294,1220
295,2829
296,2834
297,2604
298,2473
299,998
300,1196
301,1146
302,2456
303,1941
304,489
305,2561
306,2389
307,1240
308,1324
309,1245
310,587
311,451
312,472
313,2440
314,1972
315,1258
316,2388
317,1322
318,1210
319,2498
320,1213
321,2391
322,458
323,1925
324,2834
325,2749
326,2503
327,446
328,1190
329,1249
330,483
331,1153
332,1177
333,2463
334,2348
335,2835
336,431
337,451
338,461
339,1238
340,1921
341,1256
342,2445
343,458
344,2622
345,2481
346,1265
347,2435
348,2561
349,581
350,1379
351,471
352,456
353,2655
354,2503
355,1944
356,2435
357,1250
358,620
359,2472
360,745
361,1243
362,1979
363,933
364,1277
365,1339
366,1258
367,360
368,471
369,2787
370,2424
371,1320
372,1353
373,2834
374,561
375,2561
376,2562
377,1150
378,1166
379,1222
380,933
381,1238
382,548
383,461
384,751
385,459
386,2400
387,1258
388,1435
389,2427
390,443
391,1223
392,768
393,1216
394,2425
395,1938
396,1167
397,1360
398,2460
