in,x,y,q,tc,tr,te,tl
2,-15.721,8.717,3.0,0.051000000000000004,8.0,8.0,20.0
3,-0.504,1.162,3.0,0.051000000000000004,8.0,8.0,20.0
4,0.471,4.768,3.0,0.051000000000000004,8.0,8.0,20.0
5,-0.564,-2.337,3.0,0.051000000000000004,8.0,8.0,20.0
6,-2.74,0.204,3.0,0.051000000000000004,8.0,8.0,20.0
7,-14.672,13.536,3.0,0.051000000000000004,8.0,8.0,20.0
8,2.185,3.511,3.0,0.051000000000000004,8.0,8.0,20.0
9,-4.536,-5.537,3.0,0.051000000000000004,8.0,8.0,20.0
10,-18.807,9.455,3.0,0.051000000000000004,8.0,8.0,20.0
11,-1.944,-4.705,3.0,0.051000000000000004,8.0,8.0,20.0
12,-1.995,14.643,3.0,0.051000000000000004,8.0,8.0,20.0
13,2.885,-1.584,3.0,0.051000000000000004,8.0,8.0,20.0
14,-1.081,0.754,3.0,0.051000000000000004,8.0,8.0,20.0
15,0.843,4.278,3.0,0.051000000000000004,8.0,8.0,20.0
16,-1.856,-0.14,3.0,0.051000000000000004,8.0,8.0,20.0
17,-19.894,10.338,3.0,0.051000000000000004,8.0,8.0,20.0
18,-10.599,13.822,3.0,0.051000000000000004,8.0,8.0,20.0
19,2.521,-0.737,3.0,0.051000000000000004,8.0,8.0,20.0
20,-1.101,2.646,3.0,0.051000000000000004,8.0,8.0,20.0
21,-7.954,10.788,3.0,0.051000000000000004,8.0,8.0,20.0
22,-11.951,18.361,3.0,0.051000000000000004,8.0,8.0,20.0
23,-11.148,10.513,3.0,0.051000000000000004,8.0,8.0,20.0
24,-2.751,-15.205,3.0,0.051000000000000004,8.0,8.0,20.0
25,-0.38,-4.368,3.0,0.051000000000000004,8.0,8.0,20.0
26,-0.914,-4.536,3.0,0.051000000000000004,8.0,8.0,20.0
27,2.422,2.64,3.0,0.051000000000000004,8.0,8.0,20.0
28,-16.978,12.257,3.0,0.051000000000000004,8.0,8.0,20.0
29,-2.59,-4.152,3.0,0.051000000000000004,8.0,8.0,20.0
30,-7.532,16.487,3.0,0.051000000000000004,8.0,8.0,20.0
31,-8.49,0.327,3.0,0.051000000000000004,8.0,8.0,20.0
32,-11.578,12.059,3.0,0.051000000000000004,8.0,8.0,20.0
33,-2.342,-2.18,3.0,0.051000000000000004,8.0,8.0,20.0
34,-8.373,6.7,3.0,0.051000000000000004,8.0,8.0,20.0
35,-2.423,-2.586,3.0,0.051000000000000004,8.0,8.0,20.0
36,-0.28,-17.513,3.0,0.051000000000000004,8.0,8.0,20.0
37,-2.428,-4.631,3.0,0.051000000000000004,8.0,8.0,20.0
38,-16.877,8.736,3.0,0.051000000000000004,8.0,8.0,20.0
39,-9.449,13.731,3.0,0.051000000000000004,8.0,8.0,20.0
40,-4.25,-0.92,3.0,0.051000000000000004,8.0,8.0,20.0
41,-18.395,10.809,3.0,0.051000000000000004,8.0,8.0,20.0
42,-12.966,10.11,3.0,0.051000000000000004,8.0,8.0,20.0
43,-3.078,2.167,3.0,0.051000000000000004,8.0,8.0,20.0
44,0.711,-3.425,3.0,0.051000000000000004,8.0,8.0,20.0
45,0.608,-3.607,3.0,0.051000000000000004,8.0,8.0,20.0
46,-17.623,7.406,3.0,0.051000000000000004,8.0,8.0,20.0
47,-3.429,1.282,3.0,0.051000000000000004,8.0,8.0,20.0
48,-3.54,-1.968,3.0,0.051000000000000004,8.0,8.0,20.0
49,-2.112,-6.404,3.0,0.051000000000000004,8.0,8.0,20.0
50,-1.951,-2.859,3.0,0.051000000000000004,8.0,8.0,20.0
51,0.338,-2.975,3.0,0.051000000000000004,8.0,8.0,20.0
52,-3.113,-17.553,3.0,0.051000000000000004,8.0,8.0,20.0
53,-11.27,8.738,3.0,0.051000000000000004,8.0,8.0,20.0
54,-2.949,-4.779,3.0,0.051000000000000004,8.0,8.0,20.0
55,-2.05,2.765,3.0,0.051000000000000004,8.0,8.0,20.0
56,2.845,-1.001,3.0,0.051000000000000004,8.0,8.0,20.0
57,-1.928,-4.32,3.0,0.051000000000000004,8.0,8.0,20.0
58,-9.424,13.562,3.0,0.051000000000000004,8.0,8.0,20.0
59,-2.73,-6.637,3.0,0.051000000000000004,8.0,8.0,20.0
60,-12.199,12.088,3.0,0.051000000000000004,8.0,8.0,20.0
61,-12.004,12.095,3.0,0.051000000000000004,8.0,8.0,20.0
62,-7.804,0.547,3.0,0.051000000000000004,8.0,8.0,20.0
63,-19.427,12.006,3.0,0.051000000000000004,8.0,8.0,20.0
64,-1.123,-7.713,3.0,0.051000000000000004,8.0,8.0,20.0
65,-15.079,6.137,3.0,0.051000000000000004,8.0,8.0,20.0
66,-3.425,-2.101,3.0,0.051000000000000004,8.0,8.0,20.0
67,-9.391,14.219,3.0,0.051000000000000004,8.0,8.0,20.0
68,1.969,-0.984,3.0,0.051000000000000004,8.0,8.0,20.0
69,1.883,5.335,3.0,0.051000000000000004,8.0,8.0,20.0
70,-14.068,13.941,3.0,0.051000000000000004,8.0,8.0,20.0
71,-14.312,15.498,3.0,0.051000000000000004,8.0,8.0,20.0
72,-17.116,10.131,3.0,0.051000000000000004,8.0,8.0,20.0
73,-15.051,11.721,3.0,0.051000000000000004,8.0,8.0,20.0
74,-0.588,-17.56,3.0,0.051000000000000004,8.0,8.0,20.0
75,-10.203,18.229,3.0,0.051000000000000004,8.0,8.0,20.0
76,-9.55,-5.729,3.0,0.051000000000000004,8.0,8.0,20.0
77,-0.929,-2.384,3.0,0.051000000000000004,8.0,8.0,20.0
78,-0.305,1.105,3.0,0.051000000000000004,8.0,8.0,20.0
79,-2.033,-7.332,3.0,0.051000000000000004,8.0,8.0,20.0
80,-14.022,16.633,3.0,0.051000000000000004,8.0,8.0,20.0
81,-12.376,13.473,3.0,0.051000000000000004,8.0,8.0,20.0
82,-12.312,11.959,3.0,0.051000000000000004,8.0,8.0,20.0
83,-11.341,6.448,3.0,0.051000000000000004,8.0,8.0,20.0
84,-13.134,8.072,3.0,0.051000000000000004,8.0,8.0,20.0
85,-18.418,14.351,3.0,0.051000000000000004,8.0,8.0,20.0
86,-0.584,-3.622,3.0,0.051000000000000004,8.0,8.0,20.0
87,-1.189,1.363,3.0,0.051000000000000004,8.0,8.0,20.0
88,-16.216,9.823,3.0,0.051000000000000004,8.0,8.0,20.0
89,-18.806,11.015,3.0,0.051000000000000004,8.0,8.0,20.0
90,4.086,2.309,3.0,0.051000000000000004,8.0,8.0,20.0
91,-0.256,-2.426,3.0,0.051000000000000004,8.0,8.0,20.0
92,-0.197,-2.419,3.0,0.051000000000000004,8.0,8.0,20.0
93,-11.335,9.241,3.0,0.051000000000000004,8.0,8.0,20.0
94,-5.585,-2.794,3.0,0.051000000000000004,8.0,8.0,20.0
