in,Node
1,1428
2,456
3,1232
4,1364
5,2751
6,1266
7,486
8,2828
9,1176
10,450
11,1185
12,2787
13,1921
14,1354
15,2743
16,1234
17,449
18,2504
19,1919
20,2708
21,2439
22,2548
23,2377
24,2398
25,995
26,1264
27,1264
28,2827
29,481
30,1188
31,2629
32,926
33,2469
34,1299
35,2404
36,1189
37,630
38,1185
39,453
40,2521
41,1218
42,451
43,468
44,1233
45,1285
46,452
47,1352
48,1216
49,1184
50,2786
51,1189
52,1278
53,575
54,2376
55,1183
56,1924
57,1252
58,2580
59,1042
60,2465
61,933
62,471
63,1146
64,2453
65,1187
66,2525
67,2444
68,1916
69,486
70,491
71,458
72,485
73,624
74,2571
75,742
76,1322
77,1364
78,1147
79,495
80,2474
81,2466
82,2392
83,2360
84,476
85,1264
86,1359
87,458
88,451
89,1948
90,1279
91,2387
92,914
93,2571
94,2381
95,2743
96,612
97,2747
98,1278
99,1929
100,777
101,455
102,492
103,2623
104,1278
105,2775
106,1186
107,1250
108,484
109,2631
110,494
111,2392
112,430
113,1184
114,1168
115,593
116,744
117,2665
118,1354
119,483
120,2431
121,2655
122,2371
123,2628
124,431
125,1232
126,1204
127,483
128,482
129,482
130,482
131,482
132,482
133,1266
134,432
135,1279
136,2498
137,456
138,1887
139,743
140,2469
141,429
142,2433
143,560
144,2401
145,1264
146,1198
147,458
148,581
149,585
150,1208
151,451
152,2464
153,449
154,482
155,1210
156,1186
157,2389
158,466
159,1264
160,466
161,1168
162,2610
163,457
164,1256
165,2737
166,2352
167,445
168,608
169,436
170,451
171,351
172,425
173,488
174,961
175,1220
176,2482
177,1236
178,2476
179,1153
180,2567
181,483
182,802
183,2574
184,757
185,431
186,775
187,2785
188,1263
189,2532
190,428
191,817
192,481
193,1247
194,1944
195,1219
196,609
197,2582
198,1948
199,563
200,1421
201,2829
202,1299
203,1168
204,2785
205,612
206,2755
207,350
208,454
209,2511
210,629
211,2467
212,2476
213,2663
214,1234
215,1264
216,2658
217,1212
218,485
219,1209
220,1946
221,466
222,2522
223,457
224,562
225,2496
226,2568
227,1190
228,1244
229,2498
230,1250
231,432
232,2833
233,578
234,1231
235,763
236,2470
237,1287
238,1368
239,1360
240,1165
241,1278
242,1186
243,1248
244,2430
245,2520
246,480
247,465
248,469
249,2387
250,2597
251,644
252,2394
253,2628
254,483
255,1257
256,1240
257,2708
258,2459
259,1354
260,481
261,805
262,1239
263,562
264,2434
265,2401
266,449
267,1355
268,1116
269,2456
270,1236
271,1229
272,960
273,1244
274,2835
275,2837
276,477
277,349
278,790
279,1437
280,489
281,472
282,961
283,1189
284,457
285,747
286,496
287,1185
288,1197
289,443
290,476
291,2515
292,2397
293,470
294,749
295,840
296,1220
297,2829
298,2829
299,2592
300,2473
301,998
302,1194
303,1146
304,2456
305,1941
306,490
307,2561
308,2389
309,1248
310,1320
311,1245
312,587
313,451
314,472
315,2440
316,1947
317,1258
318,2389
319,1329
320,1210
321,2485
322,815
323,2391
324,1925
325,469
326,2834
327,2503
328,446
329,469
330,1190
331,1248
332,483
333,1157
334,1177
335,2470
336,360
337,2868
338,431
339,481
340,463
341,1887
342,1256
343,2421
344,2621
345,2477
346,1277
347,2435
348,1346
349,477
350,456
351,2749
352,2655
353,2500
354,1945
355,2433
356,1245
357,620
358,2472
359,745
360,1243
361,1972
362,933
363,1225
364,1277
365,1256
366,360
367,451
368,2792
369,876
370,1321
371,1354
372,2834
373,561
374,2548
375,2562
376,1047
377,1166
378,1231
379,933
380,1184
381,548
382,2348
383,469
384,459
385,2711
386,1250
387,1256
388,2427
389,426
390,1224
391,813
392,1216
393,2425
394,1935
395,933
396,1157
397,2663
398,487
399,2476
400,2584
401,925
402,2404
403,1188
404,1090
405,1173
406,465
407,2660
408,1331
409,2787
410,1188
411,769
412,557
413,458
414,1924
415,2831
416,1371
417,1364
418,2432
419,1352
420,2524
421,2595
422,2834
423,1351
424,909
425,2437
426,478
427,2396
428,777
429,1926
430,2429
431,1925
432,1360
433,482
434,1209
435,1248
436,1280
437,471
438,425
439,2397
440,2776
441,2549
442,2544
443,485
444,457
445,1223
446,428
447,1182
448,1907
449,2831
450,824
451,826
452,436
453,1168
454,580
455,1225
456,2343
457,2399
458,475
459,1948
460,1232
461,2835
462,473
463,789
464,1439
465,1237
466,491
467,2596
468,1939
469,1215
470,602
471,2525
472,609
473,2439
474,1177
475,1165
476,1972
477,2501
478,2574
479,1176
480,1246
481,1254
482,995
483,442
484,1192
485,1359
486,467
487,1150
488,746
489,561
490,1217
491,1191
492,455
493,2387
494,2787
495,1157
496,1369
497,1342
498,470
499,2433
500,494
501,2382
502,495
503,1248
504,2500
505,1152
506,1177
507,2709
508,446
509,1194
510,1044
511,2476
512,1248
513,1916
514,2500
515,360
516,1194
517,1354
518,2395
519,1090
520,2785
521,1163
522,1081
523,825
524,1168
525,2401
526,1235
527,2567
528,1940
529,482
530,2391
531,2595
532,475
533,1231
534,350
535,2457
536,2595
537,2387
538,1265
539,642
540,746
541,1277
542,1184
543,2657
544,2377
545,454
546,1185
547,352
548,1216
549,1188
550,1131
551,1183
552,2596
553,1247
554,430
555,1265
556,1908
557,1132
558,562
559,1154
560,1181
561,930
562,1152
563,449
564,816
565,1217
566,449
567,1047
568,2584
569,1369
570,1329
571,623
572,2472
573,1167
574,2499
575,482
576,1948
577,2469
578,455
579,1182
580,1166
581,2548
582,481
583,2524
584,1265
585,2400
586,2829
587,1280
588,2468
589,2385
590,2778
591,2568
592,1332
593,471
594,1359
595,2566
596,2471
597,1352
598,2525
599,1926
600,1150
601,2656
602,1236
603,2459
604,469
605,1940
606,739
607,2553
608,2519
609,1920
610,481
611,477
