in,x,y,q,tc,tr,te,tl
506,-3.851,-1.872,3.0,0.051000000000000004,8.204368313934847,8.204368313934847,20.0
507,-22.213,9.671,3.0,0.051000000000000004,8.363655070478746,8.363655070478746,20.0
508,-15.951,11.077,3.0,0.051000000000000004,8.388545083406484,8.388545083406484,20.0
509,-13.079,9.83,3.0,0.051000000000000004,8.3931181195441,8.3931181195441,20.0
510,-16.118,13.008,3.0,0.051000000000000004,8.437722194117791,8.437722194117791,20.0
511,-0.424,-7.984,3.0,0.051000000000000004,8.459222970280637,8.459222970280637,20.0
512,-1.081,1.042,3.0,0.051000000000000004,8.467169375521111,8.467169375521111,20.0
513,-10.979,-3.461,3.0,0.051000000000000004,8.541963916133856,8.541963916133856,20.0
514,-18.778,17.05,3.0,0.051000000000000004,8.583207755438831,8.583207755438831,20.0
515,-1.408,-18.977,3.0,0.051000000000000004,8.583793428887073,8.583793428887073,20.0
516,-14.407,15.933,3.0,0.051000000000000004,8.635720523201615,8.635720523201615,20.0
517,-10.042,14.372,3.0,0.051000000000000004,8.678663298885951,8.678663298885951,20.0
518,-18.763,7.181,3.0,0.051000000000000004,8.717379495251636,8.717379495251636,20.0
519,-7.008,11.255,3.0,0.051000000000000004,8.848412146596628,8.848412146596628,20.0
520,-2.349,-4.111,3.0,0.051000000000000004,8.852422376191429,8.852422376191429,20.0
521,-10.141,4.159,3.0,0.051000000000000004,8.931945207570598,8.931945207570598,20.0
522,-11.545,11.405,3.0,0.051000000000000004,8.958376313136062,8.958376313136062,20.0
523,-9.281,-0.778,3.0,0.051000000000000004,9.000131217978845,9.000131217978845,20.0
524,-8.716,8.796,3.0,0.051000000000000004,9.040542168097607,9.040542168097607,20.0
525,-11.46,18.452,3.0,0.051000000000000004,9.050571496965167,9.050571496965167,20.0
526,0.676,-2.152,3.0,0.051000000000000004,9.071050427830173,9.071050427830173,20.0
527,-1.947,-3.331,3.0,0.051000000000000004,9.092970400971488,9.092970400971488,20.0
528,-3.139,-5.422,3.0,0.051000000000000004,9.113005470040092,9.113005470040092,20.0
529,-0.747,0.628,3.0,0.051000000000000004,9.138217710037392,9.138217710037392,20.0
