in,x,y,q,tc,tr,te,tl
2,-17.791,17.127,3.0,0.051000000000000004,8.0,8.0,20.0
3,-15.504,8.671,3.0,0.051000000000000004,8.0,8.0,20.0
4,-0.597,0.854,3.0,0.051000000000000004,8.0,8.0,20.0
5,-10.353,12.555,3.0,0.051000000000000004,8.0,8.0,20.0
6,0.58,4.55,3.0,0.051000000000000004,8.0,8.0,20.0
7,-0.751,-2.55,3.0,0.051000000000000004,8.0,8.0,20.0
8,-3.058,0.338,3.0,0.051000000000000004,8.0,8.0,20.0
9,-14.27,13.166,3.0,0.051000000000000004,8.0,8.0,20.0
10,1.874,3.403,3.0,0.051000000000000004,8.0,8.0,20.0
11,-18.511,9.67,3.0,0.051000000000000004,8.0,8.0,20.0
12,-2.062,-4.935,3.0,0.051000000000000004,8.0,8.0,20.0
13,-2.622,14.571,3.0,0.051000000000000004,8.0,8.0,20.0
14,2.724,-1.513,3.0,0.051000000000000004,8.0,8.0,20.0
15,-1.936,-0.184,3.0,0.051000000000000004,8.0,8.0,20.0
16,-19.982,10.151,3.0,0.051000000000000004,8.0,8.0,20.0
17,-10.695,13.999,3.0,0.051000000000000004,8.0,8.0,20.0
18,2.821,-0.655,3.0,0.051000000000000004,8.0,8.0,20.0
19,-4.473,4.286,3.0,0.051000000000000004,8.0,8.0,20.0
20,-8.133,11.018,3.0,0.051000000000000004,8.0,8.0,20.0
21,-11.743,18.253,3.0,0.051000000000000004,8.0,8.0,20.0
22,-10.939,8.225,3.0,0.051000000000000004,8.0,8.0,20.0
23,-11.081,10.258,3.0,0.051000000000000004,8.0,8.0,20.0
24,-2.7,-14.867,3.0,0.051000000000000004,8.0,8.0,20.0
25,-0.538,-4.259,3.0,0.051000000000000004,8.0,8.0,20.0
26,-0.243,-4.145,3.0,0.051000000000000004,8.0,8.0,20.0
27,2.489,2.953,3.0,0.051000000000000004,8.0,8.0,20.0
28,-16.937,12.35,3.0,0.051000000000000004,8.0,8.0,20.0
29,-2.452,-4.188,3.0,0.051000000000000004,8.0,8.0,20.0
30,-7.628,16.734,3.0,0.051000000000000004,8.0,8.0,20.0
31,-8.544,-0.688,3.0,0.051000000000000004,8.0,8.0,20.0
32,-11.632,12.053,3.0,0.051000000000000004,8.0,8.0,20.0
33,-2.266,-2.497,3.0,0.051000000000000004,8.0,8.0,20.0
34,-9.605,7.016,3.0,0.051000000000000004,8.0,8.0,20.0
35,-0.289,-17.017,3.0,0.051000000000000004,8.0,8.0,20.0
36,-2.499,-4.761,3.0,0.051000000000000004,8.0,8.0,20.0
37,-17.813,8.787,3.0,0.051000000000000004,8.0,8.0,20.0
38,-9.053,13.449,3.0,0.051000000000000004,8.0,8.0,20.0
39,-3.712,-0.982,3.0,0.051000000000000004,8.0,8.0,20.0
40,-17.948,10.653,3.0,0.051000000000000004,8.0,8.0,20.0
41,-13.207,10.183,3.0,0.051000000000000004,8.0,8.0,20.0
42,-14.266,11.253,3.0,0.051000000000000004,8.0,8.0,20.0
43,-3.085,2.155,3.0,0.051000000000000004,8.0,8.0,20.0
44,0.809,-3.4,3.0,0.051000000000000004,8.0,8.0,20.0
45,-17.177,7.543,3.0,0.051000000000000004,8.0,8.0,20.0
46,-1.627,0.969,3.0,0.051000000000000004,8.0,8.0,20.0
47,-3.224,-1.847,3.0,0.051000000000000004,8.0,8.0,20.0
48,-2.185,-3.066,3.0,0.051000000000000004,8.0,8.0,20.0
49,-0.005,-3.017,3.0,0.051000000000000004,8.0,8.0,20.0
50,-2.923,-17.689,3.0,0.051000000000000004,8.0,8.0,20.0
51,-11.277,8.892,3.0,0.051000000000000004,8.0,8.0,20.0
52,-3.295,-5.01,3.0,0.051000000000000004,8.0,8.0,20.0
53,-1.93,2.921,3.0,0.051000000000000004,8.0,8.0,20.0
54,2.957,-0.921,3.0,0.051000000000000004,8.0,8.0,20.0
55,-1.781,-4.228,3.0,0.051000000000000004,8.0,8.0,20.0
56,-9.319,13.392,3.0,0.051000000000000004,8.0,8.0,20.0
57,-3.206,-7.311,3.0,0.051000000000000004,8.0,8.0,20.0
58,-12.222,12.199,3.0,0.051000000000000004,8.0,8.0,20.0
59,-12.018,12.128,3.0,0.051000000000000004,8.0,8.0,20.0
60,-7.589,0.171,3.0,0.051000000000000004,8.0,8.0,20.0
61,-19.194,12.175,3.0,0.051000000000000004,8.0,8.0,20.0
62,-0.951,-7.901,3.0,0.051000000000000004,8.0,8.0,20.0
63,-3.47,-2.277,3.0,0.051000000000000004,8.0,8.0,20.0
64,-9.823,14.603,3.0,0.051000000000000004,8.0,8.0,20.0
65,-7.05,7.714,3.0,0.051000000000000004,8.0,8.0,20.0
