in,Node
1,1428
2,480
3,456
4,1232
5,1364
6,2580
7,2743
8,1279
9,489
10,2828
11,1176
12,454
13,2787
14,1921
15,1354
16,2743
17,1230
18,449
19,2504
20,1925
21,2708
22,2648
23,2439
24,2552
25,2398
26,1048
27,1264
28,1264
29,1939
30,478
31,1186
32,2596
33,926
34,2497
35,1257
36,2421
37,631
38,1185
39,454
40,2521
41,1202
42,451
43,468
44,466
45,2655
46,1285
47,1285
48,455
49,1232
50,1352
51,1216
52,2785
53,1189
54,1278
55,578
56,2377
57,1186
58,1921
59,1253
60,2595
61,360
62,1042
63,2472
64,2472
65,933
66,470
67,1146
68,1187
69,2525
70,1918
71,485
72,491
73,458
74,1417
75,485
76,623
77,1179
78,2571
79,818
80,1266
81,1364
82,1047
83,496
84,2481
85,2465
86,2355
87,2357
88,476
89,1265
90,1359
91,457
92,451
93,1948
94,1369
95,1329
96,2387
97,1178
98,2567
99,629
100,2747
101,1266
102,1930
103,737
104,455
105,490
106,2623
107,2623
108,1279
109,2612
110,1186
111,1251
112,483
113,2631
114,430
115,1184
116,1168
117,593
118,741
119,2665
120,2392
121,480
122,2436
123,1233
124,2445
125,2369
126,2655
127,2626
128,431
129,1213
130,1204
131,482
132,482
133,482
134,483
135,482
136,482
137,482
138,482
139,1266
140,432
141,1279
142,2516
143,456
144,1887
145,743
146,2500
147,424
148,2427
149,559
150,1256
151,1197
152,581
153,585
154,1208
155,451
156,2383
157,449
158,482
159,2632
160,1186
161,2389
162,466
163,1264
164,466
165,1168
166,2602
167,457
168,1252
169,2352
170,445
171,608
172,2394
173,437
174,1442
175,471
176,1353
177,352
178,424
179,1921
180,1193
181,1220
182,2481
183,2497
184,1153
185,2571
186,478
187,1232
188,2434
189,757
190,430
191,777
192,1266
193,2548
194,428
195,814
196,818
197,481
198,1247
199,1934
200,1218
201,622
202,2439
203,1948
204,573
205,1421
206,1223
207,1172
208,2785
209,612
210,2755
211,350
212,454
213,2564
214,629
215,2467
216,2476
217,1234
218,1258
219,2659
220,1211
221,485
222,1209
223,1946
224,466
225,562
226,2492
227,458
228,2557
229,1190
230,1341
231,1244
232,2498
233,1250
234,1190
235,432
236,2833
237,576
238,763
239,505
240,2471
241,1287
242,2709
243,1367
244,1163
245,1278
246,1186
247,1248
248,2430
249,2520
250,476
251,465
252,469
253,2387
254,2597
255,644
256,2567
257,489
258,1258
259,1240
260,2667
261,2712
262,2459
263,1354
264,482
265,1239
266,562
267,1177
268,2433
269,2401
270,449
271,1119
272,2456
273,1230
274,1185
275,2835
276,2837
277,478
278,350
279,789
280,1927
281,483
282,961
283,1189
284,457
