in,x,y,q,tc,tr,te,tl
7,-17.791,17.127,3.0,0.051000000000000004,8.0,8.0,20.0
8,-15.504,8.671,3.0,0.051000000000000004,8.0,8.0,20.0
9,-0.597,0.854,3.0,0.051000000000000004,8.0,8.0,20.0
10,-10.353,12.555,3.0,0.051000000000000004,8.0,8.0,20.0
11,0.58,4.55,3.0,0.051000000000000004,8.0,8.0,20.0
12,-0.751,-2.55,3.0,0.051000000000000004,8.0,8.0,20.0
13,-3.058,0.338,3.0,0.051000000000000004,8.0,8.0,20.0
14,-14.27,13.166,3.0,0.051000000000000004,8.0,8.0,20.0
15,1.874,3.403,3.0,0.051000000000000004,8.0,8.0,20.0
16,-18.511,9.67,3.0,0.051000000000000004,8.0,8.0,20.0
17,-2.062,-4.935,3.0,0.051000000000000004,8.0,8.0,20.0
18,-2.622,14.571,3.0,0.051000000000000004,8.0,8.0,20.0
19,2.724,-1.513,3.0,0.051000000000000004,8.0,8.0,20.0
20,-1.936,-0.184,3.0,0.051000000000000004,8.0,8.0,20.0
21,-19.982,10.151,3.0,0.051000000000000004,8.0,8.0,20.0
22,-10.695,13.999,3.0,0.051000000000000004,8.0,8.0,20.0
23,2.821,-0.655,3.0,0.051000000000000004,8.0,8.0,20.0
24,-4.473,4.286,3.0,0.051000000000000004,8.0,8.0,20.0
25,-8.133,11.018,3.0,0.051000000000000004,8.0,8.0,20.0
26,-11.743,18.253,3.0,0.051000000000000004,8.0,8.0,20.0
27,-10.939,8.225,3.0,0.051000000000000004,8.0,8.0,20.0
28,-11.081,10.258,3.0,0.051000000000000004,8.0,8.0,20.0
29,-2.7,-14.867,3.0,0.051000000000000004,8.0,8.0,20.0
30,-0.538,-4.259,3.0,0.051000000000000004,8.0,8.0,20.0
31,-0.243,-4.145,3.0,0.051000000000000004,8.0,8.0,20.0
32,2.489,2.953,3.0,0.051000000000000004,8.0,8.0,20.0
33,-16.937,12.35,3.0,0.051000000000000004,8.0,8.0,20.0
34,-2.452,-4.188,3.0,0.051000000000000004,8.0,8.0,20.0
35,-7.628,16.734,3.0,0.051000000000000004,8.0,8.0,20.0
36,-8.544,-0.688,3.0,0.051000000000000004,8.0,8.0,20.0
37,-11.632,12.053,3.0,0.051000000000000004,8.0,8.0,20.0
38,-2.266,-2.497,3.0,0.051000000000000004,8.0,8.0,20.0
39,-9.605,7.016,3.0,0.051000000000000004,8.0,8.0,20.0
40,-0.289,-17.017,3.0,0.051000000000000004,8.0,8.0,20.0
41,-2.499,-4.761,3.0,0.051000000000000004,8.0,8.0,20.0
42,-17.813,8.787,3.0,0.051000000000000004,8.0,8.0,20.0
43,-9.053,13.449,3.0,0.051000000000000004,8.0,8.0,20.0
44,-3.712,-0.982,3.0,0.051000000000000004,8.0,8.0,20.0
45,-17.948,10.653,3.0,0.051000000000000004,8.0,8.0,20.0
46,-13.207,10.183,3.0,0.051000000000000004,8.0,8.0,20.0
47,-14.266,11.253,3.0,0.051000000000000004,8.0,8.0,20.0
48,-3.085,2.155,3.0,0.051000000000000004,8.0,8.0,20.0
49,0.809,-3.4,3.0,0.051000000000000004,8.0,8.0,20.0
50,-17.177,7.543,3.0,0.051000000000000004,8.0,8.0,20.0
51,-1.627,0.969,3.0,0.051000000000000004,8.0,8.0,20.0
52,-3.224,-1.847,3.0,0.051000000000000004,8.0,8.0,20.0
53,-2.185,-3.066,3.0,0.051000000000000004,8.0,8.0,20.0
54,-0.005,-3.017,3.0,0.051000000000000004,8.0,8.0,20.0
55,-2.923,-17.689,3.0,0.051000000000000004,8.0,8.0,20.0
56,-11.277,8.892,3.0,0.051000000000000004,8.0,8.0,20.0
57,-3.295,-5.01,3.0,0.051000000000000004,8.0,8.0,20.0
58,-1.93,2.921,3.0,0.051000000000000004,8.0,8.0,20.0
59,2.957,-0.921,3.0,0.051000000000000004,8.0,8.0,20.0
60,-1.781,-4.228,3.0,0.051000000000000004,8.0,8.0,20.0
61,-9.319,13.392,3.0,0.051000000000000004,8.0,8.0,20.0
62,-3.206,-7.311,3.0,0.051000000000000004,8.0,8.0,20.0
63,-12.222,12.199,3.0,0.051000000000000004,8.0,8.0,20.0
64,-12.018,12.128,3.0,0.051000000000000004,8.0,8.0,20.0
65,-7.589,0.171,3.0,0.051000000000000004,8.0,8.0,20.0
66,-19.194,12.175,3.0,0.051000000000000004,8.0,8.0,20.0
67,-0.951,-7.901,3.0,0.051000000000000004,8.0,8.0,20.0
68,-3.47,-2.277,3.0,0.051000000000000004,8.0,8.0,20.0
69,-9.823,14.603,3.0,0.051000000000000004,8.0,8.0,20.0
70,-7.05,7.714,3.0,0.051000000000000004,8.0,8.0,20.0
71,2.162,-0.806,3.0,0.051000000000000004,8.0,8.0,20.0
72,2.023,4.819,3.0,0.051000000000000004,8.0,8.0,20.0
73,-13.9,13.845,3.0,0.051000000000000004,8.0,8.0,20.0
74,-14.265,15.678,3.0,0.051000000000000004,8.0,8.0,20.0
75,-16.965,10.348,3.0,0.051000000000000004,8.0,8.0,20.0
76,-1.921,0.493,3.0,0.051000000000000004,8.0,8.0,20.0
77,-14.967,11.933,3.0,0.051000000000000004,8.0,8.0,20.0
78,-0.848,-17.274,3.0,0.051000000000000004,8.0,8.0,20.0
79,-4.472,-3.429,3.0,0.051000000000000004,8.0,8.0,20.0
80,-9.565,19.126,3.0,0.051000000000000004,8.0,8.0,20.0
81,-9.744,-5.513,3.0,0.051000000000000004,8.0,8.0,20.0
82,-1.101,-2.551,3.0,0.051000000000000004,8.0,8.0,20.0
83,-0.255,1.293,3.0,0.051000000000000004,8.0,8.0,20.0
84,-1.658,-7.589,3.0,0.051000000000000004,8.0,8.0,20.0
85,-14.097,17.24,3.0,0.051000000000000004,8.0,8.0,20.0
86,-12.283,13.266,3.0,0.051000000000000004,8.0,8.0,20.0
87,-12.551,11.96,3.0,0.051000000000000004,8.0,8.0,20.0
88,-12.222,6.013,3.0,0.051000000000000004,8.0,8.0,20.0
89,-12.868,8.054,3.0,0.051000000000000004,8.0,8.0,20.0
90,-18.827,14.442,3.0,0.051000000000000004,8.0,8.0,20.0
91,-0.463,-3.478,3.0,0.051000000000000004,8.0,8.0,20.0
92,-1.097,1.245,3.0,0.051000000000000004,8.0,8.0,20.0
93,-16.545,10.246,3.0,0.051000000000000004,8.0,8.0,20.0
94,-18.472,10.97,3.0,0.051000000000000004,8.0,8.0,20.0
95,4.086,2.309,3.0,0.051000000000000004,8.0,8.0,20.0
96,-0.5,-1.949,3.0,0.051000000000000004,8.0,8.0,20.0
97,-0.28,-2.224,3.0,0.051000000000000004,8.0,8.0,20.0
98,-11.186,9.394,3.0,0.051000000000000004,8.0,8.0,20.0
99,-5.891,-2.712,3.0,0.051000000000000004,8.0,8.0,20.0
100,-9.489,17.935,3.0,0.051000000000000004,8.0,8.0,20.0
101,-0.04,-18.003,3.0,0.051000000000000004,8.0,8.0,20.0
102,0.966,2.967,3.0,0.051000000000000004,8.0,8.0,20.0
103,-0.653,-2.842,3.0,0.051000000000000004,8.0,8.0,20.0
104,1.684,0.299,3.0,0.051000000000000004,8.0,8.0,20.0
105,-11.553,-2.673,3.0,0.051000000000000004,8.0,8.0,20.0
106,-15.321,8.186,3.0,0.051000000000000004,8.0,8.0,20.0
107,-1.904,-9.398,3.0,0.051000000000000004,8.0,8.0,20.0
108,-12.972,14.89,3.0,0.051000000000000004,8.0,8.0,20.0
109,-8.971,16.127,3.0,0.051000000000000004,8.0,8.0,20.0
110,0.174,-2.576,3.0,0.051000000000000004,8.0,8.0,20.0
111,-5.96,11.509,3.0,0.051000000000000004,8.0,8.0,20.0
112,-2.954,-3.941,3.0,0.051000000000000004,8.0,8.0,20.0
113,-0.706,-5.519,3.0,0.051000000000000004,8.0,8.0,20.0
114,-16.662,15.577,3.0,0.051000000000000004,8.0,8.0,20.0
115,-6.723,16.417,3.0,0.051000000000000004,8.0,8.0,20.0
116,-16.314,16.739,3.0,0.051000000000000004,8.0,8.0,20.0
117,-22.527,9.63,3.0,0.051000000000000004,8.0,8.0,20.0
118,-2.046,-5.681,3.0,0.051000000000000004,8.0,8.0,20.0
119,0.669,-6.953,3.0,0.051000000000000004,8.0,8.0,20.0
120,-2.913,-19.564,3.0,0.051000000000000004,8.0,8.0,20.0
121,-11.372,-4.281,3.0,0.051000000000000004,8.0,8.0,20.0
122,-2.381,3.622,3.0,0.051000000000000004,8.0,8.0,20.0
123,-8.11,10.299,3.0,0.051000000000000004,8.0,8.0,20.0
124,-1.147,0.73,3.0,0.051000000000000004,8.0,8.0,20.0
125,-10.818,7.385,3.0,0.051000000000000004,8.0,8.0,20.0
126,-16.735,14.766,3.0,0.051000000000000004,8.0,8.0,20.0
127,-8.379,9.127,3.0,0.051000000000000004,8.0,8.0,20.0
128,-2.695,2.201,3.0,0.051000000000000004,8.0,8.0,20.0
129,-11.783,7.694,3.0,0.051000000000000004,8.0,8.0,20.0
130,-3.438,2.903,3.0,0.051000000000000004,8.0,8.0,20.0
131,-9.323,16.9,3.0,0.051000000000000004,8.0,8.0,20.0
132,-21.696,11.446,3.0,0.051000000000000004,8.0,8.0,20.0
133,-3.342,0.93,3.0,0.051000000000000004,8.0,8.0,20.0
134,-3.95,-0.412,3.0,0.051000000000000004,8.0,8.0,20.0
135,-15.914,13.038,3.0,0.051000000000000004,8.0,8.0,20.0
136,-15.435,14.123,3.0,0.051000000000000004,8.0,8.0,20.0
137,-15.555,13.918,3.0,0.051000000000000004,8.0,8.0,20.0
138,-15.948,13.535,3.0,0.051000000000000004,8.0,8.0,20.0
139,-15.754,13.083,3.0,0.051000000000000004,8.0,8.0,20.0
140,-15.582,13.382,3.0,0.051000000000000004,8.0,8.0,20.0
141,-15.588,13.939,3.0,0.051000000000000004,8.0,8.0,20.0
142,-15.443,13.338,3.0,0.051000000000000004,8.0,8.0,20.0
