in,x,y,q,tc,tr,te,tl
7,-15.496,8.827,3.0,0.051000000000000004,8.0,8.0,20.0
8,-2.798,0.816,3.0,0.051000000000000004,8.0,8.0,20.0
9,-0.411,1.002,3.0,0.051000000000000004,8.0,8.0,20.0
10,-9.748,12.897,3.0,0.051000000000000004,8.0,8.0,20.0
11,0.461,4.694,3.0,0.051000000000000004,8.0,8.0,20.0
12,-0.403,-2.62,3.0,0.051000000000000004,8.0,8.0,20.0
13,-2.716,0.221,3.0,0.051000000000000004,8.0,8.0,20.0
14,-14.764,12.515,3.0,0.051000000000000004,8.0,8.0,20.0
15,2.093,2.827,3.0,0.051000000000000004,8.0,8.0,20.0
16,-4.367,-5.526,3.0,0.051000000000000004,8.0,8.0,20.0
17,-18.465,9.437,3.0,0.051000000000000004,8.0,8.0,20.0
18,-2.201,14.555,3.0,0.051000000000000004,8.0,8.0,20.0
19,2.864,-1.33,3.0,0.051000000000000004,8.0,8.0,20.0
20,-0.978,0.945,3.0,0.051000000000000004,8.0,8.0,20.0
21,-1.884,-0.244,3.0,0.051000000000000004,8.0,8.0,20.0
22,-20.065,10.23,3.0,0.051000000000000004,8.0,8.0,20.0
23,-10.518,13.932,3.0,0.051000000000000004,8.0,8.0,20.0
24,2.506,-0.416,3.0,0.051000000000000004,8.0,8.0,20.0
25,-7.803,10.787,3.0,0.051000000000000004,8.0,8.0,20.0
26,-11.451,17.929,3.0,0.051000000000000004,8.0,8.0,20.0
27,-10.929,8.388,3.0,0.051000000000000004,8.0,8.0,20.0
28,-10.842,10.484,3.0,0.051000000000000004,8.0,8.0,20.0
29,-2.749,-14.718,3.0,0.051000000000000004,8.0,8.0,20.0
30,-0.257,-4.118,3.0,0.051000000000000004,8.0,8.0,20.0
31,-1.015,-4.414,3.0,0.051000000000000004,8.0,8.0,20.0
32,2.435,2.95,3.0,0.051000000000000004,8.0,8.0,20.0
33,-17.036,12.14,3.0,0.051000000000000004,8.0,8.0,20.0
34,-2.807,-4.406,3.0,0.051000000000000004,8.0,8.0,20.0
35,-7.768,16.954,3.0,0.051000000000000004,8.0,8.0,20.0
36,-8.446,0.375,3.0,0.051000000000000004,8.0,8.0,20.0
37,-11.483,12.058,3.0,0.051000000000000004,8.0,8.0,20.0
