in,x,y,q,tc,tr,te,tl
511,-3.851,-1.872,3.0,0.051000000000000004,8.204368313934847,8.204368313934847,20.0
512,-22.213,9.671,3.0,0.051000000000000004,8.363655070478746,8.363655070478746,20.0
513,-15.951,11.077,3.0,0.051000000000000004,8.388545083406484,8.388545083406484,20.0
514,-13.079,9.83,3.0,0.051000000000000004,8.3931181195441,8.3931181195441,20.0
515,-16.118,13.008,3.0,0.051000000000000004,8.437722194117791,8.437722194117791,20.0
516,-0.424,-7.984,3.0,0.051000000000000004,8.459222970280637,8.459222970280637,20.0
517,-1.081,1.042,3.0,0.051000000000000004,8.467169375521111,8.467169375521111,20.0
518,-10.979,-3.461,3.0,0.051000000000000004,8.541963916133856,8.541963916133856,20.0
519,-18.778,17.05,3.0,0.051000000000000004,8.583207755438831,8.583207755438831,20.0
520,-1.408,-18.977,3.0,0.051000000000000004,8.583793428887073,8.583793428887073,20.0
521,-14.407,15.933,3.0,0.051000000000000004,8.635720523201615,8.635720523201615,20.0
522,-10.042,14.372,3.0,0.051000000000000004,8.678663298885951,8.678663298885951,20.0
523,-18.763,7.181,3.0,0.051000000000000004,8.717379495251636,8.717379495251636,20.0
524,-7.008,11.255,3.0,0.051000000000000004,8.848412146596628,8.848412146596628,20.0
525,-2.349,-4.111,3.0,0.051000000000000004,8.852422376191429,8.852422376191429,20.0
526,-10.141,4.159,3.0,0.051000000000000004,8.931945207570598,8.931945207570598,20.0
527,-11.545,11.405,3.0,0.051000000000000004,8.958376313136062,8.958376313136062,20.0
528,-9.281,-0.778,3.0,0.051000000000000004,9.000131217978845,9.000131217978845,20.0
529,-8.716,8.796,3.0,0.051000000000000004,9.040542168097607,9.040542168097607,20.0
530,-11.46,18.452,3.0,0.051000000000000004,9.050571496965167,9.050571496965167,20.0
531,0.676,-2.152,3.0,0.051000000000000004,9.071050427830173,9.071050427830173,20.0
532,-1.947,-3.331,3.0,0.051000000000000004,9.092970400971488,9.092970400971488,20.0
533,-3.139,-5.422,3.0,0.051000000000000004,9.113005470040092,9.113005470040092,20.0
534,-0.747,0.628,3.0,0.051000000000000004,9.138217710037392,9.138217710037392,20.0
535,5.305,3.089,3.0,0.051000000000000004,9.175177869049168,9.175177869049168,20.0
536,-2.69,-1.308,3.0,0.051000000000000004,9.178487236147667,9.178487236147667,20.0
537,4.806,1.673,3.0,0.051000000000000004,9.196613491203182,9.196613491203182,20.0
538,-10.203,13.476,3.0,0.051000000000000004,9.255089418153997,9.255089418153997,20.0
539,-0.055,-3.331,3.0,0.051000000000000004,9.377796524965005,9.377796524965005,20.0
540,-17.604,16.457,3.0,0.051000000000000004,9.419406150481647,9.419406150481647,20.0
541,-8.332,9.705,3.0,0.051000000000000004,9.528833170416025,9.528833170416025,20.0
542,-1.051,-4.192,3.0,0.051000000000000004,9.576900385357831,9.576900385357831,20.0
543,-9.408,14.717,3.0,0.051000000000000004,9.64891578690401,9.64891578690401,20.0
544,-2.801,-3.508,3.0,0.051000000000000004,9.823889445833672,9.823889445833672,20.0
545,-1.05,-18.129,3.0,0.051000000000000004,10.017959145523578,10.017959145523578,20.0
546,-9.097,14.49,3.0,0.051000000000000004,10.141899039733278,10.141899039733278,20.0
547,-4.493,-4.832,3.0,0.051000000000000004,10.145089749214828,10.145089749214828,20.0
548,-1.282,-3.621,3.0,0.051000000000000004,10.214697476179225,10.214697476179225,20.0
549,-0.222,-5.947,3.0,0.051000000000000004,10.231375958053537,10.231375958053537,20.0
550,-13.713,0.464,3.0,0.051000000000000004,10.35374518625651,10.35374518625651,20.0
551,1.29,-8.038,3.0,0.051000000000000004,10.365587461939645,10.365587461939645,20.0
552,-1.483,-4.642,3.0,0.051000000000000004,10.431850177112894,10.431850177112894,20.0
553,-14.714,15.288,3.0,0.051000000000000004,10.436695816020162,10.436695816020162,20.0
554,-1.008,-8.448,3.0,0.051000000000000004,10.498756707695948,10.498756707695948,20.0
555,-11.51,1.439,3.0,0.051000000000000004,10.56768283454122,10.56768283454122,20.0
556,-8.643,-5.224,3.0,0.051000000000000004,10.579099778328809,10.579099778328809,20.0
557,-10.313,12.017,3.0,0.051000000000000004,10.584589397863128,10.584589397863128,20.0
558,-2.901,-1.477,3.0,0.051000000000000004,10.702042523289972,10.702042523289972,20.0
559,3.357,2.565,3.0,0.051000000000000004,10.726855545535978,10.726855545535978,20.0
560,-8.294,12.157,3.0,0.051000000000000004,10.824981374220148,10.824981374220148,20.0
561,-2.459,2.031,3.0,0.051000000000000004,10.987300561978563,10.987300561978563,20.0
562,-2.343,-1.736,3.0,0.051000000000000004,11.060315661678306,11.060315661678306,20.0
563,-0.479,-8.54,3.0,0.051000000000000004,11.077666533642814,11.077666533642814,20.0
564,-7.152,-0.295,3.0,0.051000000000000004,11.08325833392447,11.08325833392447,20.0
565,-9.055,9.692,3.0,0.051000000000000004,11.109705072463345,11.109705072463345,20.0
566,-9.895,12.333,3.0,0.051000000000000004,11.121254505553571,11.121254505553571,20.0
567,-4.52,-1.474,3.0,0.051000000000000004,11.13227843924019,11.13227843924019,20.0
568,-4.122,-0.051,3.0,0.051000000000000004,11.149136222613226,11.149136222613226,20.0
569,-0.703,-7.239,3.0,0.051000000000000004,11.17571403324329,11.17571403324329,20.0
570,-2.399,-22.167,3.0,0.051000000000000004,11.211496135863127,11.211496135863127,20.0
571,-7.961,16.076,3.0,0.051000000000000004,11.218407349564306,11.218407349564306,20.0
572,-15.07,17.335,3.0,0.051000000000000004,11.423747279487507,11.423747279487507,20.0
573,-1.759,-7.188,3.0,0.051000000000000004,11.506524623279912,11.506524623279912,20.0
574,-4.96,-0.291,3.0,0.051000000000000004,11.577357672274967,11.577357672274967,20.0
575,-15.509,13.296,3.0,0.051000000000000004,11.581083789080452,11.581083789080452,20.0
576,-2.475,1.432,3.0,0.051000000000000004,11.605719944040024,11.605719944040024,20.0
577,-8.539,15.729,3.0,0.051000000000000004,11.625055653448758,11.625055653448758,20.0
578,-11.511,12.773,3.0,0.051000000000000004,11.630779695980856,11.630779695980856,20.0
579,-3.822,3.696,3.0,0.051000000000000004,11.69489149330966,11.69489149330966,20.0
580,-9.078,-4.866,3.0,0.051000000000000004,11.713538631684683,11.713538631684683,20.0
581,-21.523,14.79,3.0,0.051000000000000004,11.752278569282183,11.752278569282183,20.0
582,-0.222,-7.235,3.0,0.051000000000000004,11.839678818086728,11.839678818086728,20.0
583,-15.893,13.081,3.0,0.051000000000000004,12.01883209297845,12.01883209297845,20.0
584,0.133,-17.806,3.0,0.051000000000000004,12.032156397644505,12.032156397644505,20.0
585,-20.638,9.624,3.0,0.051000000000000004,12.03958130002021,12.03958130002021,20.0
586,-7.931,0.022,3.0,0.051000000000000004,12.10197455259196,12.10197455259196,20.0
587,0.31,-1.718,3.0,0.051000000000000004,12.128727627361043,12.128727627361043,20.0
588,2.969,5.007,3.0,0.051000000000000004,12.133625778730735,12.133625778730735,20.0
589,-1.301,-8.274,3.0,0.051000000000000004,12.206215873148668,12.206215873148668,20.0
590,-19.193,10.202,3.0,0.051000000000000004,12.222844736782466,12.222844736782466,20.0
591,-6.993,10.947,3.0,0.051000000000000004,12.351181139059443,12.351181139059443,20.0
592,0.883,3.85,3.0,0.051000000000000004,12.392819606712148,12.392819606712148,20.0
593,-11.18,9.789,3.0,0.051000000000000004,12.49428638213926,12.49428638213926,20.0
594,-15.56,13.267,3.0,0.051000000000000004,12.701355939103667,12.701355939103667,20.0
595,-21.541,7.154,3.0,0.051000000000000004,12.704494681358915,12.704494681358915,20.0
596,-7.438,11.635,3.0,0.051000000000000004,12.769748322030695,12.769748322030695,20.0
597,-19.203,12.612,3.0,0.051000000000000004,12.815852138446331,12.815852138446331,20.0
598,-11.717,-4.382,3.0,0.051000000000000004,12.854491989952535,12.854491989952535,20.0
599,-10.797,10.578,3.0,0.051000000000000004,12.869535747816903,12.869535747816903,20.0
600,-4.822,-0.21,3.0,0.051000000000000004,12.91882792332801,12.91882792332801,20.0
601,-1.296,-6.767,3.0,0.051000000000000004,12.982528903251325,12.982528903251325,20.0
602,0.234,-3.282,3.0,0.051000000000000004,12.98477886689738,12.98477886689738,20.0
603,0.023,-7.467,3.0,0.051000000000000004,13.054325488508344,13.054325488508344,20.0
604,-10.624,18.181,3.0,0.051000000000000004,13.08739760238888,13.08739760238888,20.0
605,-2.524,0.478,3.0,0.051000000000000004,13.11885562638359,13.11885562638359,20.0
606,-16.718,10.926,3.0,0.051000000000000004,13.140409971583908,13.140409971583908,20.0
607,-2.525,-5.988,3.0,0.051000000000000004,13.177628468069894,13.177628468069894,20.0
608,-2.166,-8.752,3.0,0.051000000000000004,13.185139938162234,13.185139938162234,20.0
609,-9.369,-1.549,3.0,0.051000000000000004,13.18987990491485,13.18987990491485,20.0
610,-1.755,1.14,3.0,0.051000000000000004,13.2319401691147,13.2319401691147,20.0
611,-18.551,12.042,3.0,0.051000000000000004,13.237399947666,13.237399947666,20.0
612,2.767,-0.432,3.0,0.051000000000000004,13.248139114699608,13.248139114699608,20.0
613,-1.876,15.203,3.0,0.051000000000000004,13.251860436608858,13.251860436608858,20.0
614,-10.157,17.922,3.0,0.051000000000000004,13.325676822109982,13.325676822109982,20.0
615,-3.051,-1.957,3.0,0.051000000000000004,13.346188244868229,13.346188244868229,20.0
616,-1.831,-5.417,3.0,0.051000000000000004,13.419013851401749,13.419013851401749,20.0
617,-13.923,15.365,3.0,0.051000000000000004,13.420701624574209,13.420701624574209,20.0
618,-2.692,2.761,3.0,0.051000000000000004,13.47842445471715,13.47842445471715,20.0
619,-11.925,12.5,3.0,0.051000000000000004,13.679074783735263,13.679074783735263,20.0
620,-18.285,11.315,3.0,0.051000000000000004,13.811253426921747,13.811253426921747,20.0
621,-5.461,12.939,3.0,0.051000000000000004,13.842660779990135,13.842660779990135,20.0
622,-3.095,-14.93,3.0,0.051000000000000004,13.893448005306148,13.893448005306148,20.0
623,-7.576,5.766,3.0,0.051000000000000004,13.968811976938955,13.968811976938955,20.0
624,-2.717,-0.543,3.0,0.051000000000000004,13.989314221308472,13.989314221308472,20.0
