in,Node
1,1428
2,1339
3,471
4,2572
5,597
6,921
7,456
8,1364
9,2743
10,1279
11,1231
12,486
13,2827
14,1176
15,454
16,1185
17,2785
18,1921
19,1354
20,2754
21,1230
22,450
23,1925
24,2504
25,1919
26,2439
27,2548
28,2393
29,2398
30,995
31,1265
32,1265
33,2827
34,478
35,1186
36,2629
37,932
38,2472
39,1299
40,2404
41,1189
42,630
43,1185
44,456
45,2521
46,1218
47,451
48,468
49,1177
50,1233
51,1285
52,452
53,1232
54,1352
55,1216
56,1189
57,1280
58,577
59,2376
60,1183
61,2664
62,1921
63,1252
64,2595
65,360
66,1042
67,2472
68,2465
69,933
70,469
71,1152
72,1187
73,2520
74,2443
75,1913
76,486
77,491
78,458
79,485
80,629
81,2571
82,742
83,1322
84,1365
85,1047
86,495
87,2474
88,2465
89,2355
90,2357
91,476
92,1265
93,1359
94,458
95,451
96,1948
97,1322
98,2387
99,914
100,2628
101,629
102,2745
103,1266
104,1930
105,737
106,490
107,2596
108,1279
109,2672
110,1186
111,1224
112,1250
113,484
114,2631
115,484
116,429
117,1242
118,1168
119,593
120,744
121,2666
122,2437
123,2370
124,479
125,2436
126,1233
127,2448
128,2367
129,2623
130,436
131,1232
132,1220
133,482
134,482
135,482
136,482
137,483
138,482
139,482
140,482
141,1266
142,742
143,449
144,1369
145,2509
146,456
147,1887
148,747
149,2469
150,429
151,2400
152,559
153,2401
154,1256
155,1192
156,458
157,581
158,585
159,451
160,487
161,449
162,482
163,1210
164,1186
165,2464
166,466
167,1264
168,466
169,1168
170,2612
171,457
172,1252
173,2392
174,448
175,609
176,470
177,1443
178,471
179,350
180,425
181,1920
182,961
183,1220
184,2482
185,1235
186,2497
187,1153
188,2627
189,478
190,1232
191,2434
192,757
193,431
194,777
195,2785
196,1263
197,2537
198,428
199,817
200,1188
201,481
202,1243
203,1935
204,1221
205,605
206,1948
207,560
208,1422
209,2829
210,1223
211,1168
212,2785
213,612
214,2755
215,343
216,454
217,2506
218,629
219,2467
220,2476
221,1234
222,1266
223,2659
224,1212
225,485
226,1213
227,1938
228,485
229,2508
230,562
231,2496
232,2568
233,1191
234,1244
235,2498
236,1251
237,431
238,2833
239,578
240,763
241,493
242,2471
243,1290
244,2709
245,591
246,1363
247,1165
248,1278
249,1186
250,1249
251,2520
252,472
253,465
254,469
255,2387
256,2438
257,2597
258,630
259,2628
260,489
261,1258
262,1248
263,2708
264,2459
265,1354
266,481
267,1239
268,562
269,2434
270,2401
271,449
272,1355
273,2456
274,1236
275,1230
276,1244
277,2835
278,2837
279,350
280,789
281,1438
282,489
283,472
284,961
285,1187
286,458
287,457
288,829
289,564
290,1183
291,1197
292,1237
293,443
294,476
295,2517
296,2400
297,2779
298,436
299,750
300,827
301,1219
302,2829
303,2834
304,2604
305,2473
306,1062
307,1194
308,1146
309,2456
310,1940
311,489
312,2561
313,2389
314,1242
315,1324
316,1246
317,591
318,451
319,472
320,2440
321,1946
322,1258
323,2388
324,1322
325,1210
326,2485
327,815
328,1233
329,2391
330,458
331,1925
332,469
333,2834
334,2503
335,444
336,449
337,1190
338,1248
339,483
340,1157
341,1177
342,2475
343,2343
