in,x,y,q,tc,tr,te,tl
22,-2.262,14.598,1.78,0.029670000000000002,8,8,20
23,-2.1,15.168,1.68,0.027999999999999997,8,8,20
24,-1.614,14.055,1.55,0.025830000000000002,8,8,20
25,-2.239,14.243,1.32,0.022000000000000002,8,8,20
26,-2.008,14.037,1.23,0.020499999999999997,8,8,20
27,-1.007,13.859,1.59,0.0265,8,8,20
28,-2.33,13.45,1.51,0.025169999999999998,8,8,20
29,-5.76,12.221,1.1300000000000001,0.01883,8,8,20
30,-5.258,11.607,1.9100000000000001,0.03183,8,8,20
31,-5.48,11.171,0.77,0.01283,8,8,20
32,-4.835,13.285,1.8,0.03,8,8,20
33,-3.113,15.549,1.1,0.01833,8,8,20
34,-3.085,14.868,2.19,0.0365,8,8,20
35,-4.012,15.024,1.72,0.02867,8,8,20
36,-5.146,15.666,1.71,0.0285,8,8,20
37,-5.831,14.453,1.67,0.02783,8,8,20
38,-3.713,14.218,0.99,0.0165,8,8,20
39,-3.14,14.354,1.76,0.02933,8,8,20
40,-7.948,16.161,2.27,0.03783,8,8,20
41,-8.64,15.75,3.13,0.052169999999999994,8,8,20
42,-8.291,15.543,3.36,0.055999999999999994,8,8,20
43,-6.934,16.52,2.0100000000000002,0.0335,8,8,20
44,-9.29,16.466,3.14,0.052329999999999995,8,8,20
45,-9.032,15.951,3.9,0.065,8,8,20
46,-8.111,16.662,2.8000000000000003,0.046669999999999996,8,8,20
47,-10.044,15.766,4.34,0.07232999999999999,8,8,20
48,-9.405,15.44,1.45,0.024169999999999997,8,8,20
49,-9.621,15.618,1.28,0.021330000000000002,8,8,20
50,-10.242,15.121,2.74,0.04567,8,8,20
51,-10.344,14.551,1.6400000000000001,0.02733,8,8,20
52,-10.012,14.905,2.83,0.04717,8,8,20
53,-9.845,14.324,1.9000000000000001,0.03167,8,8,20
54,-9.458,14.665,2.74,0.04567,8,8,20
55,-9.657,14.49,2.48,0.04133,8,8,20
56,-9.242,15.22,2.99,0.04983,8,8,20
57,-8.408,14.304,1.55,0.025830000000000002,8,8,20
58,-8.88,14.809,2.96,0.04933,8,8,20
59,-9.306,13.706,2.0300000000000002,0.03383,8,8,20
60,-9.572,13.658,1.56,0.026000000000000002,8,8,20
61,-9.118,13.872,3.63,0.0605,8,8,20
62,-8.919,14.047,2.2,0.03667,8,8,20
63,-10.844,19.149,2.17,0.03617,8,8,20
64,-9.987,18.869,2.34,0.039,8,8,20
65,-8.933,18.705,2.2,0.03667,8,8,20
66,-9.077,17.781,2.72,0.04533,8,8,20
67,-9.637,17.824,2.0300000000000002,0.03383,8,8,20
68,-9.91,17.587,4.72,0.07867,8,8,20
69,-10.725,17.814,2.21,0.03683,8,8,20
70,-11.124,18.413,2.2600000000000002,0.03767,8,8,20
71,-11.782,18.935,2.71,0.04517,8,8,20
72,-10.455,18.129,1.2,0.02,8,8,20
73,-10.656,18.315,3.09,0.051500000000000004,8,8,20
74,-13.209,19.028,3.85,0.06417,8,8,20
75,-11.871,18.01,2.97,0.0495,8,8,20
76,-15.243,18.271,1.74,0.028999999999999998,8,8,20
77,-12.575,17.705,2.62,0.04367,8,8,20
78,-14.56,17.293,1.2,0.02,8,8,20
79,-14.481,16.453,1.43,0.02383,8,8,20
80,-15.338,16.67,2.04,0.034,8,8,20
81,-13.747,16.746,2.33,0.03883,8,8,20
82,-13.736,15.998,1.44,0.024,8,8,20
83,-11.558,16.921,2.7,0.045,8,8,20
84,-11.834,16.656,1.6600000000000001,0.02767,8,8,20
85,-11.036,17.542,2.09,0.03483,8,8,20
86,-11.252,17.229,4.95,0.0825,8,8,20
87,-16.46,15.968,1.05,0.0175,8,8,20
88,-17.225,16.048,1.36,0.02267,8,8,20
89,-16.364,16.46,1.67,0.02783,8,8,20
90,-16.705,17.005,1.09,0.01817,8,8,20
91,-18.739,16.482,4.33,0.07217,8,8,20
92,-17.599,16.92,1.5,0.025,8,8,20
93,-17.89,16.079,1.06,0.017669999999999998,8,8,20
94,-11.978,15.82,1.17,0.0195,8,8,20
95,-12.625,15.839,1.4000000000000001,0.023330000000000004,8,8,20
96,-12.966,15.408,1.22,0.02033,8,8,20
97,-11.554,15.237,1.79,0.029830000000000002,8,8,20
98,-10.887,15.591,3.59,0.059829999999999994,8,8,20
99,-11.312,14.539,2.13,0.0355,8,8,20
100,-12.111,14.196,1.96,0.03267,8,8,20
101,-12.106,14.741,1.3900000000000001,0.023170000000000003,8,8,20
102,-12.993,14.768,2.25,0.0375,8,8,20
103,-13.035,14.2,2.48,0.04133,8,8,20
104,-13.802,15.209,1.68,0.027999999999999997,8,8,20
105,-14.662,15.659,1.73,0.02883,8,8,20
106,-14.93,15.218,2.72,0.04533,8,8,20
107,-16.876,14.776,3.11,0.05183,8,8,20
108,-16.1,14.186,1.86,0.031000000000000003,8,8,20
109,-16.053,15.156,1.83,0.0305,8,8,20
110,-14.819,14.216,2.4,0.04,8,8,20
111,-14.818,14.718,3.36,0.055999999999999994,8,8,20
112,-15.582,14.693,0.85,0.01417,8,8,20
113,-13.897,14.215,1.44,0.024,8,8,20
114,-13.841,14.715,2.68,0.044669999999999994,8,8,20
115,-19.046,14.951,1.87,0.03117,8,8,20
116,-18.0,15.0,0.98,0.01633,8,8,20
117,-20.666,15.054,1.8,0.03,8,8,20
118,-19.934,14.682,1.29,0.0215,8,8,20
119,-20.208,14.178,3.1,0.05167,8,8,20
120,-22.698,12.331,1.03,0.01717,8,8,20
121,-20.52,12.273,2.29,0.03817,8,8,20
122,-19.453,12.297,2.74,0.04567,8,8,20
123,-20.525,13.541,2.82,0.047,8,8,20
124,-19.899,12.139,1.7,0.02833,8,8,20
125,-19.83,12.699,0.88,0.01467,8,8,20
126,-17.418,13.532,1.87,0.03117,8,8,20
127,-18.586,13.517,1.87,0.03117,8,8,20
128,-18.206,14.198,2.09,0.03483,8,8,20
129,-19.423,14.189,1.56,0.026000000000000002,8,8,20
130,-19.019,14.193,1.6300000000000001,0.02717,8,8,20
131,-17.9,12.164,1.77,0.029500000000000002,8,8,20
132,-17.579,12.454,1.54,0.025670000000000002,8,8,20
133,-19.278,12.677,2.42,0.040330000000000005,8,8,20
134,-18.746,12.8,1.19,0.01983,8,8,20
135,-19.155,12.264,0.64,0.010669999999999999,8,8,20
136,-18.588,12.157,2.27,0.03783,8,8,20
137,-14.73,13.214,2.43,0.0405,8,8,20
138,-15.655,13.517,30.830000000000002,0.51383,8,8,20
139,-15.382,13.079,1.52,0.02533,8,8,20
140,-16.247,12.827,2.02,0.03367,8,8,20
141,-15.937,13.681,1.1400000000000001,0.019,8,8,20
142,-16.397,13.46,1.6500000000000001,0.0275,8,8,20
143,-16.857,13.437,2.21,0.03683,8,8,20
144,-16.944,12.289,2.07,0.0345,8,8,20
145,-14.955,12.203,3.45,0.0575,8,8,20
146,-15.903,12.198,1.93,0.032170000000000004,8,8,20
147,-16.451,12.237,1.29,0.0215,8,8,20
148,-11.928,13.198,2.71,0.04517,8,8,20
149,-11.821,13.705,1.17,0.0195,8,8,20
150,-12.379,13.438,3.92,0.06533,8,8,20
151,-12.881,13.453,1.25,0.02083,8,8,20
152,-13.497,13.402,1.77,0.029500000000000002,8,8,20
153,-14.016,13.124,2.08,0.03467,8,8,20
154,-13.592,12.431,2.18,0.03633,8,8,20
155,-12.895,12.456,3.27,0.0545,8,8,20
156,-12.388,12.819,2.48,0.04133,8,8,20
157,-12.394,12.569,2.5100000000000002,0.04183,8,8,20
158,-12.398,12.205,2.17,0.03617,8,8,20
159,-11.974,12.82,2.37,0.0395,8,8,20
160,-11.991,12.564,2.94,0.049,8,8,20
161,-12.016,12.206,4.11,0.06849999999999999,8,8,20
162,-9.41,12.721,2.63,0.04383,8,8,20
163,-10.25,13.969,3.0100000000000002,0.050170000000000006,8,8,20
164,-9.709,13.35,1.97,0.03283,8,8,20
165,-10.737,13.709,2.93,0.04883,8,8,20
166,-10.805,14.319,2.23,0.03717,8,8,20
167,-11.26,13.625,1.96,0.03267,8,8,20
