in,x,y,q,tc,tr,te,tl
22,-15.599,8.698,3.0,0.051000000000000004,8.0,8.0,20.0
23,-0.58,0.949,3.0,0.051000000000000004,8.0,8.0,20.0
24,-10.384,12.52,3.0,0.051000000000000004,8.0,8.0,20.0
25,0.473,4.743,3.0,0.051000000000000004,8.0,8.0,20.0
26,-0.603,-2.563,3.0,0.051000000000000004,8.0,8.0,20.0
27,-3.058,0.338,3.0,0.051000000000000004,8.0,8.0,20.0
28,-15.179,12.711,3.0,0.051000000000000004,8.0,8.0,20.0
29,1.912,3.17,3.0,0.051000000000000004,8.0,8.0,20.0
30,-18.532,9.356,3.0,0.051000000000000004,8.0,8.0,20.0
31,-2.037,-5.003,3.0,0.051000000000000004,8.0,8.0,20.0
32,2.76,-1.025,3.0,0.051000000000000004,8.0,8.0,20.0
33,-1.254,0.707,3.0,0.051000000000000004,8.0,8.0,20.0
34,-2.141,-0.226,3.0,0.051000000000000004,8.0,8.0,20.0
35,-20.05,10.558,3.0,0.051000000000000004,8.0,8.0,20.0
36,2.389,-0.419,3.0,0.051000000000000004,8.0,8.0,20.0
37,-10.852,13.762,3.0,0.051000000000000004,8.0,8.0,20.0
38,2.556,-0.617,3.0,0.051000000000000004,8.0,8.0,20.0
39,-1.398,3.066,3.0,0.051000000000000004,8.0,8.0,20.0
40,-7.991,10.933,3.0,0.051000000000000004,8.0,8.0,20.0
41,-11.852,17.939,3.0,0.051000000000000004,8.0,8.0,20.0
42,-11.096,8.416,3.0,0.051000000000000004,8.0,8.0,20.0
43,-11.014,10.354,3.0,0.051000000000000004,8.0,8.0,20.0
44,-2.806,-14.886,3.0,0.051000000000000004,8.0,8.0,20.0
45,-0.718,-4.208,3.0,0.051000000000000004,8.0,8.0,20.0
46,-1.024,-4.231,3.0,0.051000000000000004,8.0,8.0,20.0
47,2.431,3.1,3.0,0.051000000000000004,8.0,8.0,20.0
48,-17.142,12.26,3.0,0.051000000000000004,8.0,8.0,20.0
49,-2.525,-4.365,3.0,0.051000000000000004,8.0,8.0,20.0
50,-8.808,16.149,3.0,0.051000000000000004,8.0,8.0,20.0
51,-8.685,-0.05,3.0,0.051000000000000004,8.0,8.0,20.0
52,-11.59,12.045,3.0,0.051000000000000004,8.0,8.0,20.0
53,-1.783,-2.215,3.0,0.051000000000000004,8.0,8.0,20.0
54,-8.791,6.99,3.0,0.051000000000000004,8.0,8.0,20.0
55,-2.409,-2.978,3.0,0.051000000000000004,8.0,8.0,20.0
56,-0.512,-16.841,3.0,0.051000000000000004,8.0,8.0,20.0
57,-2.491,-4.915,3.0,0.051000000000000004,8.0,8.0,20.0
58,-17.206,9.187,3.0,0.051000000000000004,8.0,8.0,20.0
59,3.016,5.757,3.0,0.051000000000000004,8.0,8.0,20.0
60,-9.137,13.632,3.0,0.051000000000000004,8.0,8.0,20.0
61,-4.274,-1.085,3.0,0.051000000000000004,8.0,8.0,20.0
62,-17.694,11.06,3.0,0.051000000000000004,8.0,8.0,20.0
63,-12.728,10.292,3.0,0.051000000000000004,8.0,8.0,20.0
64,-12.216,9.95,3.0,0.051000000000000004,8.0,8.0,20.0
65,-3.785,-4.273,3.0,0.051000000000000004,8.0,8.0,20.0
66,-14.541,11.766,3.0,0.051000000000000004,8.0,8.0,20.0
