in,x,y,q,tc,tr,te,tl
22,-17.82,16.679,3.0,0.051000000000000004,8.0,8.0,20.0
23,-15.285,8.782,3.0,0.051000000000000004,8.0,8.0,20.0
24,-2.903,0.901,3.0,0.051000000000000004,8.0,8.0,20.0
25,-0.524,1.369,3.0,0.051000000000000004,8.0,8.0,20.0
26,-10.02,12.568,3.0,0.051000000000000004,8.0,8.0,20.0
27,0.363,4.758,3.0,0.051000000000000004,8.0,8.0,20.0
28,-0.676,-2.325,3.0,0.051000000000000004,8.0,8.0,20.0
29,-3.003,0.428,3.0,0.051000000000000004,8.0,8.0,20.0
30,-14.744,12.739,3.0,0.051000000000000004,8.0,8.0,20.0
31,2.317,2.902,3.0,0.051000000000000004,8.0,8.0,20.0
32,-19.184,9.191,3.0,0.051000000000000004,8.0,8.0,20.0
33,-2.148,-4.854,3.0,0.051000000000000004,8.0,8.0,20.0
34,-2.427,14.704,3.0,0.051000000000000004,8.0,8.0,20.0
35,2.742,-1.533,3.0,0.051000000000000004,8.0,8.0,20.0
36,-1.002,0.888,3.0,0.051000000000000004,8.0,8.0,20.0
37,0.707,4.482,3.0,0.051000000000000004,8.0,8.0,20.0
38,-1.953,-0.247,3.0,0.051000000000000004,8.0,8.0,20.0
39,-19.466,10.535,3.0,0.051000000000000004,8.0,8.0,20.0
40,-10.388,13.764,3.0,0.051000000000000004,8.0,8.0,20.0
41,2.782,-0.513,3.0,0.051000000000000004,8.0,8.0,20.0
42,-8.017,10.576,3.0,0.051000000000000004,8.0,8.0,20.0
43,-11.78,18.037,3.0,0.051000000000000004,8.0,8.0,20.0
44,-11.079,8.604,3.0,0.051000000000000004,8.0,8.0,20.0
45,-10.775,10.105,3.0,0.051000000000000004,8.0,8.0,20.0
46,-2.733,-14.795,3.0,0.051000000000000004,8.0,8.0,20.0
47,-0.845,-4.25,3.0,0.051000000000000004,8.0,8.0,20.0
48,-0.543,-4.515,3.0,0.051000000000000004,8.0,8.0,20.0
49,2.441,3.049,3.0,0.051000000000000004,8.0,8.0,20.0
50,-17.079,12.439,3.0,0.051000000000000004,8.0,8.0,20.0
51,-2.563,-4.279,3.0,0.051000000000000004,8.0,8.0,20.0
52,-8.094,16.711,3.0,0.051000000000000004,8.0,8.0,20.0
53,-8.582,0.486,3.0,0.051000000000000004,8.0,8.0,20.0
54,-11.747,12.143,3.0,0.051000000000000004,8.0,8.0,20.0
55,-1.977,-2.387,3.0,0.051000000000000004,8.0,8.0,20.0
56,-9.187,6.903,3.0,0.051000000000000004,8.0,8.0,20.0
57,-2.43,-2.712,3.0,0.051000000000000004,8.0,8.0,20.0
58,-0.353,-16.88,3.0,0.051000000000000004,8.0,8.0,20.0
59,-2.41,-4.917,3.0,0.051000000000000004,8.0,8.0,20.0
60,-17.8,8.759,3.0,0.051000000000000004,8.0,8.0,20.0
61,-9.134,13.616,3.0,0.051000000000000004,8.0,8.0,20.0
62,-4.079,-1.26,3.0,0.051000000000000004,8.0,8.0,20.0
63,-18.124,10.913,3.0,0.051000000000000004,8.0,8.0,20.0
64,-12.728,10.292,3.0,0.051000000000000004,8.0,8.0,20.0
65,-4.433,-4.288,3.0,0.051000000000000004,8.0,8.0,20.0
66,-14.317,11.072,3.0,0.051000000000000004,8.0,8.0,20.0
67,-2.947,2.041,3.0,0.051000000000000004,8.0,8.0,20.0
68,0.726,-3.382,3.0,0.051000000000000004,8.0,8.0,20.0
69,-17.545,7.659,3.0,0.051000000000000004,8.0,8.0,20.0
70,-3.462,1.235,3.0,0.051000000000000004,8.0,8.0,20.0
71,-3.248,-1.877,3.0,0.051000000000000004,8.0,8.0,20.0
72,-2.185,-6.171,3.0,0.051000000000000004,8.0,8.0,20.0
73,-1.98,-2.757,3.0,0.051000000000000004,8.0,8.0,20.0
74,0.021,-3.058,3.0,0.051000000000000004,8.0,8.0,20.0
75,-2.93,-17.751,3.0,0.051000000000000004,8.0,8.0,20.0
76,-11.677,8.827,3.0,0.051000000000000004,8.0,8.0,20.0
77,-3.617,-4.737,3.0,0.051000000000000004,8.0,8.0,20.0
78,-2.001,2.726,3.0,0.051000000000000004,8.0,8.0,20.0
79,3.13,-0.983,3.0,0.051000000000000004,8.0,8.0,20.0
80,-1.828,-4.422,3.0,0.051000000000000004,8.0,8.0,20.0
81,-8.374,14.528,3.0,0.051000000000000004,8.0,8.0,20.0
82,-9.743,13.985,3.0,0.051000000000000004,8.0,8.0,20.0
83,-3.011,-6.79,3.0,0.051000000000000004,8.0,8.0,20.0
84,-11.86,12.066,3.0,0.051000000000000004,8.0,8.0,20.0
85,-7.713,-0.035,3.0,0.051000000000000004,8.0,8.0,20.0
86,-19.591,11.963,3.0,0.051000000000000004,8.0,8.0,20.0
87,-0.943,-8.087,3.0,0.051000000000000004,8.0,8.0,20.0
88,-3.254,-2.225,3.0,0.051000000000000004,8.0,8.0,20.0
89,-9.377,14.275,3.0,0.051000000000000004,8.0,8.0,20.0
90,-6.993,7.674,3.0,0.051000000000000004,8.0,8.0,20.0
