in,Node
1,1428
2,1198
3,449
4,623
5,1157
6,2831
7,2782
8,928
9,1256
10,483
11,2430
12,1352
13,465
14,2509
15,766
16,998
17,817
18,2639
19,745
20,1927
21,562
22,455
23,1364
24,1279
25,1231
26,486
27,2828
28,450
29,1185
30,2787
31,1921
32,1354
33,1317
34,449
35,2504
36,1919
37,2708
38,2440
39,2552
40,2398
41,995
42,1264
43,1264
44,2827
45,478
46,1188
47,2623
48,932
49,2497
50,1189
51,2404
52,630
53,1185
54,453
55,2834
56,2521
57,1202
58,451
59,468
60,2381
61,485
62,2655
63,1285
64,455
65,1232
66,1216
67,1184
68,1189
69,1278
70,576
71,2377
72,1183
73,1924
74,1253
75,2595
76,2593
77,1042
78,2472
79,2472
80,933
81,469
82,1153
83,1215
84,2520
85,2451
86,1919
87,2831
88,486
89,491
90,458
91,1235
92,485
93,629
94,2657
95,2571
96,742
97,1320
98,1364
99,1145
100,493
101,2475
102,2465
103,2352
104,2358
105,476
106,1278
107,1359
108,458
109,451
110,1948
111,1329
112,2387
113,914
114,2571
115,467
116,629
117,2745
118,1278
119,1443
120,777
121,2479
122,2623
123,1278
124,2457
125,1186
126,1250
127,484
128,2631
129,494
130,429
131,1184
132,1168
133,593
134,2525
135,744
136,2665
137,1354
138,2394
139,483
140,2436
141,1233
142,2423
143,2367
144,2623
145,431
146,1232
147,1212
148,482
149,482
150,483
151,482
152,482
153,482
154,482
155,1259
156,1259
157,432
158,1290
159,2509
160,455
161,456
162,1887
163,748
164,2469
165,429
166,2427
167,1254
168,1192
169,585
170,1196
171,451
172,763
173,2460
174,2413
175,449
176,1210
177,1186
178,2389
179,466
180,1265
181,466
182,1168
183,2459
184,457
185,1252
186,445
187,611
188,2394
189,437
190,471
191,351
192,424
193,1920
194,488
195,957
196,1222
197,1220
198,2482
199,1235
200,2497
201,1163
202,2567
203,478
204,1232
205,2434
206,763
207,431
208,777
209,2785
210,1259
211,2549
212,432
213,742
214,481
215,1247
216,1943
217,1225
218,621
219,2573
220,1948
221,560
222,1421
223,2829
224,1300
225,1172
226,2785
227,609
228,2755
229,454
230,2513
231,612
232,2468
233,2476
234,1350
235,1256
236,2658
237,1212
238,485
239,1209
240,1946
241,466
242,585
243,2496
244,2556
245,1190
246,1250
247,2498
248,1250
249,1190
250,431
251,2756
252,576
253,494
254,2470
255,1280
256,1368
257,591
258,1363
259,1163
260,1266
261,1186
262,1248
263,2430
264,2524
265,480
266,467
267,2387
268,2597
269,644
270,2392
271,2567
272,489
273,1258
274,1242
275,2667
276,2710
277,2459
278,1353
279,481
280,1240
281,586
282,1177
283,2433
284,2401
285,449
286,1355
287,1121
288,2456
289,1236
290,1314
291,1185
292,1948
293,2837
294,477
295,789
296,1927
297,489
298,961
299,1189
300,457
301,748
302,1185
303,2440
304,1190
305,1237
306,443
307,476
308,2830
309,2517
310,2621
311,436
312,840
313,1218
314,2829
315,2834
316,2604
317,2473
318,998
319,1196
320,1146
321,2456
322,1940
323,489
324,2561
325,2389
326,1242
327,1320
328,1245
329,587
330,451
331,472
332,2440
333,1972
334,1259
335,2464
336,1322
337,2485
338,815
339,2398
340,458
341,1925
342,2834
343,2503
344,2348
345,444
346,469
347,1249
348,1153
349,1186
350,2471
351,2343
352,2835
353,431
354,471
355,461
356,1921
357,1255
358,2421
359,458
360,2618
361,490
362,1265
363,2439
364,2543
365,581
366,1347
367,456
368,2662
369,2577
370,1944
371,2434
372,2435
373,1250
374,614
375,2472
376,1243
377,1979
378,932
379,1284
380,1342
381,1256
382,361
383,471
384,2787
385,2650
386,876
387,1261
388,1354
389,2834
390,561
391,2548
392,2566
393,1150
394,1166
395,946
396,1238
397,548
398,461
399,2660
400,459
401,2711
402,1251
403,2433
404,1256
405,1433
406,2427
407,444
408,1223
409,813
410,1215
411,2425
412,1939
413,1157
414,2664
415,2470
416,946
417,2584
418,921
419,483
420,1152
421,465
422,430
423,1184
424,1371
425,2459
426,1945
427,2787
428,1188
429,739
430,1948
431,1329
432,1951
433,2754
434,1290
435,1361
436,1086
437,2500
438,1183
439,2596
440,1352
441,1154
442,2525
443,2387
444,1009
445,817
446,1194
447,1919
448,2426
449,1940
450,1167
451,482
452,2391
453,1249
454,449
455,2401
456,2397
457,2829
458,458
459,2500
460,451
461,2557
462,1189
463,428
464,1182
465,1909
466,2831
467,1265
468,637
469,1361
470,1166
471,613
472,1225
473,1177
474,1185
475,480
476,2829
477,1232
478,2835
479,930
480,450
481,2709
482,1439
483,2564
484,491
485,2596
486,1130
487,2473
488,2385
489,2525
490,609
491,2440
492,2391
493,1187
494,453
495,2578
496,1247
497,1253
498,352
