in,x,y,q,tc,tr,te,tl
526,2.406,-0.93,3.0,0.051000000000000004,8.001240166811467,8.001240166811467,20.0
527,-11.9,17.139,3.0,0.051000000000000004,8.03340297531187,8.03340297531187,20.0
528,-8.575,7.898,3.0,0.051000000000000004,8.064518132132983,8.064518132132983,20.0
529,-6.64,11.196,3.0,0.051000000000000004,8.065544285382543,8.065544285382543,20.0
530,-20.817,15.757,3.0,0.051000000000000004,8.147348112215747,8.147348112215747,20.0
531,-14.198,19.76,3.0,0.051000000000000004,8.155996932604918,8.155996932604918,20.0
532,-19.213,10.421,3.0,0.051000000000000004,8.170088651504784,8.170088651504784,20.0
533,-19.643,11.76,3.0,0.051000000000000004,8.193929842419395,8.193929842419395,20.0
534,-2.456,15.58,3.0,0.051000000000000004,8.198173487152266,8.198173487152266,20.0
535,3.548,3.04,3.0,0.051000000000000004,8.214019200665575,8.214019200665575,20.0
536,2.183,-2.214,3.0,0.051000000000000004,8.277530610338742,8.277530610338742,20.0
537,-9.822,14.888,3.0,0.051000000000000004,8.288062045168427,8.288062045168427,20.0
538,1.518,5.553,3.0,0.051000000000000004,8.288185195983353,8.288185195983353,20.0
539,-0.951,-8.149,3.0,0.051000000000000004,8.435407217380607,8.435407217380607,20.0
540,-8.365,11.898,3.0,0.051000000000000004,8.612599210521594,8.612599210521594,20.0
541,-2.713,-1.446,3.0,0.051000000000000004,8.657627081084724,8.657627081084724,20.0
542,-8.965,-4.888,3.0,0.051000000000000004,8.67578314724081,8.67578314724081,20.0
543,-2.964,-2.257,3.0,0.051000000000000004,8.754696552341787,8.754696552341787,20.0
544,-1.369,-18.607,3.0,0.051000000000000004,8.764475078670465,8.764475078670465,20.0
545,-1.71,1.23,3.0,0.051000000000000004,8.781722337749336,8.781722337749336,20.0
546,-0.947,-6.802,3.0,0.051000000000000004,8.846386339748024,8.846386339748024,20.0
547,-0.861,0.275,3.0,0.051000000000000004,8.945813721843562,8.945813721843562,20.0
548,-2.219,-3.928,3.0,0.051000000000000004,9.014544569854806,9.014544569854806,20.0
549,-13.142,12.764,3.0,0.051000000000000004,9.048289626379974,9.048289626379974,20.0
550,-1.366,-4.193,3.0,0.051000000000000004,9.108399716020173,9.108399716020173,20.0
551,-9.14,13.894,3.0,0.051000000000000004,9.10942385495519,9.10942385495519,20.0
552,-2.139,2.285,3.0,0.051000000000000004,9.110077674442858,9.110077674442858,20.0
553,-5.05,-0.497,3.0,0.051000000000000004,9.217068515271887,9.217068515271887,20.0
554,-8.105,11.874,3.0,0.051000000000000004,9.34707293352487,9.34707293352487,20.0
555,-5.762,12.514,3.0,0.051000000000000004,9.389836564889297,9.389836564889297,20.0
556,-5.537,1.394,3.0,0.051000000000000004,9.42479288836583,9.42479288836583,20.0
557,-5.434,11.849,3.0,0.051000000000000004,9.498401169790007,9.498401169790007,20.0
558,-0.198,-5.613,3.0,0.051000000000000004,9.517038917043664,9.517038917043664,20.0
559,-1.421,-3.015,3.0,0.051000000000000004,9.55982229538541,9.55982229538541,20.0
560,-0.902,-5.887,3.0,0.051000000000000004,9.574940948771477,9.574940948771477,20.0
561,-10.241,13.284,3.0,0.051000000000000004,9.616023375343856,9.616023375343856,20.0
562,-8.533,-5.301,3.0,0.051000000000000004,9.706960224371082,9.706960224371082,20.0
563,-9.721,12.36,3.0,0.051000000000000004,9.748482854998104,9.748482854998104,20.0
564,-11.138,13.36,3.0,0.051000000000000004,9.832376633815995,9.832376633815995,20.0
565,0.046,-1.622,3.0,0.051000000000000004,9.961356820473416,9.961356820473416,20.0
566,-10.098,15.88,3.0,0.051000000000000004,9.988510824269277,9.988510824269277,20.0
567,-4.538,-4.534,3.0,0.051000000000000004,10.038319353489138,10.038319353489138,20.0
568,-2.602,0.475,3.0,0.051000000000000004,10.093627979916153,10.093627979916153,20.0
569,-0.482,2.691,3.0,0.051000000000000004,10.166284266281751,10.166284266281751,20.0
570,-1.251,1.653,3.0,0.051000000000000004,10.208262525575279,10.208262525575279,20.0
571,-8.04,-0.298,3.0,0.051000000000000004,10.21422636018731,10.21422636018731,20.0
572,-2.113,-3.623,3.0,0.051000000000000004,10.21887672811633,10.21887672811633,20.0
573,-16.02,13.37,3.0,0.051000000000000004,10.23902116224827,10.23902116224827,20.0
574,-9.052,9.618,3.0,0.051000000000000004,10.256589490174939,10.256589490174939,20.0
575,-19.363,15.774,3.0,0.051000000000000004,10.26607953604511,10.26607953604511,20.0
576,3.306,2.48,3.0,0.051000000000000004,10.29766942892489,10.29766942892489,20.0
577,0.245,-7.741,3.0,0.051000000000000004,10.308230998640338,10.308230998640338,20.0
578,-10.351,9.76,3.0,0.051000000000000004,10.349921148857083,10.349921148857083,20.0
579,3.105,0.112,3.0,0.051000000000000004,10.529860884106272,10.529860884106272,20.0
580,0.159,-3.301,3.0,0.051000000000000004,10.536155232832531,10.536155232832531,20.0
581,-0.511,-1.135,3.0,0.051000000000000004,10.589293103443554,10.589293103443554,20.0
582,-11.294,12.931,3.0,0.051000000000000004,10.597079464019421,10.597079464019421,20.0
583,-11.205,17.389,3.0,0.051000000000000004,10.728211054425602,10.728211054425602,20.0
584,4.811,1.771,3.0,0.051000000000000004,10.730588969046103,10.730588969046103,20.0
585,-16.544,7.833,3.0,0.051000000000000004,10.846688308819152,10.846688308819152,20.0
586,-0.043,-3.196,3.0,0.051000000000000004,10.951901104650233,10.951901104650233,20.0
587,1.037,0.847,3.0,0.051000000000000004,11.061827206457227,11.061827206457227,20.0
588,-11.185,18.176,3.0,0.051000000000000004,11.065317500429959,11.065317500429959,20.0
589,-9.676,9.984,3.0,0.051000000000000004,11.19930638557814,11.19930638557814,20.0
590,-11.163,8.879,3.0,0.051000000000000004,11.201059534673462,11.201059534673462,20.0
591,-1.095,-18.496,3.0,0.051000000000000004,11.318097090505788,11.318097090505788,20.0
592,-10.213,11.038,3.0,0.051000000000000004,11.397816194557015,11.397816194557015,20.0
593,-0.996,-8.61,3.0,0.051000000000000004,11.443933077789461,11.443933077789461,20.0
594,-7.144,5.147,3.0,0.051000000000000004,11.480926396080672,11.480926396080672,20.0
595,-0.146,-7.882,3.0,0.051000000000000004,11.483948008875734,11.483948008875734,20.0
596,-1.539,1.699,3.0,0.051000000000000004,11.637977334789689,11.637977334789689,20.0
597,-0.045,-3.9,3.0,0.051000000000000004,11.689822481573529,11.689822481573529,20.0
598,-10.009,14.622,3.0,0.051000000000000004,11.721068369602692,11.721068369602692,20.0
599,-11.509,18.748,3.0,0.051000000000000004,11.790426954266147,11.790426954266147,20.0
600,-9.634,-0.6,3.0,0.051000000000000004,11.843301086613652,11.843301086613652,20.0
601,-4.07,3.885,3.0,0.051000000000000004,11.853601659304257,11.853601659304257,20.0
602,-0.092,-2.009,3.0,0.051000000000000004,11.947890389786462,11.947890389786462,20.0
603,0.272,-6.683,3.0,0.051000000000000004,11.951636276281276,11.951636276281276,20.0
604,-11.893,8.295,3.0,0.051000000000000004,11.954349799194295,11.954349799194295,20.0
605,-7.788,16.254,3.0,0.051000000000000004,11.973289455376161,11.973289455376161,20.0
606,-16.944,10.954,3.0,0.051000000000000004,12.014124556819414,12.014124556819414,20.0
607,-9.117,15.291,3.0,0.051000000000000004,12.015435188045913,12.015435188045913,20.0
608,-3.674,15.298,3.0,0.051000000000000004,12.034721449413293,12.034721449413293,20.0
609,1.022,-7.876,3.0,0.051000000000000004,12.125018481965595,12.125018481965595,20.0
610,-1.281,1.765,3.0,0.051000000000000004,12.260023348282626,12.260023348282626,20.0
611,1.254,-7.619,3.0,0.051000000000000004,12.307084607709815,12.307084607709815,20.0
612,0.534,-17.767,3.0,0.051000000000000004,12.37307846566174,12.37307846566174,20.0
613,-15.395,-0.121,3.0,0.051000000000000004,12.416309799583452,12.416309799583452,20.0
614,-1.795,-11.013,3.0,0.051000000000000004,12.452114237014566,12.452114237014566,20.0
615,-3.671,-5.155,3.0,0.051000000000000004,12.460151983236377,12.460151983236377,20.0
616,-7.325,0.512,3.0,0.051000000000000004,12.564087785790836,12.564087785790836,20.0
617,-3.129,-6.517,3.0,0.051000000000000004,12.588231987057178,12.588231987057178,20.0
618,-6.792,10.629,3.0,0.051000000000000004,12.70053640303762,12.70053640303762,20.0
619,-2.831,-3.645,3.0,0.051000000000000004,12.78180582303186,12.78180582303186,20.0
620,3.482,-0.667,3.0,0.051000000000000004,12.811368971164875,12.811368971164875,20.0
621,-16.015,13.383,3.0,0.051000000000000004,12.813483670526226,12.813483670526226,20.0
622,2.429,1.763,3.0,0.051000000000000004,12.84786569729449,12.84786569729449,20.0
623,-0.149,-8.454,3.0,0.051000000000000004,12.86509322796074,12.86509322796074,20.0
624,-19.224,12.64,3.0,0.051000000000000004,12.914842402972006,12.914842402972006,20.0
625,4.869,2.611,3.0,0.051000000000000004,12.987997477588456,12.987997477588456,20.0
626,0.916,-6.839,3.0,0.051000000000000004,13.194233995297681,13.194233995297681,20.0
627,-1.3,-4.554,3.0,0.051000000000000004,13.610718175374625,13.610718175374625,20.0
628,3.214,-0.484,3.0,0.051000000000000004,13.61827036054016,13.61827036054016,20.0
629,-8.866,15.47,3.0,0.051000000000000004,13.646341793403346,13.646341793403346,20.0
630,-0.804,0.67,3.0,0.051000000000000004,13.702655196087125,13.702655196087125,20.0
631,-8.033,9.507,3.0,0.051000000000000004,13.741700547583102,13.741700547583102,20.0
632,-2.722,-0.336,3.0,0.051000000000000004,13.799407300558236,13.799407300558236,20.0
633,-14.679,9.844,3.0,0.051000000000000004,13.808881886037806,13.808881886037806,20.0
634,-1.623,13.835,3.0,0.051000000000000004,13.874599612949316,13.874599612949316,20.0
635,-0.474,-4.365,3.0,0.051000000000000004,13.900732321346553,13.900732321346553,20.0
636,-4.447,-0.264,3.0,0.051000000000000004,13.937134951832313,13.937134951832313,20.0
637,-13.825,12.411,3.0,0.051000000000000004,13.941522807068587,13.941522807068587,20.0
638,-2.859,-5.002,3.0,0.051000000000000004,13.971658078224634,13.971658078224634,20.0
639,3.144,4.897,3.0,0.051000000000000004,13.988171354906704,13.988171354906704,20.0
