in,x,y,q,ts,te,co,cf,phi
1,1.0,0.0,2000.0,8.0,20.0,0.18,1266.0,1
2,-4.649,-0.963,100.0,8.0,20.0,0.119,44.0,1
3,-19.84,10.45,100.0,8.0,20.0,0.423,31.0,1
4,-1.228,-18.06,100.0,8.0,20.0,0.334,32.0,1
5,-0.966,-7.011,100.0,8.0,20.0,0.165,40.0,1
6,2.649,4.097,100.0,8.0,20.0,0.087,44.0,1
7,-4.159,13.86,100.0,8.0,20.0,0.356,34.0,1
8,-8.251,-0.359,100.0,8.0,20.0,0.173,39.0,1
9,-1.862,-3.297,100.0,8.0,20.0,0.098,47.0,1
10,-16.34,14.64,100.0,8.0,20.0,0.458,31.0,1
11,-8.397,8.842,100.0,8.0,20.0,0.226,36.0,1
12,-1.776,1.357,100.0,8.0,20.0,0.062,53.0,1
13,-14.14,9.37,100.0,8.0,20.0,0.313,33.0,1
14,-10.77,14.64,100.0,8.0,20.0,0.331,32.0,1
15,-12.16,0.853,100.0,8.0,20.0,0.268,36.0,1
16,-2.605,-14.13,100.0,8.0,20.0,0.279,34.0,1
17,-8.873,-5.831,100.0,8.0,20.0,0.321,37.0,1
18,-4.768,3.382,100.0,8.0,20.0,0.122,42.0,1
19,-10.8,-3.375,100.0,8.0,20.0,0.273,36.0,1
20,1.705,-0.005,100.0,8.0,20.0,0.012,56.0,1
21,-2.455,-21.65,100.0,8.0,20.0,0.391,31.0,1
