in,x,y,q,tc,tr,te,tl
4,-2.262,14.598,1.78,0.14916,8,8,20
5,-2.1,15.168,1.68,0.21068,8,8,20
6,-1.614,14.055,1.55,0.09335,8,8,20
7,-2.239,14.243,1.32,0.07026,8,8,20
8,-2.008,14.037,1.23,0.05992,8,8,20
9,-1.007,13.859,1.59,0.17792,8,8,20
10,-2.33,13.45,1.51,0.23728,8,8,20
11,-5.76,12.221,1.13,0.0868,8,8,20
12,-5.258,11.607,1.91,0.17687,8,8,20
13,-5.48,11.171,0.77,0.05072,8,8,20
14,-4.835,13.285,1.8,0.38017,8,8,20
15,-3.113,15.549,1.1,0.10871,8,8,20
16,-3.085,14.868,2.19,0.17403,8,8,20
17,-4.012,15.024,1.72,0.16092,8,8,20
18,-5.146,15.666,1.71,0.29556,8,8,20
19,-5.831,14.453,1.67,0.24988,8,8,20
20,-3.713,14.218,0.99,0.10203,8,8,20
21,-3.14,14.354,1.76,0.13012,8,8,20
22,-7.948,16.161,2.27,0.15988,8,8,20
23,-8.64,15.75,3.13,0.22312,8,8,20
24,-8.291,15.543,3.36,0.32327,8,8,20
25,-6.934,16.52,2.01,0.28744,8,8,20
26,-9.29,16.466,3.14,0.22945,8,8,20
27,-9.032,15.951,3.9,0.23087,8,8,20
28,-8.111,16.662,2.8,0.33868,8,8,20
29,-10.044,15.766,4.34,0.42866,8,8,20
30,-9.405,15.44,1.45,0.09649,8,8,20
31,-9.621,15.618,1.28,0.08996,8,8,20
32,-10.242,15.121,2.74,0.18162,8,8,20
33,-10.344,14.551,1.64,0.16646,8,8,20
34,-10.012,14.905,2.83,0.18133,8,8,20
35,-9.845,14.324,1.9,0.13446,8,8,20
36,-9.458,14.665,2.74,0.18785,8,8,20
37,-9.657,14.49,2.48,0.17812,8,8,20
38,-9.242,15.22,2.99,0.20372,8,8,20
39,-8.408,14.304,1.55,0.11857,8,8,20
40,-8.88,14.809,2.96,0.24992,8,8,20
41,-9.306,13.706,2.03,0.13578,8,8,20
42,-9.572,13.658,1.56,0.14291,8,8,20
43,-9.118,13.872,3.63,0.25311,8,8,20
44,-8.919,14.047,2.2,0.15814,8,8,20
45,-10.844,19.149,2.17,0.24172,8,8,20
46,-9.987,18.869,2.34,0.25635,8,8,20
47,-8.933,18.705,2.2,0.22484,8,8,20
48,-9.077,17.781,2.72,0.41452,8,8,20
49,-9.637,17.824,2.03,0.21842,8,8,20
50,-9.91,17.587,4.72,0.45891,8,8,20
51,-10.725,17.814,2.21,0.16721,8,8,20
52,-11.124,18.413,2.26,0.16779,8,8,20
53,-11.782,18.935,2.71,0.26322,8,8,20
54,-10.455,18.129,1.2,0.05006,8,8,20
55,-10.656,18.315,3.09,0.12843,8,8,20
56,-13.209,19.028,3.85,0.61719,8,8,20
57,-11.871,18.01,2.97,0.2736,8,8,20
58,-15.243,18.271,1.74,0.35745,8,8,20
59,-12.575,17.705,2.62,0.30648,8,8,20
60,-14.56,17.293,1.2,0.09711,8,8,20
61,-14.481,16.453,1.43,0.14182,8,8,20
62,-15.338,16.67,2.04,0.27712,8,8,20
63,-13.747,16.746,2.33,0.30165,8,8,20
64,-13.736,15.998,1.44,0.13361,8,8,20
65,-11.558,16.921,2.7,0.18328,8,8,20
66,-11.834,16.656,1.66,0.14569,8,8,20
67,-11.036,17.542,2.09,0.15135,8,8,20
68,-11.252,17.229,4.95,0.35929,8,8,20
69,-16.46,15.968,1.05,0.08087,8,8,20
70,-17.225,16.048,1.36,0.13016,8,8,20
71,-16.364,16.46,1.67,0.2088,8,8,20
72,-16.705,17.005,1.09,0.07187,8,8,20
73,-18.739,16.482,4.33,0.64798,8,8,20
74,-17.599,16.92,1.5,0.1225,8,8,20
75,-17.89,16.079,1.06,0.10805,8,8,20
76,-11.978,15.82,1.17,0.12651,8,8,20
77,-12.625,15.839,1.4,0.11563,8,8,20
78,-12.966,15.408,1.22,0.10371,8,8,20
79,-11.554,15.237,1.79,0.15514,8,8,20
80,-10.887,15.591,3.59,0.33798,8,8,20
81,-11.312,14.539,2.13,0.219,8,8,20
82,-12.111,14.196,1.96,0.13983,8,8,20
83,-12.106,14.741,1.39,0.10251,8,8,20
84,-12.993,14.768,2.25,0.19165,8,8,20
85,-13.035,14.2,2.48,0.21691,8,8,20
86,-13.802,15.209,1.68,0.12071,8,8,20
87,-14.662,15.659,1.73,0.20739,8,8,20
88,-14.93,15.218,2.72,0.27749,8,8,20
89,-16.876,14.776,3.11,0.35825,8,8,20
90,-16.1,14.186,1.86,0.14728,8,8,20
91,-16.053,15.156,1.83,0.19992,8,8,20
92,-14.819,14.216,2.4,0.20863,8,8,20
93,-14.818,14.718,3.36,0.29765,8,8,20
94,-15.582,14.693,0.85,0.04462,8,8,20
95,-13.897,14.215,1.44,0.09603,8,8,20
96,-13.841,14.715,2.68,0.19025,8,8,20
97,-19.046,14.951,1.87,0.18524,8,8,20
98,-18,15,0.98,0.12558,8,8,20
99,-20.666,15.054,1.8,0.30631,8,8,20
100,-19.934,14.682,1.29,0.09151,8,8,20
101,-20.208,14.178,3.1,0.25186,8,8,20
102,-22.698,12.331,1.03,0.19395,8,8,20
103,-20.52,12.273,2.29,0.23739,8,8,20
104,-19.453,12.297,2.74,0.2428,8,8,20
105,-20.525,13.541,2.82,0.41266,8,8,20
106,-19.899,12.139,1.7,0.10744,8,8,20
107,-19.83,12.699,0.88,0.04779,8,8,20
108,-17.418,13.532,1.87,0.18965,8,8,20
109,-18.586,13.517,1.87,0.23518,8,8,20
110,-18.206,14.198,2.09,0.2019,8,8,20
111,-19.423,14.189,1.56,0.09846,8,8,20
112,-19.019,14.193,1.63,0.08111,8,8,20
113,-17.9,12.164,1.77,0.11239,8,8,20
114,-17.579,12.454,1.54,0.14744,8,8,20
115,-19.278,12.677,2.42,0.12253,8,8,20
116,-18.746,12.8,1.19,0.11362,8,8,20
117,-19.155,12.264,0.64,0.03274,8,8,20
118,-18.588,12.157,2.27,0.17979,8,8,20
119,-14.73,13.214,2.43,0.29475,8,8,20
120,-15.655,13.517,30.83,3.05344,8,8,20
121,-15.382,13.079,1.52,0.15789,8,8,20
122,-16.247,12.827,2.02,0.17913,8,8,20
123,-15.937,13.681,1.14,0.06919,8,8,20
124,-16.397,13.46,1.65,0.11348,8,8,20
125,-16.857,13.437,2.21,0.22984,8,8,20
126,-16.944,12.289,2.07,0.13804,8,8,20
127,-14.955,12.203,3.45,0.3456,8,8,20
128,-15.903,12.198,1.93,0.11818,8,8,20
129,-16.451,12.237,1.29,0.09418,8,8,20
130,-11.928,13.198,2.71,0.17529,8,8,20
131,-11.821,13.705,1.17,0.08294,8,8,20
132,-12.379,13.438,3.92,0.27856,8,8,20
133,-12.881,13.453,1.25,0.11471,8,8,20
134,-13.497,13.402,1.77,0.1451,8,8,20
135,-14.016,13.124,2.08,0.24277,8,8,20
136,-13.592,12.431,2.18,0.19265,8,8,20
137,-12.895,12.456,3.27,0.28827,8,8,20
138,-12.388,12.819,2.48,0.10069,8,8,20
139,-12.394,12.569,2.51,0.1038,8,8,20
140,-12.398,12.205,2.17,0.10649,8,8,20
141,-11.974,12.82,2.37,0.11364,8,8,20
142,-11.991,12.564,2.94,0.14195,8,8,20
143,-12.016,12.206,4.11,0.2262,8,8,20
144,-9.41,12.721,2.63,0.19146,8,8,20
145,-10.25,13.969,3.01,0.21433,8,8,20
146,-9.709,13.35,1.97,0.13632,8,8,20
147,-10.737,13.709,2.93,0.19364,8,8,20
148,-10.805,14.319,2.23,0.18213,8,8,20
149,-11.26,13.625,1.96,0.10483,8,8,20
