in,x,y,q,tc,tr,te,tl
2,-5.831422182,14.45330931,3,0.123,8,8,20
3,-8.290847041,15.54305592,3,0.211,8,8,20
4,-3.306237834,-4.831508916,3,0.854,8,8,20
5,-6.934205883,16.519647,3,0.152,8,8,20
6,-9.290331859,16.46556578,3,0.235,8,8,20
7,-9.031624119,15.95129766,3,0.804,8,8,20
8,-8.11059065,16.6624215,3,0.57,8,8,20
9,-10.04407602,15.76578858,3,0.131,8,8,20
10,-10.24165601,15.12080536,3,0.439,8,8,20
11,-10.34385649,14.55115914,3,0.603,8,8,20
12,-10.01188847,14.90534997,3,0.268,8,8,20
13,-9.844785939,14.32425452,3,0.087,8,8,20
14,-9.458434114,14.66453763,3,0.427,8,8,20
15,-1.614207004,14.05459569,3,0.348,8,8,20
16,-9.241736589,15.22000893,3,0.107,8,8,20
17,-8.407901029,14.3044991,3,0.123,8,8,20
18,-8.879665306,14.80929854,3,0.314,8,8,20
19,-9.305931632,13.7064968,3,0.193,8,8,20
20,-9.571570909,13.65812032,3,0.12,8,8,20
21,-9.117967203,13.87196471,3,0.284,8,8,20
22,-8.919364646,14.04691445,3,0.21,8,8,20
23,-9.987247597,18.86856102,3,0.159,8,8,20
24,-9.636771015,17.82362071,3,0.294,8,8,20
25,-9.910141013,17.58673591,3,0.365,8,8,20
26,-10.72506808,17.81421777,3,0.53,8,8,20
27,-11.12410657,18.41312838,3,0.431,8,8,20
28,-11.78232313,18.9351327,3,0.366,8,8,20
29,-10.65577951,18.31477095,3,0.135,8,8,20
30,-13.2088632,19.02805409,3,0.172,8,8,20
31,-11.87067612,18.01037358,3,0.301,8,8,20
32,-15.24285085,18.27121608,3,0.331,8,8,20
33,-15.33772178,16.67046953,3,0.653,8,8,20
34,-13.7469145,16.74627717,3,0.272,8,8,20
35,-13.73565643,15.99828623,3,0.483,8,8,20
36,-11.55791228,16.92145414,3,0.109,8,8,20
37,-11.03644236,17.54209166,3,0.324,8,8,20
38,-17.22526239,16.04807786,3,0.259,8,8,20
39,-16.36388366,16.46040875,3,0.131,8,8,20
40,-18.73914159,16.48180123,3,0.244,8,8,20
41,-17.59877961,16.92040353,3,0.496,8,8,20
42,-2.239188663,14.24258703,3,0.285,8,8,20
43,-1.878523919,-5.453174942,3,0.266,8,8,20
44,-12.62525089,15.83873306,3,0.294,8,8,20
45,-11.55362464,15.23663682,3,0.236,8,8,20
46,-10.88687796,15.59065877,3,0.402,8,8,20
47,-11.31223395,14.53944364,3,0.171,8,8,20
48,-12.11053988,14.19579533,3,0.301,8,8,20
49,-12.10575301,14.74116519,3,0.34,8,8,20
