in,x,y,q,tc,tr,te,tl
2,-5.831422182,14.45330931,3,0.225,8,8,20
3,-8.639766184,15.75023127,3,0.495,8,8,20
4,-3.25346039,-4.32763525,3,0.815,8,8,20
5,-6.934205883,16.519647,3,0.211,8,8,20
6,-9.290331859,16.46556578,3,0.411,8,8,20
7,-9.031624119,15.95129766,3,0.712,8,8,20
8,-8.11059065,16.6624215,3,0.592,8,8,20
9,-10.04407602,15.76578858,3,0.206,8,8,20
10,-9.405262581,15.43999333,3,0.218,8,8,20
11,-10.24165601,15.12080536,3,0.382,8,8,20
12,-10.34385649,14.55115914,3,0.219,8,8,20
13,-10.01188847,14.90534997,3,0.246,8,8,20
14,-9.844785939,14.32425452,3,0.189,8,8,20
15,-9.458434114,14.66453763,3,0.153,8,8,20
16,-1.614207004,14.05459569,3,0.446,8,8,20
17,-8.407901029,14.3044991,3,0.308,8,8,20
18,-9.305931632,13.7064968,3,0.09,8,8,20
19,-9.571570909,13.65812032,3,0.166,8,8,20
20,-9.117967203,13.87196471,3,0.268,8,8,20
21,-9.987247597,18.86856102,3,0.191,8,8,20
22,-8.932786191,18.70474748,3,0.118,8,8,20
23,-9.910141013,17.58673591,3,0.161,8,8,20
24,-10.72506808,17.81421777,3,0.386,8,8,20
25,-11.12410657,18.41312838,3,0.342,8,8,20
26,-11.78232313,18.9351327,3,0.518,8,8,20
27,-10.65577951,18.31477095,3,0.207,8,8,20
28,-13.2088632,19.02805409,6,0.774,8,8,20
29,-11.87067612,18.01037358,3,0.191,8,8,20
30,-15.24285085,18.27121608,3,0.199,8,8,20
31,-12.57515066,17.70459676,3,0.323,8,8,20
32,-14.4806901,16.453272,3,0.145,8,8,20
33,-13.7469145,16.74627717,3,0.358,8,8,20
34,-13.73565643,15.99828623,3,0.351,8,8,20
35,-11.55791228,16.92145414,3,0.238,8,8,20
36,-11.03644236,17.54209166,3,0.111,8,8,20
37,-17.22526239,16.04807786,3,0.213,8,8,20
38,-16.36388366,16.46040875,3,0.118,8,8,20
39,-18.73914159,16.48180123,6,0.285,8,8,20
40,-1.877606535,-5.217580444,3,0.153,8,8,20
41,-17.59877961,16.92040353,3,0.612,8,8,20
42,-2.239188663,14.24258703,3,0.379,8,8,20
43,-1.878523919,-5.453174942,3,0.261,8,8,20
44,-2.564432608,-5.337521815,3,0.224,8,8,20
45,-11.55362464,15.23663682,3,0.466,8,8,20
