in,x,y,q,tc,tr,te,tl
490,-19.90235634,11.7070523,3,0.379,8.056405353,8.056405353,20
491,-3.200561399,4.357377813,3,0.136,8.06178371,8.06178371,20
492,-5.100456397,0.095203874,3,0.146,8.063110441,8.063110441,20
493,-11.99110811,12.56429391,3,0.213,8.078807444,8.078807444,20
494,3.46123386,5.982116359,3,0.488,8.126573233,8.126573233,20
495,-2.239188663,14.24258703,3,0.613,8.248179226,8.248179226,20
496,-1.611748903,0.588363536,3,0.148,8.293631247,8.293631247,20
497,-11.83364889,16.65552648,3,0.135,8.306584917,8.306584917,20
498,-2.582676968,1.568719046,3,0.192,8.33816018,8.33816018,20
499,-11.25174089,17.2293966,3,0.256,8.550269372,8.550269372,20
500,-6.773574297,11.23315531,3,0.26,8.630520411,8.630520411,20
501,-1.976196815,0.11292816,3,0.395,8.879599668,8.879599668,20
502,-4.834678066,13.28517416,3,0.074,8.893409164,8.893409164,20
503,0.196456939,-3.374668395,3,0.407,8.98140065,8.98140065,20
504,-17.4176249,13.53206949,3,0.171,8.993958828,8.993958828,20
505,-11.97388133,12.81998038,3,0.111,9.022215763,9.022215763,20
506,-2.93966451,1.059350567,3,0.112,9.107632183,9.107632183,20
507,0.082306526,-2.242391751,3,0.251,9.147466397,9.147466397,20
508,3.069022706,1.506265553,3,0.202,9.186610217,9.186610217,20
509,-16.87871054,10.31110638,3,0.258,9.222270609,9.222270609,20
510,-20.20789053,14.17780296,3,0.406,9.265937645,9.265937645,20
511,-18.58550726,13.51679623,3,0.243,9.272989047,9.272989047,20
512,-14.4806901,16.453272,3,0.135,9.316380969,9.316380969,20
513,-3.084779363,14.86828814,3,0.217,9.390131873,9.390131873,20
514,-20.89582769,9.696114874,3,0.248,9.426317021,9.426317021,20
515,-2.442896228,2.035990829,3,0.074,9.430573176,9.430573176,20
516,-10.22569733,11.79331271,3,0.16,9.482840139,9.482840139,20
517,-7.418135367,11.72313608,3,0.245,9.664501195,9.664501195,20
518,-15.24285085,18.27121608,3,0.243,9.688053153,9.688053153,20
519,-5.146277107,15.66639945,3,0.296,9.737223179,9.737223179,20
520,-8.290847041,15.54305592,3,0.299,9.776494771,9.776494771,20
521,-3.683180138,3.852654019,3,0.136,9.785280486,9.785280486,20
522,-15.90423801,10.81424171,3,0.178,9.973507135,9.973507135,20
523,-17.42113164,8.979051417,3,0.163,10.02543711,10.02543711,20
524,-12.37233137,9.657090866,3,0.151,10.08767983,10.08767983,20
525,-16.0533778,15.15597517,3,0.183,10.11663293,10.11663293,20
526,-20.89839763,8.562487324,3,0.087,10.11697232,10.11697232,20
527,-3.430925184,-1.818290072,3,0.147,10.14330344,10.14330344,20
528,2.765092283,-0.316929471,3,0.132,10.16565279,10.16565279,20
529,1.337818026,5.54553194,3,0.127,10.2958715,10.2958715,20
530,-2.262477984,14.59807,6,0.659,10.49135458,10.49135458,20
531,-2.100095547,15.16798043,3,0.176,10.50223612,10.50223612,20
532,-9.636771015,17.82362071,3,0.294,10.51105128,10.51105128,20
533,-10.24988182,13.96887074,3,0.119,10.61385818,10.61385818,20
534,4.892117116,1.999946061,3,0.151,10.61471248,10.61471248,20
535,-4.011985944,15.0244752,3,0.095,10.61788461,10.61788461,20
536,-2.833731531,-0.313962965,3,0.209,10.66935346,10.66935346,20
537,-1.98797592,2.197801012,3,0.098,10.72271433,10.72271433,20
538,-9.076755589,17.78132314,3,0.247,10.73355599,10.73355599,20
539,-16.3969447,13.4602845,3,0.365,10.77069736,10.77069736,20
540,-8.026725069,9.483520351,3,0.301,10.78873381,10.78873381,20
541,-20.52028542,12.27310338,3,0.458,10.80151261,10.80151261,20
542,-4.31392136,-4.589362475,3,0.186,10.880017,10.880017,20
543,-8.879665306,14.80929854,3,0.227,10.88568008,10.88568008,20
544,2.695481844,0.798301022,3,0.114,10.9212953,10.9212953,20
545,-12.3977866,12.20541168,3,0.114,10.92728005,10.92728005,20
546,-13.89673078,14.21496811,3,0.451,10.97412923,10.97412923,20
547,-9.41010559,12.72118093,3,0.25,11.0277335,11.0277335,20
548,1.759255994,3.040068443,3,0.153,11.05001724,11.05001724,20
549,-16.00270323,8.849893561,3,0.16,11.12079036,11.12079036,20
550,2.502638868,1.655614193,3,0.139,11.13839129,11.13839129,20
551,1.238298178,0.645364956,3,0.232,11.185071,11.185071,20
552,-15.68804543,9.346817516,3,0.26,11.19571329,11.19571329,20
553,-0.427251518,-3.450366146,3,0.095,11.21487599,11.21487599,20
554,-1.739074743,-4.315206481,3,0.102,11.26189634,11.26189634,20
555,-20.40053642,9.956612307,3,0.36,11.29736578,11.29736578,20
556,-10.84410027,19.14936847,3,0.245,11.50871194,11.50871194,20
557,-6.06173505,-0.779308007,3,0.091,11.5436717,11.5436717,20
558,-3.908272076,3.644801677,3,0.102,11.64069501,11.64069501,20
559,-2.806476526,-1.443394713,3,0.271,11.69000599,11.69000599,20
560,-15.33772178,16.67046953,3,0.273,11.69163557,11.69163557,20
561,-7.433024593,9.442534815,3,0.227,11.69410176,11.69410176,20
562,-1.849257492,-1.88474831,3,0.301,11.7192141,11.7192141,20
563,-3.327853678,-0.446408725,3,0.138,11.727726,11.727726,20
564,-5.806026912,-1.262216188,3,0.169,11.8480666,11.8480666,20
565,-9.241736589,15.22000893,3,0.245,11.98440362,11.98440362,20
566,-3.139880642,14.35394087,3,0.231,12.01194414,12.01194414,20
567,-22.50311016,10.62837557,3,0.202,12.02577706,12.02577706,20
568,-2.058203346,-3.869907412,3,0.137,12.12075125,12.12075125,20
569,-0.927622787,-3.867410087,3,0.239,12.22723946,12.22723946,20
570,2.175491698,4.615505095,3,0.156,12.30152108,12.30152108,20
571,-2.8085273,-1.194664322,3,0.445,12.44137196,12.44137196,20
572,-0.957288023,0.785079381,3,0.122,12.47963345,12.47963345,20
573,-9.329988633,10.04465554,3,0.157,12.5540298,12.5540298,20
574,-0.901694064,-2.381531838,3,0.267,12.55650778,12.55650778,20
575,-7.920691072,10.79836604,3,0.209,12.57034412,12.57034412,20
576,-0.899025964,-3.089645914,3,0.065,12.59741272,12.59741272,20
577,-3.375734748,2.804224607,3,0.119,12.65879341,12.65879341,20
578,-13.85711201,7.54108392,3,0.211,12.66732332,12.66732332,20
579,-6.40602231,9.857799126,3,0.108,12.74419464,12.74419464,20
580,1.080289839,2.915170633,3,0.105,12.7996584,12.7996584,20
581,-1.380154638,-2.81652335,3,0.06,12.86184155,12.86184155,20
582,-3.508291366,-0.196525494,3,0.106,12.94445914,12.94445914,20
583,-12.99293321,14.76809174,3,0.169,13.03840186,13.03840186,20
584,-3.291088333,-2.828063891,3,0.342,13.1017369,13.1017369,20
585,-6.413984026,7.491707587,3,0.27,13.11295954,13.11295954,20
586,-0.643335359,2.762545192,3,0.112,13.47341345,13.47341345,20
587,-1.336848351,-0.524094913,3,0.319,13.49571056,13.49571056,20
588,-6.926358631,10.67816907,3,0.221,13.49852653,13.49852653,20
589,-0.429386418,-3.075717942,3,0.104,13.57307899,13.57307899,20
590,-2.449124409,3.480476371,3,0.148,13.65141165,13.65141165,20
591,-1.614207004,14.05459569,3,0.281,13.75229908,13.75229908,20
592,-4.493120903,-1.481965062,3,0.099,13.77692661,13.77692661,20
593,-2.330038101,13.44954003,3,0.235,13.84418254,13.84418254,20
