in,Node
1,1428
2,2778
3,2785
4,2596
5,2596
6,1186
7,2597
8,2631
9,2629
10,2524
11,2524
12,2523
13,2516
14,2520
15,2517
16,2525
17,2525
18,1183
19,2595
20,2593
21,2521
22,2571
23,2567
24,2567
25,2567
26,2562
27,2568
28,2552
29,2562
30,2548
31,484
32,495
33,2561
34,2561
35,2561
36,484
37,480
38,1243
39,494
40,2787
41,1185
42,2526
43,2496
44,2511
45,2485
46,2482
47,2482
48,490
49,492
50,491
51,1042
52,491
53,483
54,483
55,489
56,489
57,489
58,489
59,476
60,473
61,472
62,1184
63,472
64,469
65,1242
66,437
67,1238
68,469
69,478
70,477
71,476
72,2787
73,476
74,1182
75,471
76,478
77,470
78,471
79,486
80,482
81,482
82,482
83,482
84,478
85,478
86,485
87,481
88,2787
89,2474
90,488
91,486
92,488
93,2467
94,2475
95,2470
96,2467
97,2577
98,2503
99,2498
100,2504
101,2476
102,2476
103,2502
104,2500
105,2465
106,2469
107,2497
108,2472
109,2472
110,2472
111,2469
112,2573
113,2435
114,2581
115,2590
116,1248
117,2591
118,2582
119,1248
120,2584
121,2572
122,2459
123,2459
124,2610
125,2616
126,2439
127,2440
128,2457
129,2457
130,1239
131,2456
132,2439
133,2440
134,2435
135,2435
136,2434
137,2433
138,2401
139,2427
140,2400
141,2433
142,2437
143,2426
144,2432
145,2427
146,2430
147,2442
148,1239
149,2444
150,2399
151,2401
152,2391
153,2390
154,467
155,2380
156,2386
157,2382
158,2389
159,2385
160,2385
161,1157
162,2401
163,1157
164,2400
165,1157
166,2387
167,2387
168,2387
169,2373
170,2377
171,1153
172,2377
173,1153
174,1153
175,2369
176,481
177,481
178,458
179,458
180,485
181,485
182,481
183,481
184,471
185,451
186,458
187,458
188,465
189,466
190,465
191,466
192,458
193,458
194,458
195,457
196,457
197,451
198,457
199,449
200,451
201,471
202,1152
203,469
204,436
205,469
206,469
207,469
208,1172
209,431
210,449
211,449
212,451
213,451
214,454
215,428
216,448
217,448
218,428
219,430
220,429
221,425
222,447
223,424
224,429
225,1168
226,443
227,452
228,446
229,2403
230,2352
231,2344
232,2343
233,453
234,456
235,455
236,360
237,455
238,459
239,455
240,459
241,2348
242,814
243,452
244,2394
245,2392
246,2392
247,2357
248,2348
249,2355
250,2450
251,763
252,2441
253,2441
254,2425
255,2404
256,2421
257,2421
258,2403
259,2834
260,2833
261,2834
262,2834
263,2834
264,2837
265,2829
266,2829
267,2829
268,2829
269,2828
270,2745
271,2749
272,2749
273,2831
274,2754
275,2743
276,2743
277,2743
278,2737
279,2736
280,2726
281,2667
282,2667
283,2661
284,946
285,2646
286,930
287,2660
288,2658
289,2660
290,2665
291,2664
292,2663
293,2655
294,2656
295,2655
296,2655
297,2413
298,745
299,2356
300,750
301,2712
302,744
303,2709
304,1363
305,1358
306,735
307,2747
308,747
309,743
310,2709
311,2734
312,1422
313,1939
314,1939
315,1948
316,2827
317,1938
318,1939
319,2835
320,1948
321,1948
322,2830
323,1948
324,742
325,1972
326,2835
327,1974
328,1945
329,1945
330,1929
331,1940
332,1925
333,1926
334,882
335,1924
336,1925
337,1919
338,1916
339,2786
340,1919
341,1918
342,1910
343,1921
344,1920
345,1921
346,1887
347,1911
348,2776
349,1868
350,1439
351,1927
352,1420
353,1432
354,1378
355,2778
356,1364
357,1364
358,1359
359,1360
360,1359
361,1357
362,1358
363,1122
364,1352
365,1354
366,1354
367,1361
368,1354
369,1342
370,1354
371,1354
372,1353
373,1341
374,1342
375,1214
376,995
377,581
378,576
379,1237
380,1233
381,630
382,1232
383,1232
384,1232
385,1236
386,1236
387,1235
388,1352
389,1235
390,1235
391,1232
392,1213
393,1231
394,1211
395,1231
396,1222
397,1235
398,1210
399,2787
400,1210
401,975
402,1209
403,934
404,933
405,933
406,933
407,933
408,1194
409,2785
410,1204
411,1212
412,1196
413,1203
414,1194
415,1202
416,2785
417,1202
418,1181
419,962
420,1192
421,1317
422,1314
423,1220
424,1220
425,1218
426,1225
427,1227
428,1224
429,1215
430,2622
431,620
432,1225
433,621
434,1215
435,629
436,629
437,1337
438,1313
439,1321
440,1371
441,1329
442,612
443,608
444,602
445,1322
446,1329
447,1374
448,1278
449,1266
450,587
451,1266
452,1322
453,1263
454,559
455,563
456,1278
457,1285
458,1277
459,1265
460,1264
461,1264
462,1264
463,1303
464,1223
465,1187
466,1187
467,1257
468,1259
469,1256
470,585
471,1188
472,1256
473,1189
474,1188
475,1187
476,1186
477,1186
478,1188
479,1252
480,1256
481,1177
482,1177
483,1177
484,1177
485,1177
486,912
487,1176
488,561
489,913
490,1180
491,1190
492,1190
493,914
494,1188
495,1252
496,2544
497,2785
498,2476
499,1230
500,1237
501,2394
502,457
503,1948
504,1187
505,2473
506,1206
507,2831
508,2472
509,1318
510,741
511,2662
512,430
513,1189
514,2623
515,1192
516,1189
517,1189
518,1222
519,2456
520,1355
521,2551
522,2837
523,2439
524,2568
525,2787
526,734
527,1300
528,2500
529,2627
530,2456
531,1439
532,1179
533,1266
534,1432
535,1231
536,456
537,2453
538,1146
539,1236
540,1224
541,1943
542,1351
543,624
544,2787
545,1211
546,2525
547,1210
548,466
549,1443
550,2831
551,1220
552,1190
553,961
554,1352
555,1369
556,951
557,2385
558,1371
559,1979
560,458
561,961
562,2501
563,2786
564,1921
565,1188
566,2498
567,1221
568,2472
569,2394
570,2517
571,449
572,1234
573,2622
574,480
575,468
576,2787
577,2787
578,2434
579,427
580,1918
581,2473
582,2426
583,1183
584,493
585,1926
586,2377
587,2657
588,495
589,481
590,2661
591,2521
592,2829
593,1202
594,352
595,746
596,2497
597,2372
598,2834
599,1264
600,2535
601,2595
602,2738
603,2464
604,469
