in,x,y,q,tc,tr,te,tl
4,-2.262,14.598,1.78,0.02087,8,8,20
5,-2.1,15.168,1.68,0.02902,8,8,20
6,-1.614,14.055,1.55,0.01331,8,8,20
7,-2.239,14.243,1.32,0.0101,8,8,20
8,-2.008,14.037,1.23,0.00867,8,8,20
9,-1.007,13.859,1.59,0.02461,8,8,20
10,-2.33,13.45,1.51,0.03249,8,8,20
11,-5.76,12.221,1.13,0.01221,8,8,20
12,-5.258,11.607,1.91,0.02465,8,8,20
13,-5.48,11.171,0.77,0.0072,8,8,20
14,-4.835,13.285,1.8,0.05169,8,8,20
15,-3.113,15.549,1.1,0.01511,8,8,20
16,-3.085,14.868,2.19,0.02442,8,8,20
17,-4.012,15.024,1.72,0.02242,8,8,20
18,-5.146,15.666,1.71,0.04036,8,8,20
19,-5.831,14.453,1.67,0.03423,8,8,20
20,-3.713,14.218,0.99,0.01415,8,8,20
21,-3.14,14.354,1.76,0.01833,8,8,20
22,-7.948,16.161,2.27,0.02258,8,8,20
23,-8.64,15.75,3.13,0.0315,8,8,20
24,-8.291,15.543,3.36,0.04497,8,8,20
25,-6.934,16.52,2.01,0.03944,8,8,20
26,-9.29,16.466,3.14,0.03234,8,8,20
27,-9.032,15.951,3.9,0.03295,8,8,20
28,-8.111,16.662,2.8,0.04671,8,8,20
29,-10.044,15.766,4.34,0.05957,8,8,20
30,-9.405,15.44,1.45,0.01367,8,8,20
31,-9.621,15.618,1.28,0.01271,8,8,20
32,-10.242,15.121,2.74,0.02575,8,8,20
33,-10.344,14.551,1.64,0.0231,8,8,20
34,-10.012,14.905,2.83,0.02574,8,8,20
35,-9.845,14.324,1.9,0.01899,8,8,20
36,-9.458,14.665,2.74,0.02658,8,8,20
37,-9.657,14.49,2.48,0.02513,8,8,20
38,-9.242,15.22,2.99,0.02883,8,8,20
39,-8.408,14.304,1.55,0.01668,8,8,20
40,-8.88,14.809,2.96,0.03497,8,8,20
41,-9.306,13.706,2.03,0.01924,8,8,20
42,-9.572,13.658,1.56,0.01992,8,8,20
43,-9.118,13.872,3.63,0.03576,8,8,20
44,-8.919,14.047,2.2,0.02232,8,8,20
45,-10.844,19.149,2.17,0.03345,8,8,20
46,-9.987,18.869,2.34,0.03548,8,8,20
47,-8.933,18.705,2.2,0.0312,8,8,20
48,-9.077,17.781,2.72,0.05677,8,8,20
49,-9.637,17.824,2.03,0.03026,8,8,20
50,-9.91,17.587,4.72,0.06382,8,8,20
51,-10.725,17.814,2.21,0.02351,8,8,20
52,-11.124,18.413,2.26,0.02362,8,8,20
53,-11.782,18.935,2.71,0.03661,8,8,20
54,-10.455,18.129,1.2,0.00734,8,8,20
55,-10.656,18.315,3.09,0.01884,8,8,20
56,-13.209,19.028,3.85,0.08443,8,8,20
57,-11.871,18.01,2.97,0.03813,8,8,20
58,-15.243,18.271,1.74,0.04863,8,8,20
59,-12.575,17.705,2.62,0.04231,8,8,20
60,-14.56,17.293,1.2,0.01361,8,8,20
61,-14.481,16.453,1.43,0.01969,8,8,20
62,-15.338,16.67,2.04,0.03808,8,8,20
63,-13.747,16.746,2.33,0.0415,8,8,20
64,-13.736,15.998,1.44,0.01861,8,8,20
65,-11.558,16.921,2.7,0.02594,8,8,20
66,-11.834,16.656,1.66,0.02034,8,8,20
67,-11.036,17.542,2.09,0.02135,8,8,20
68,-11.252,17.229,4.95,0.05066,8,8,20
69,-16.46,15.968,1.05,0.01137,8,8,20
70,-17.225,16.048,1.36,0.01812,8,8,20
71,-16.364,16.46,1.67,0.02877,8,8,20
72,-16.705,17.005,1.09,0.01018,8,8,20
73,-18.739,16.482,4.33,0.08881,8,8,20
74,-17.599,16.92,1.5,0.01717,8,8,20
75,-17.89,16.079,1.06,0.01499,8,8,20
76,-11.978,15.82,1.17,0.01752,8,8,20
77,-12.625,15.839,1.4,0.0162,8,8,20
78,-12.966,15.408,1.22,0.01449,8,8,20
79,-11.554,15.237,1.79,0.02169,8,8,20
80,-10.887,15.591,3.59,0.04706,8,8,20
81,-11.312,14.539,2.13,0.03038,8,8,20
82,-12.111,14.196,1.96,0.01973,8,8,20
83,-12.106,14.741,1.39,0.01445,8,8,20
84,-12.993,14.768,2.25,0.0268,8,8,20
85,-13.035,14.2,2.48,0.03029,8,8,20
86,-13.802,15.209,1.68,0.01703,8,8,20
87,-14.662,15.659,1.73,0.02862,8,8,20
88,-14.93,15.218,2.72,0.03851,8,8,20
89,-16.876,14.776,3.11,0.0495,8,8,20
90,-16.1,14.186,1.86,0.02067,8,8,20
91,-16.053,15.156,1.83,0.02767,8,8,20
92,-14.819,14.216,2.4,0.02915,8,8,20
93,-14.818,14.718,3.36,0.04155,8,8,20
