in,x,y,q,tc,tr,te,tl
2,-5.831422182,14.45330931,3,0.03,8,8,20
3,-8.639766184,15.75023127,3,0.036,8,8,20
4,-8.290847041,15.54305592,3,0.034,8,8,20
5,-6.934205883,16.519647,3,0.017,8,8,20
6,-9.031624119,15.95129766,3,0.033,8,8,20
7,-8.11059065,16.6624215,3,0.083,8,8,20
8,-10.04407602,15.76578858,3,0.028,8,8,20
9,-9.405262581,15.43999333,3,0.029,8,8,20
10,-9.621447326,15.61834946,3,0.016,8,8,20
11,-10.24165601,15.12080536,3,0.044,8,8,20
12,-10.34385649,14.55115914,3,0.074,8,8,20
13,-10.01188847,14.90534997,3,0.037,8,8,20
14,-9.844785939,14.32425452,6,0.055,8,8,20
15,-9.458434114,14.66453763,3,0.025,8,8,20
16,-2.74830046,-4.819167811,3,0.033,8,8,20
17,-8.407901029,14.3044991,3,0.019,8,8,20
18,-8.879665306,14.80929854,3,0.019,8,8,20
19,-9.305931632,13.7064968,3,0.024,8,8,20
20,-9.571570909,13.65812032,3,0.042,8,8,20
21,-9.117967203,13.87196471,3,0.021,8,8,20
22,-9.987247597,18.86856102,3,0.014,8,8,20
23,-9.910141013,17.58673591,3,0.044,8,8,20
24,-10.72506808,17.81421777,3,0.028,8,8,20
25,-11.12410657,18.41312838,3,0.039,8,8,20
26,-11.78232313,18.9351327,3,0.078,8,8,20
27,-10.65577951,18.31477095,3,0.058,8,8,20
28,-13.2088632,19.02805409,3,0.036,8,8,20
29,-11.87067612,18.01037358,3,0.045,8,8,20
30,-12.57515066,17.70459676,3,0.022,8,8,20
31,-14.4806901,16.453272,3,0.014,8,8,20
32,-15.33772178,16.67046953,3,0.061,8,8,20
33,-13.7469145,16.74627717,3,0.055,8,8,20
34,-13.73565643,15.99828623,3,0.07,8,8,20
35,-11.55791228,16.92145414,3,0.034,8,8,20
36,-11.03644236,17.54209166,3,0.033,8,8,20
37,-1.747728029,-4.815595901,3,0.034,8,8,20
