in,x,y,q,tc,tr,te,tl
2,-5.831422182,14.45330931,3,0.046,8,8,20
3,-3.139880642,14.35394087,3,0.028,8,8,20
4,-7.947783812,16.16144809,3,0.021,8,8,20
5,-3.25346039,-4.32763525,3,0.012,8,8,20
6,-8.290847041,15.54305592,3,0.042,8,8,20
7,-3.306237834,-4.831508916,3,0.094,8,8,20
8,-6.934205883,16.519647,3,0.024,8,8,20
9,-9.290331859,16.46556578,3,0.049,8,8,20
10,-9.031624119,15.95129766,3,0.052,8,8,20
11,-8.11059065,16.6624215,3,0.097,8,8,20
12,-10.04407602,15.76578858,3,0.029,8,8,20
13,-9.621447326,15.61834946,3,0.02,8,8,20
14,-10.24165601,15.12080536,3,0.046,8,8,20
15,-10.34385649,14.55115914,3,0.038,8,8,20
16,-10.01188847,14.90534997,3,0.027,8,8,20
17,-9.844785939,14.32425452,3,0.018,8,8,20
18,-9.458434114,14.66453763,3,0.086,8,8,20
19,-1.614207004,14.05459569,6,0.118,8,8,20
20,-9.657001215,14.48963826,3,0.026,8,8,20
21,-9.241736589,15.22000893,3,0.033,8,8,20
22,-8.407901029,14.3044991,3,0.033,8,8,20
23,-8.879665306,14.80929854,3,0.019,8,8,20
24,-9.571570909,13.65812032,3,0.045,8,8,20
25,-9.987247597,18.86856102,3,0.039,8,8,20
26,-8.932786191,18.70474748,3,0.013,8,8,20
27,-9.076755589,17.78132314,3,0.041,8,8,20
28,-9.636771015,17.82362071,3,0.015,8,8,20
29,-9.910141013,17.58673591,3,0.059,8,8,20
30,-10.72506808,17.81421777,3,0.036,8,8,20
31,-11.12410657,18.41312838,3,0.031,8,8,20
32,-11.78232313,18.9351327,3,0.104,8,8,20
33,-10.65577951,18.31477095,3,0.028,8,8,20
34,-13.2088632,19.02805409,6,0.079,8,8,20
35,-11.87067612,18.01037358,3,0.043,8,8,20
36,-15.24285085,18.27121608,3,0.032,8,8,20
37,-12.57515066,17.70459676,3,0.051,8,8,20
38,-15.33772178,16.67046953,3,0.042,8,8,20
39,-13.7469145,16.74627717,3,0.027,8,8,20
40,-11.55791228,16.92145414,3,0.032,8,8,20
41,-2.059290998,-4.83019173,3,0.034,8,8,20
42,-11.03644236,17.54209166,3,0.031,8,8,20
43,-11.25174089,17.2293966,3,0.035,8,8,20
44,-17.22526239,16.04807786,3,0.032,8,8,20
45,-16.36388366,16.46040875,3,0.023,8,8,20
46,-18.73914159,16.48180123,6,0.051,8,8,20
47,-17.59877961,16.92040353,3,0.011,8,8,20
48,-2.239188663,14.24258703,6,0.16,8,8,20
49,-1.878523919,-5.453174942,3,0.044,8,8,20
50,-12.62525089,15.83873306,3,0.035,8,8,20
51,-11.55362464,15.23663682,3,0.042,8,8,20
52,-10.88687796,15.59065877,3,0.036,8,8,20
53,-11.31223395,14.53944364,3,0.036,8,8,20
54,-12.11053988,14.19579533,3,0.021,8,8,20
55,-12.10575301,14.74116519,3,0.045,8,8,20
56,-13.03470857,14.19991703,3,0.054,8,8,20
57,-14.6616908,15.65939741,3,0.017,8,8,20
58,-3.230269784,-6.972757908,3,0.037,8,8,20
59,-14.92994021,15.2178364,3,0.064,8,8,20
60,-16.87591567,14.77600706,3,0.062,8,8,20
61,-16.10002899,14.18558911,3,0.032,8,8,20
62,-14.81916533,14.21647016,3,0.038,8,8,20
63,-14.81808045,14.71789205,3,0.072,8,8,20
64,-13.84126746,14.71546541,3,0.015,8,8,20
65,-19.04589697,14.95146143,3,0.055,8,8,20
66,-20.66551957,15.05436495,3,0.045,8,8,20
67,-19.9339352,14.68163607,3,0.106,8,8,20
68,-20.20789053,14.17780296,3,0.033,8,8,20
69,-20.52028542,12.27310338,3,0.053,8,8,20
70,-19.45338199,12.29706414,3,0.071,8,8,20
71,-1.876093508,-5.677242808,3,0.017,8,8,20
72,-20.52517085,13.54106156,3,0.021,8,8,20
73,-1.878894615,-5.94608868,3,0.042,8,8,20
74,-18.58550726,13.51679623,3,0.02,8,8,20
75,-18.20565708,14.19760938,3,0.024,8,8,20
76,-2.262477984,14.59807,27,0.337,8,8,20
77,-19.42254039,14.1891222,3,0.059,8,8,20
78,-17.90034804,12.16368232,3,0.013,8,8,20
79,-17.57867763,12.45410853,3,0.017,8,8,20
80,-19.27817235,12.67722749,3,0.027,8,8,20
81,-18.5882982,12.1570138,3,0.033,8,8,20
82,-1.363589982,-4.313466984,3,0.032,8,8,20
83,-14.72963524,13.21375728,3,0.022,8,8,20
84,-15.65532333,13.51701499,3,0.024,8,8,20
85,-15.3820696,13.07915284,3,0.046,8,8,20
86,-16.24703489,12.82668357,3,0.079,8,8,20
87,-16.3969447,13.4602845,3,0.021,8,8,20
88,-16.85654036,13.4365578,3,0.048,8,8,20
89,-16.94409389,12.28948333,3,0.022,8,8,20
90,-14.95481094,12.20273728,3,0.019,8,8,20
91,-15.90339157,12.19766384,3,0.011,8,8,20
92,-1.006907303,13.85904939,3,0.029,8,8,20
93,-12.37943992,13.43774342,3,0.018,8,8,20
94,-13.49653371,13.40165876,3,0.031,8,8,20
95,-14.01648858,13.12422836,3,0.014,8,8,20
96,-13.59192065,12.43090624,3,0.038,8,8,20
97,-12.89462728,12.45641053,3,0.045,8,8,20
98,-12.38849107,12.81932335,3,0.029,8,8,20
99,-12.39362489,12.56882974,3,0.024,8,8,20
100,-12.3977866,12.20541168,3,0.018,8,8,20
101,-11.99110811,12.56429391,3,0.042,8,8,20
102,-1.371517599,-4.814518656,3,0.016,8,8,20
103,-9.70897858,13.34983147,3,0.013,8,8,20
104,-10.73675389,13.70859843,3,0.021,8,8,20
105,-10.80463715,14.31854774,3,0.012,8,8,20
106,-11.43826299,13.17766988,3,0.036,8,8,20
107,-10.42351018,13.25923036,3,0.041,8,8,20
108,-1.256521329,-5.207833733,3,0.027,8,8,20
109,-9.888923491,11.96406143,3,0.034,8,8,20
110,-11.5098634,11.77356368,3,0.011,8,8,20
111,-11.33605198,12.54216929,3,0.031,8,8,20
112,-11.03501695,12.63548667,3,0.028,8,8,20
113,-11.61493162,12.08534878,3,0.029,8,8,20
114,-11.60798629,12.31228196,3,0.04,8,8,20
115,-11.5842685,12.6750518,3,0.029,8,8,20
116,-10.71183144,11.54518835,3,0.018,8,8,20
117,-10.22569733,11.79331271,3,0.033,8,8,20
118,-1.233904111,-5.44182822,3,0.024,8,8,20
119,-8.587751067,12.10235894,3,0.03,8,8,20
120,-8.640878357,13.21260584,3,0.05,8,8,20
121,-8.123537447,12.3968868,3,0.029,8,8,20
122,-0.54795663,-5.676572706,3,0.011,8,8,20
123,-7.916657618,12.71020334,3,0.038,8,8,20
124,-8.983868407,11.2533785,3,0.028,8,8,20
125,-7.971641923,11.28231651,3,0.028,8,8,20
126,-7.884434084,11.81624393,3,0.028,8,8,20
127,-0.54896155,-5.928454099,3,0.032,8,8,20
128,-9.431352755,11.50975562,3,0.036,8,8,20
129,-6.773574297,11.23315531,3,0.054,8,8,20
130,-6.695940918,11.47075291,3,0.047,8,8,20
131,-6.061320316,11.47785702,3,0.044,8,8,20
132,-7.920691072,10.79836604,3,0.015,8,8,20
133,-6.40602231,9.857799126,3,0.028,8,8,20
134,-7.873213277,10.22890148,3,0.037,8,8,20
135,-7.440823657,10.11294809,3,0.046,8,8,20
136,-8.386737949,10.50999532,3,0.056,8,8,20
137,-8.728092962,10.24944322,3,0.017,8,8,20
138,-9.886484419,9.190935775,3,0.026,8,8,20
139,-8.925281766,9.442423298,3,0.024,8,8,20
