in,x,y,q,tc,tr,tr,tl
488,2.890708262,6.618517245,3,0.018,8.002802182,8.002802182,20
489,-0.919861241,-17.5071516,3,0.034,8.05474028,8.05474028,20
490,2.695481844,0.798301022,3,0.023,8.137310664,8.137310664,20
491,-2.8085273,-1.194664322,3,0.126,8.162257267,8.162257267,20
492,-6.381026595,9.306365033,3,0.03,8.214813407,8.214813407,20
493,-6.40602231,9.857799126,3,0.025,8.217033927,8.217033927,20
494,2.962608435,4.334838181,3,0.018,8.329067875,8.329067875,20
495,-1.336848351,-0.524094913,3,0.121,8.333319367,8.333319367,20
496,-4.31392136,-4.589362475,3,0.03,8.334771316,8.334771316,20
497,1.337818026,5.54553194,3,0.025,8.446769002,8.446769002,20
498,-17.4176249,13.53206949,3,0.023,8.541418008,8.541418008,20
499,-3.084779363,14.86828814,3,0.034,8.575282518,8.575282518,20
500,-10.23260654,6.971340666,3,0.036,8.604648929,8.604648929,20
501,-3.508291366,-0.196525494,3,0.021,8.607577603,8.607577603,20
502,-0.957288023,0.785079381,3,0.017,8.632529427,8.632529427,20
503,-11.84168769,9.373608419,3,0.038,8.68494959,8.68494959,20
504,-3.139880642,14.35394087,3,0.061,8.710634629,8.710634629,20
505,-1.05067113,-7.719036896,3,0.03,8.886874836,8.886874836,20
506,-4.916627769,1.828170818,3,0.016,8.888601749,8.888601749,20
507,-8.290847041,15.54305592,3,0.043,8.931327416,8.931327416,20
508,-20.52028542,12.27310338,3,0.053,9.08112005,9.08112005,20
509,2.175491698,4.615505095,3,0.029,9.214276067,9.214276067,20
510,-0.643335359,2.762545192,3,0.02,9.321558931,9.321558931,20
511,-6.909977075,7.488800548,3,0.021,9.337318764,9.337318764,20
512,-11.92829862,13.19772991,3,0.025,9.353027139,9.353027139,20
513,0.582319879,3.83490835,3,0.041,9.382773901,9.382773901,20
514,-1.349979675,0.16208372,3,0.023,9.390555569,9.390555569,20
515,-2.900208987,-15.88206128,3,0.021,9.486006708,9.486006708,20
516,-8.983868407,11.2533785,3,0.028,9.502558931,9.502558931,20
517,-4.493120903,-1.481965062,3,0.023,9.510377806,9.510377806,20
518,-20.20789053,14.17780296,3,0.029,9.565122185,9.565122185,20
519,-3.306237834,-4.831508916,3,0.117,9.600270955,9.600270955,20
520,1.267691601,1.424496465,3,0.02,9.678159904,9.678159904,20
521,-3.375734748,2.804224607,3,0.024,9.722616452,9.722616452,20
522,-17.42113164,8.979051417,3,0.025,9.781067914,9.781067914,20
523,-7.433024593,9.442534815,3,0.028,9.850857251,9.850857251,20
524,-13.2088632,19.02805409,3,0.049,9.853752036,9.853752036,20
525,-1.614207004,14.05459569,3,0.031,9.875196211,9.875196211,20
526,-9.076755589,17.78132314,3,0.013,9.918454739,9.918454739,20
527,-6.413984026,7.491707587,3,0.02,9.976823659,9.976823659,20
528,-2.950839355,3.342792032,3,0.016,10.22715248,10.22715248,20
529,3.46123386,5.982116359,3,0.035,10.27011783,10.27011783,20
530,-2.942570358,3.090218897,3,0.018,10.2949436,10.2949436,20
531,-9.290331859,16.46556578,3,0.042,10.32642413,10.32642413,20
532,-6.933811241,9.442895034,3,0.024,10.42326255,10.42326255,20
533,-3.4632536,0.804196771,3,0.02,10.46157551,10.46157551,20
534,-12.10804237,8.293892249,3,0.051,10.46271771,10.46271771,20
535,-1.611748903,0.588363536,3,0.032,10.52503622,10.52503622,20
536,-17.39509695,10.16627425,3,0.021,10.54891397,10.54891397,20
537,2.077490744,3.237479007,3,0.029,10.63269686,10.63269686,20
538,-2.434019137,-1.821672116,3,0.03,10.675357,10.675357,20
539,-7.920691072,10.79836604,3,0.041,10.72621273,10.72621273,20
540,-8.879665306,14.80929854,3,0.039,10.81594429,10.81594429,20
541,-6.06173505,-0.779308007,3,0.026,10.82973326,10.82973326,20
542,-16.00270323,8.849893561,3,0.02,11.07690644,11.07690644,20
543,-9.621447326,15.61834946,3,0.046,11.16438726,11.16438726,20
544,-7.687371548,7.447270177,3,0.032,11.21388462,11.21388462,20
545,1.080289839,2.915170633,3,0.011,11.26933403,11.26933403,20
546,-3.291088333,-2.828063891,3,0.042,11.41837014,11.41837014,20
547,-5.146277107,15.66639945,3,0.037,11.43233608,11.43233608,20
548,-15.24285085,18.27121608,3,0.039,11.48871757,11.48871757,20
549,-7.418135367,11.72313608,3,0.015,11.50203048,11.50203048,20
550,-3.327853678,-0.446408725,3,0.021,11.51535526,11.51535526,20
551,-12.57515066,17.70459676,3,0.043,11.5579345,11.5579345,20
552,-6.695940918,11.47075291,3,0.032,11.59883525,11.59883525,20
553,-4.834678066,13.28517416,3,0.027,11.64854717,11.64854717,20
554,-3.18800712,-0.674613301,3,0.03,11.66786579,11.66786579,20
555,3.205032265,5.595215128,3,0.026,11.70221513,11.70221513,20
556,-10.01412562,12.71837553,3,0.018,11.72158469,11.72158469,20
557,-9.997440452,0.178603523,3,0.021,12.06398133,12.06398133,20
558,-3.988162497,-1.071846149,3,0.025,12.07624936,12.07624936,20
559,-13.80174187,15.20862984,3,0.034,12.07778385,12.07778385,20
560,-11.83364889,16.65552648,3,0.036,12.10635801,12.10635801,20
561,-6.773574297,11.23315531,3,0.027,12.14287889,12.14287889,20
562,-1.144279663,0.801081395,3,0.028,12.14317911,12.14317911,20
563,-14.4806901,16.453272,3,0.02,12.15275009,12.15275009,20
564,-9.241736589,15.22000893,3,0.025,12.21209693,12.21209693,20
565,-5.806026912,-1.262216188,3,0.027,12.22279989,12.22279989,20
566,0.082306526,-2.242391751,3,0.037,12.22337617,12.22337617,20
567,-2.262477984,14.59807,9,0.084,12.28335712,12.28335712,20
568,-20.58039444,10.7274136,3,0.035,12.41428301,12.41428301,20
569,-1.976196815,0.11292816,3,0.035,12.42694432,12.42694432,20
570,-20.40053642,9.956612307,3,0.088,12.56164477,12.56164477,20
571,-16.3969447,13.4602845,3,0.028,12.60558527,12.60558527,20
572,-11.25174089,17.2293966,3,0.031,12.73219655,12.73219655,20
573,0.177472691,-1.639402472,3,0.021,12.82333381,12.82333381,20
574,-4.071047682,-3.504038967,3,0.033,12.98248954,12.98248954,20
575,-1.757104347,-20.7702091,3,0.034,13.11582923,13.11582923,20
576,-10.22569733,11.79331271,3,0.021,13.11720763,13.11720763,20
577,-11.26003992,13.62494965,3,0.017,13.13074889,13.13074889,20
578,-3.008347323,-2.359887379,3,0.033,13.31564476,13.31564476,20
579,-2.330038101,13.44954003,3,0.024,13.32682841,13.32682841,20
580,-19.30985446,6.950853239,3,0.078,13.33246227,13.33246227,20
581,-0.00640102,-2.611488241,3,0.011,13.39740715,13.39740715,20
582,-7.947783812,16.16144809,3,0.025,13.39959548,13.39959548,20
583,-4.011985944,15.0244752,3,0.02,13.45433855,13.45433855,20
584,-11.99110811,12.56429391,3,0.041,13.5431745,13.5431745,20
585,2.989169965,-0.989180285,3,0.021,13.59887774,13.59887774,20
586,-3.430925184,-1.818290072,3,0.03,13.62337373,13.62337373,20
587,-0.429386418,-3.075717942,3,0.018,13.63084795,13.63084795,20
588,-16.0533778,15.15597517,3,0.017,13.66180419,13.66180419,20
589,-10.73538868,12.41205113,3,0.043,13.77697615,13.77697615,20
590,-9.636771015,17.82362071,3,0.024,13.77824282,13.77824282,20
591,-2.310932097,-2.828020214,3,0.031,13.78521629,13.78521629,20
592,-15.33772178,16.67046953,3,0.083,13.99676373,13.99676373,20
