in,Node
1,1428
2,2778
3,2785
4,2631
5,2623
6,2623
7,2629
8,2524
9,2523
10,2516
11,2520
12,2517
13,2525
14,2525
15,2525
16,1183
17,2595
18,2595
19,2593
20,2568
21,2571
22,2627
23,2567
24,2567
25,2562
26,2568
27,2552
28,2562
29,2551
30,2548
31,495
32,495
33,495
34,2561
35,1185
36,2544
37,2561
38,494
39,484
40,480
41,2526
42,2496
43,2511
44,2485
45,2482
46,2482
47,490
48,492
49,491
50,1042
51,491
52,483
53,483
54,484
55,489
56,489
57,489
58,489
59,476
60,473
61,472
62,472
63,469
64,469
65,1242
66,1238
67,477
68,476
69,2787
70,472
71,476
72,1182
73,471
74,478
75,470
76,471
77,486
78,482
79,482
80,482
81,478
82,478
83,485
84,481
85,2473
86,2787
87,2474
88,488
89,486
90,488
91,2467
92,2475
93,2470
94,2467
95,2473
96,2472
97,1264
98,2577
99,2517
100,2503
101,2498
102,2504
103,2476
104,2476
105,2476
106,2502
107,1245
108,2500
109,2502
110,2501
111,2469
112,2472
113,2472
114,2472
115,2469
116,1242
117,2573
118,2435
119,2581
120,2590
121,1248
122,2591
123,2434
124,2582
125,2582
126,2572
127,2610
128,2616
129,2439
130,2440
131,2457
132,2439
133,2439
134,2440
135,2435
136,2435
137,2401
138,2400
139,2400
140,2433
141,2426
142,2432
143,2427
144,2430
145,2442
146,1239
147,2399
148,2401
149,2389
150,2391
151,2390
152,2390
153,2464
154,468
155,467
156,2380
157,2382
158,2389
159,2385
160,2385
161,2398
162,2401
163,2400
164,2387
165,2387
166,2385
167,2387
168,2373
169,2377
170,2377
171,1153
172,2377
173,1153
174,1153
175,2369
176,481
177,481
178,458
179,458
180,485
181,485
182,481
183,481
184,471
185,1146
186,451
187,458
188,458
189,465
190,466
191,465
192,466
193,458
194,458
195,458
196,457
197,451
198,457
199,449
200,451
201,471
202,471
203,1152
204,469
205,436
206,1167
207,469
208,469
209,430
210,431
211,449
212,449
213,449
214,451
215,1168
216,451
217,451
218,454
219,448
220,448
221,428
222,430
223,429
224,425
225,447
226,443
227,427
228,424
229,429
230,1168
231,1173
232,446
233,2403
234,2352
235,442
236,769
237,350
238,453
239,456
240,455
241,455
242,352
243,455
244,459
245,461
246,455
247,459
248,2348
249,814
250,452
251,2394
252,2392
253,2392
254,2357
255,2348
256,2355
257,2394
258,2450
259,2441
260,2441
261,2425
262,2404
263,2421
264,2424
265,2421
266,2403
267,2834
268,2833
269,2834
270,2834
271,2837
272,2829
273,2829
274,2745
275,2749
276,2749
277,2831
278,2831
279,2754
280,2755
281,2743
282,2743
283,2738
284,925
285,2736
286,2726
287,2667
288,2667
289,2646
290,930
291,2660
292,2658
293,2660
294,2665
295,2664
296,2663
297,777
298,2664
299,2655
300,2656
301,922
302,2655
303,746
304,2356
305,2712
306,2708
307,744
308,2709
309,1363
310,1358
311,735
312,827
313,2709
314,1422
315,747
316,1939
317,1939
318,1948
319,2827
320,1938
321,2835
322,1948
323,1948
324,2830
325,1948
326,742
327,1972
328,2835
329,1974
330,1945
331,1945
332,1943
333,1940
334,1925
335,1926
336,1924
337,1921
338,1925
339,1919
340,1916
341,2786
342,1919
343,1918
344,1910
345,1921
346,1920
347,1921
348,1887
349,1911
350,2776
351,1868
352,1439
353,1927
354,1420
355,1432
356,1378
357,2778
358,1364
359,1364
360,1359
361,1359
362,1358
363,1352
364,1122
365,1352
366,1354
367,1354
368,1354
369,1361
370,1354
371,1342
372,1351
373,1354
374,1354
375,1011
376,1341
377,1342
378,1214
379,1237
380,1233
381,1233
382,1232
383,1232
384,1236
385,1236
386,1235
387,1352
388,1236
389,1235
390,1232
391,1213
392,1231
393,1211
394,1222
395,1235
396,1234
397,2787
398,975
399,934
400,933
401,933
402,933
403,933
404,1194
405,2785
406,1204
407,1212
408,1196
409,1203
410,1194
411,2785
412,1202
413,1181
414,1192
415,962
416,1192
417,1317
418,1314
419,1220
420,1230
421,1220
422,1222
423,1218
424,1225
425,1227
426,1224
427,1215
428,2622
429,620
430,621
431,1215
432,1224
433,629
434,1337
435,1313
436,1321
437,1371
438,642
439,636
440,609
441,612
442,608
443,1322
444,1329
445,1374
446,1369
447,1278
448,1266
449,1266
450,563
451,1278
452,1278
453,1285
454,1265
455,1264
456,1264
457,1264
458,1264
459,1303
460,1223
461,1187
462,1187
463,1187
464,1189
465,1257
466,1256
467,585
468,1188
469,1256
470,1189
471,1188
472,1187
473,1186
474,1186
475,1188
476,1188
477,1252
478,1256
479,1177
480,1177
481,1177
482,1177
483,1177
484,912
485,1176
486,1176
487,561
488,913
489,1180
490,1190
491,1190
492,1190
493,914
494,2426
495,452
496,469
497,493
498,2655
499,2785
500,443
501,2596
502,2657
503,1220
504,2525
505,1248
506,2456
507,1166
508,2459
509,2737
510,2661
511,2747
512,1111
513,1280
514,2787
515,1354
516,2433
517,2551
518,2561
519,2535
520,1231
521,2500
522,1443
523,1221
524,1300
525,951
526,2834
527,2524
528,1211
529,2828
530,1244
531,1355
532,2743
533,2829
534,1353
535,1146
536,1202
537,1259
538,2386
539,2787
540,1183
541,484
542,1213
543,1929
544,457
545,458
546,2787
547,1179
548,738
549,2657
550,575
551,2787
552,1263
553,456
554,1439
555,2829
556,961
557,961
558,2497
559,2521
560,2438
561,1206
562,1243
563,1231
564,480
565,2521
566,2372
567,1210
568,817
569,478
570,2597
571,466
572,2444
573,1202
574,482
575,1210
576,1189
577,1947
578,734
579,2453
580,1225
581,481
582,2394
583,1939
584,1948
585,2584
586,2831
587,624
588,2498
589,763
590,2472
591,2662
592,1247
593,428
594,2459
595,1232
596,2465
597,1360
598,581
599,2661
600,2456
601,2834
602,457
603,2456
