in,x,y,q,tc,tr,te,tl
499,-15.40582996,10.81370241,3,0.021,8.075846279,8.075846279,20
500,-12.37233137,9.657090866,3,0.035,8.106632641,8.106632641,20
501,-11.95609952,11.72470457,3,0.035,8.156636092,8.156636092,20
502,-8.496417821,11.32621696,3,0.026,8.203992645,8.203992645,20
503,-12.95374728,10.19312964,3,0.018,8.243287414,8.243287414,20
504,-2.806476526,-1.443394713,3,0.047,8.252526828,8.252526828,20
505,-3.327853678,-0.446408725,3,0.025,8.257032754,8.257032754,20
506,-0.554371642,-5.450186049,3,0.049,8.299651323,8.299651323,20
507,-9.228911996,-3.863433231,3,0.034,8.30833613,8.30833613,20
508,2.077490744,3.237479007,3,0.026,8.373783013,8.373783013,20
509,-2.900208987,-15.88206128,3,0.022,8.476090479,8.476090479,20
510,0.365000531,-2.050861966,3,0.014,8.517129632,8.517129632,20
511,-1.849257492,-1.88474831,3,0.039,8.523243642,8.523243642,20
512,-2.059290998,-4.83019173,3,0.037,8.591461888,8.591461888,20
513,-9.329047415,7.852697645,3,0.022,8.608889428,8.608889428,20
514,-0.723674008,1.392885785,3,0.013,8.626490991,8.626490991,20
515,-0.442715106,-7.490923628,3,0.037,8.637502049,8.637502049,20
516,0.312602575,-18.01626909,3,0.023,8.664707221,8.664707221,20
517,-12.20107311,-4.48950335,3,0.03,8.684719141,8.684719141,20
518,-3.988162497,-1.071846149,3,0.04,8.777636011,8.777636011,20
519,-11.24027806,-0.207425732,3,0.023,8.870615683,8.870615683,20
520,-3.508291366,-0.196525494,3,0.022,8.894124123,8.894124123,20
521,3.46123386,5.982116359,3,0.032,8.903632916,8.903632916,20
522,-19.8922213,8.725589071,3,0.012,8.949173374,8.949173374,20
523,-0.429386418,-3.075717942,3,0.031,8.963659892,8.963659892,20
524,-2.43682837,-0.925191736,3,0.032,9.061955643,9.061955643,20
525,-1.380154638,-2.81652335,3,0.018,9.083798625,9.083798625,20
526,-2.310932097,-2.828020214,3,0.029,9.108187188,9.108187188,20
527,-2.442006753,-0.32009817,3,0.026,9.119434946,9.119434946,20
528,-7.165130781,-5.734291937,3,0.014,9.125841939,9.125841939,20
529,0.79342821,0.765527825,3,0.022,9.127922102,9.127922102,20
530,-16.45131732,12.23681506,3,0.021,9.134799035,9.134799035,20
531,-2.432912202,-3.877875586,3,0.03,9.135551559,9.135551559,20
532,-13.89673078,14.21496811,3,0.034,9.250505508,9.250505508,20
533,-7.418135367,11.72313608,3,0.024,9.286664502,9.286664502,20
534,-2.449124409,3.480476371,3,0.015,9.389735262,9.389735262,20
535,-1.614207004,14.05459569,3,0.056,9.398488901,9.398488901,20
536,-2.442896228,2.035990829,3,0.012,9.590483307,9.590483307,20
537,2.427604272,1.458614939,3,0.011,9.602863319,9.602863319,20
538,1.238298178,0.645364956,3,0.03,9.626418319,9.626418319,20
539,-9.409862737,8.964765733,3,0.032,9.63492447,9.63492447,20
540,-15.68804543,9.346817516,3,0.078,9.713872342,9.713872342,20
541,-1.431145455,-18.19544965,3,0.115,9.804732427,9.804732427,20
542,-16.86544621,9.853638173,3,0.06,9.813030451,9.813030451,20
543,-19.90235634,11.7070523,3,0.044,9.828639562,9.828639562,20
