in,x,y,q,tc,tr,te,tl
2,-15.521,13.775,3.0,0.051000000000000004,8.0,8.0,20.0
3,1.191,-7.979,3.0,0.051000000000000004,8.0,8.0,20.0
4,-0.663,-6.019,3.0,0.051000000000000004,8.0,8.0,20.0
5,0.805,-7.57,3.0,0.051000000000000004,8.0,8.0,20.0
6,-2.437,-17.48,3.0,0.051000000000000004,8.0,8.0,20.0
7,-3.064,-0.823,3.0,0.051000000000000004,8.0,8.0,20.0
8,-10.769,10.606,3.0,0.051000000000000004,8.0,8.0,20.0
9,-18.853,15.857,3.0,0.051000000000000004,8.0,8.0,20.0
10,-20.279,9.19,3.0,0.051000000000000004,8.0,8.0,20.0
11,-2.851,1.305,3.0,0.051000000000000004,8.0,8.0,20.0
12,4.875,2.489,3.0,0.051000000000000004,8.0,8.0,20.0
13,-2.628,1.805,3.0,0.051000000000000004,8.0,8.0,20.0
14,-19.243,10.268,3.0,0.051000000000000004,8.0,8.0,20.0
15,-0.892,2.506,3.0,0.051000000000000004,8.0,8.0,20.0
16,1.266,0.935,3.0,0.051000000000000004,8.0,8.0,20.0
17,-9.928,15.844,3.0,0.051000000000000004,8.0,8.0,20.0
18,-3.832,-1.31,3.0,0.051000000000000004,8.0,8.0,20.0
19,2.989,4.331,3.0,0.051000000000000004,8.0,8.0,20.0
20,-2.002,-7.855,3.0,0.051000000000000004,8.0,8.0,20.0
21,-1.739,-8.628,3.0,0.051000000000000004,8.0,8.0,20.0
22,-1.512,-18.726,3.0,0.051000000000000004,8.0,8.0,20.0
23,-1.205,-3.579,3.0,0.051000000000000004,8.0,8.0,20.0
24,-14.387,-0.175,3.0,0.051000000000000004,8.0,8.0,20.0
25,-1.506,-7.007,3.0,0.051000000000000004,8.0,8.0,20.0
26,-4.833,-4.51,3.0,0.051000000000000004,8.0,8.0,20.0
27,0.175,-7.691,3.0,0.051000000000000004,8.0,8.0,20.0
28,4.383,0.978,3.0,0.051000000000000004,8.0,8.0,20.0
29,-3.57,13.277,3.0,0.051000000000000004,8.0,8.0,20.0
30,-1.605,-8.429,3.0,0.051000000000000004,8.0,8.0,20.0
31,-18.623,13.129,3.0,0.051000000000000004,8.0,8.0,20.0
32,-14.863,16.311,3.0,0.051000000000000004,8.0,8.0,20.0
33,-10.23,3.94,3.0,0.051000000000000004,8.0,8.0,20.0
34,-2.94,-14.742,3.0,0.051000000000000004,8.0,8.0,20.0
35,-19.195,7.213,3.0,0.051000000000000004,8.0,8.0,20.0
36,-4.529,-1.514,3.0,0.051000000000000004,8.0,8.0,20.0
37,-0.887,0.989,3.0,0.051000000000000004,8.0,8.0,20.0
38,-13.058,9.664,3.0,0.051000000000000004,8.0,8.0,20.0
39,-1.33,-6.675,3.0,0.051000000000000004,8.0,8.0,20.0
40,-10.789,-3.092,3.0,0.051000000000000004,8.0,8.0,20.0
41,-2.572,-1.067,3.0,0.051000000000000004,8.0,8.0,20.0
42,1.041,-6.758,3.0,0.051000000000000004,8.0,8.0,20.0
43,-2.388,0.79,3.0,0.051000000000000004,8.0,8.0,20.0
44,-3.868,-1.894,3.0,0.051000000000000004,8.0,8.0,20.0
45,-11.899,12.673,3.0,0.051000000000000004,8.0,8.0,20.0
46,0.122,4.665,3.0,0.051000000000000004,8.0,8.0,20.0
47,-7.735,11.136,3.0,0.051000000000000004,8.0,8.0,20.0
48,-1.859,15.041,3.0,0.051000000000000004,8.0,8.0,20.0
49,-0.222,-1.62,3.0,0.051000000000000004,8.0,8.0,20.0
50,-0.595,0.108,3.0,0.051000000000000004,8.0,8.0,20.0
51,-9.476,17.168,3.0,0.051000000000000004,8.0,8.0,20.0
52,-2.626,-21.493,3.0,0.051000000000000004,8.0,8.0,20.0
53,-15.538,11.259,3.0,0.051000000000000004,8.0,8.0,20.0
54,-8.976,13.829,3.0,0.051000000000000004,8.0,8.0,20.0
55,-11.664,19.017,3.0,0.051000000000000004,8.0,8.0,20.0
56,-0.033,-8.186,3.0,0.051000000000000004,8.0,8.0,20.0
57,2.122,2.87,3.0,0.051000000000000004,8.0,8.0,20.0
58,-15.515,13.893,3.0,0.051000000000000004,8.0,8.0,20.0
59,-13.004,14.508,3.0,0.051000000000000004,8.0,8.0,20.0
60,-9.963,13.797,3.0,0.051000000000000004,8.0,8.0,20.0
61,-10.693,7.224,3.0,0.051000000000000004,8.0,8.0,20.0
62,-5.209,1.515,3.0,0.051000000000000004,8.0,8.0,20.0
63,-9.894,0.278,3.0,0.051000000000000004,8.0,8.0,20.0
64,-12.372,13.758,3.0,0.051000000000000004,8.0,8.0,20.0
65,-2.43,-22.552,3.0,0.051000000000000004,8.0,8.0,20.0
66,-11.3,12.811,3.0,0.051000000000000004,8.0,8.0,20.0
67,-21.998,11.232,3.0,0.051000000000000004,8.0,8.0,20.0
68,-7.395,8.272,3.0,0.051000000000000004,8.0,8.0,20.0
69,-18.622,11.914,3.0,0.051000000000000004,8.0,8.0,20.0
70,-16.176,10.635,3.0,0.051000000000000004,8.0,8.0,20.0
71,-19.646,9.202,3.0,0.051000000000000004,8.0,8.0,20.0
72,-20.376,11.593,3.0,0.051000000000000004,8.0,8.0,20.0
73,-19.411,11.046,3.0,0.051000000000000004,8.0,8.0,20.0
74,-15.452,13.928,3.0,0.051000000000000004,8.0,8.0,20.0
75,-12.133,-5.946,3.0,0.051000000000000004,8.0,8.0,20.0
76,-11.541,17.886,3.0,0.051000000000000004,8.0,8.0,20.0
77,-22.4,8.47,3.0,0.051000000000000004,8.0,8.0,20.0
78,-15.748,12.136,3.0,0.051000000000000004,8.0,8.0,20.0
79,-10.948,19.325,3.0,0.051000000000000004,8.0,8.0,20.0
80,-12.549,17.895,3.0,0.051000000000000004,8.0,8.0,20.0
81,-19.733,10.844,3.0,0.051000000000000004,8.0,8.0,20.0
82,-20.292,10.149,3.0,0.051000000000000004,8.0,8.0,20.0
83,-2.769,-16.074,3.0,0.051000000000000004,8.0,8.0,20.0
84,-0.791,-4.488,3.0,0.051000000000000004,8.0,8.0,20.0
85,-1.006,-6.176,3.0,0.051000000000000004,8.0,8.0,20.0
86,-11.739,12.276,3.0,0.051000000000000004,8.0,8.0,20.0
87,-11.695,9.433,3.0,0.051000000000000004,8.0,8.0,20.0
88,-9.049,7.391,3.0,0.051000000000000004,8.0,8.0,20.0
89,-6.094,9.277,3.0,0.051000000000000004,8.0,8.0,20.0
90,-1.474,-0.07,3.0,0.051000000000000004,8.0,8.0,20.0
91,3.021,-0.127,3.0,0.051000000000000004,8.0,8.0,20.0
92,0.711,-4.052,3.0,0.051000000000000004,8.0,8.0,20.0
93,-5.105,-0.555,3.0,0.051000000000000004,8.0,8.0,20.0
94,3.334,0.86,3.0,0.051000000000000004,8.0,8.0,20.0
95,-9.449,-5.309,3.0,0.051000000000000004,8.0,8.0,20.0
96,-15.288,8.253,3.0,0.051000000000000004,8.0,8.0,20.0
97,-10.747,10.031,3.0,0.051000000000000004,8.0,8.0,20.0
98,-2.262,-3.812,3.0,0.051000000000000004,8.0,8.0,20.0
99,-17.916,14.262,3.0,0.051000000000000004,8.0,8.0,20.0
100,-0.682,-3.69,3.0,0.051000000000000004,8.0,8.0,20.0
101,-0.802,-5.603,3.0,0.051000000000000004,8.0,8.0,20.0
102,-0.749,-17.759,3.0,0.051000000000000004,8.0,8.0,20.0
103,-9.635,17.359,3.0,0.051000000000000004,8.0,8.0,20.0
104,-2.695,2.178,3.0,0.051000000000000004,8.0,8.0,20.0
105,-3.674,-0.424,3.0,0.051000000000000004,8.0,8.0,20.0
106,-13.861,9.896,3.0,0.051000000000000004,8.0,8.0,20.0
107,-1.192,1.679,3.0,0.051000000000000004,8.0,8.0,20.0
108,-3.985,15.546,3.0,0.051000000000000004,8.0,8.0,20.0
109,-0.374,-2.722,3.0,0.051000000000000004,8.0,8.0,20.0
110,-1.59,-5.812,3.0,0.051000000000000004,8.0,8.0,20.0
111,-12.699,-0.075,3.0,0.051000000000000004,8.0,8.0,20.0
112,-1.774,-2.984,3.0,0.051000000000000004,8.0,8.0,20.0
113,-9.179,9.925,3.0,0.051000000000000004,8.0,8.0,20.0
114,-11.171,10.138,3.0,0.051000000000000004,8.0,8.0,20.0
115,-1.717,-3.155,3.0,0.051000000000000004,8.0,8.0,20.0
116,-8.295,11.262,3.0,0.051000000000000004,8.0,8.0,20.0
117,-0.071,-0.543,3.0,0.051000000000000004,8.0,8.0,20.0
118,2.507,2.006,3.0,0.051000000000000004,8.0,8.0,20.0
119,-9.511,14.676,3.0,0.051000000000000004,8.0,8.0,20.0
120,4.714,1.947,3.0,0.051000000000000004,8.0,8.0,20.0
121,-8.667,9.319,3.0,0.051000000000000004,8.0,8.0,20.0
122,-1.358,1.259,3.0,0.051000000000000004,8.0,8.0,20.0
123,-13.958,11.38,3.0,0.051000000000000004,8.0,8.0,20.0
124,-0.947,-8.38,3.0,0.051000000000000004,8.0,8.0,20.0
125,-1.043,-6.358,3.0,0.051000000000000004,8.0,8.0,20.0
126,0.451,3.074,3.0,0.051000000000000004,8.0,8.0,20.0
127,4.674,2.54,3.0,0.051000000000000004,8.0,8.0,20.0
128,-2.695,-15.684,3.0,0.051000000000000004,8.0,8.0,20.0
129,-5.379,-1.996,3.0,0.051000000000000004,8.0,8.0,20.0
130,-11.594,10.631,3.0,0.051000000000000004,8.0,8.0,20.0
131,-8.235,9.851,3.0,0.051000000000000004,8.0,8.0,20.0
132,-3.55,1.577,3.0,0.051000000000000004,8.0,8.0,20.0
133,-0.223,-4.6,3.0,0.051000000000000004,8.0,8.0,20.0
134,-10.218,14.856,3.0,0.051000000000000004,8.0,8.0,20.0
135,-2.994,3.473,3.0,0.051000000000000004,8.0,8.0,20.0
136,-9.349,13.487,3.0,0.051000000000000004,8.0,8.0,20.0
137,-19.005,10.632,3.0,0.051000000000000004,8.0,8.0,20.0
138,0.587,-17.713,3.0,0.051000000000000004,8.0,8.0,20.0
139,-11.046,13.339,3.0,0.051000000000000004,8.0,8.0,20.0
140,-15.145,8.449,3.0,0.051000000000000004,8.0,8.0,20.0
141,3.03,-1.029,3.0,0.051000000000000004,8.0,8.0,20.0
142,-12.076,10.623,3.0,0.051000000000000004,8.0,8.0,20.0
143,-1.477,-2.943,3.0,0.051000000000000004,8.0,8.0,20.0
144,-7.312,0.545,3.0,0.051000000000000004,8.0,8.0,20.0
145,-16.462,11.127,3.0,0.051000000000000004,8.0,8.0,20.0
146,-14.901,10.421,3.0,0.051000000000000004,8.0,8.0,20.0
147,-9.685,16.373,3.0,0.051000000000000004,8.0,8.0,20.0
148,2.942,-1.233,3.0,0.051000000000000004,8.0,8.0,20.0
149,-7.129,7.548,3.0,0.051000000000000004,8.0,8.0,20.0
150,0.141,-3.494,3.0,0.051000000000000004,8.0,8.0,20.0
151,-12.729,12.483,3.0,0.051000000000000004,8.0,8.0,20.0
152,-1.768,-11.248,3.0,0.051000000000000004,8.0,8.0,20.0
153,-14.481,12.656,3.0,0.051000000000000004,8.0,8.0,20.0
154,-15.505,8.911,3.0,0.051000000000000004,8.0,8.0,20.0
155,1.246,5.834,3.0,0.051000000000000004,8.0,8.0,20.0
156,3.166,-0.484,3.0,0.051000000000000004,8.0,8.0,20.0
157,-6.405,7.263,3.0,0.051000000000000004,8.0,8.0,20.0
158,-6.51,-0.882,3.0,0.051000000000000004,8.0,8.0,20.0
159,-11.282,9.187,3.0,0.051000000000000004,8.0,8.0,20.0
160,-13.99,15.402,3.0,0.051000000000000004,8.0,8.0,20.0
161,-2.954,-0.317,3.0,0.051000000000000004,8.0,8.0,20.0
162,-3.397,-0.22,3.0,0.051000000000000004,8.0,8.0,20.0
163,-18.358,11.136,3.0,0.051000000000000004,8.0,8.0,20.0
164,-18.786,15.935,3.0,0.051000000000000004,8.0,8.0,20.0
165,-9.347,9.468,3.0,0.051000000000000004,8.0,8.0,20.0
166,-2.101,-22.36,3.0,0.051000000000000004,8.0,8.0,20.0
167,-4.431,-4.829,3.0,0.051000000000000004,8.0,8.0,20.0
168,-8.857,8.412,3.0,0.051000000000000004,8.0,8.0,20.0
169,-19.117,9.911,3.0,0.051000000000000004,8.0,8.0,20.0
170,-7.09,3.567,3.0,0.051000000000000004,8.0,8.0,20.0
171,-15.237,9.674,3.0,0.051000000000000004,8.0,8.0,20.0
172,-9.92,12.625,3.0,0.051000000000000004,8.0,8.0,20.0
173,2.977,0.262,3.0,0.051000000000000004,8.0,8.0,20.0
174,-10.339,-2.245,3.0,0.051000000000000004,8.0,8.0,20.0
175,3.819,1.173,3.0,0.051000000000000004,8.0,8.0,20.0
176,-3.023,-17.771,3.0,0.051000000000000004,8.0,8.0,20.0
177,1.84,5.291,3.0,0.051000000000000004,8.0,8.0,20.0
178,-3.58,-0.995,3.0,0.051000000000000004,8.0,8.0,20.0
179,-10.855,12.513,3.0,0.051000000000000004,8.0,8.0,20.0
180,-7.541,0.565,3.0,0.051000000000000004,8.0,8.0,20.0
181,-11.322,14.368,3.0,0.051000000000000004,8.0,8.0,20.0
182,-3.545,0.734,3.0,0.051000000000000004,8.0,8.0,20.0
183,3.183,6.17,3.0,0.051000000000000004,8.0,8.0,20.0
184,-0.528,3.415,3.0,0.051000000000000004,8.0,8.0,20.0
185,-4.076,-3.854,3.0,0.051000000000000004,8.0,8.0,20.0
186,-2.001,-5.085,3.0,0.051000000000000004,8.0,8.0,20.0
187,-0.993,-18.135,3.0,0.051000000000000004,8.0,8.0,20.0
188,-4.179,15.194,3.0,0.051000000000000004,8.0,8.0,20.0
189,-15.134,10.093,3.0,0.051000000000000004,8.0,8.0,20.0
190,-7.054,10.764,3.0,0.051000000000000004,8.0,8.0,20.0
191,-15.965,-0.112,3.0,0.051000000000000004,8.0,8.0,20.0
192,-9.628,-4.385,3.0,0.051000000000000004,8.0,8.0,20.0
193,-5.576,1.418,3.0,0.051000000000000004,8.0,8.0,20.0
194,-10.551,5.451,3.0,0.051000000000000004,8.0,8.0,20.0
195,1.877,0.576,3.0,0.051000000000000004,8.0,8.0,20.0
196,-16.272,12.593,3.0,0.051000000000000004,8.0,8.0,20.0
197,-9.273,17.448,3.0,0.051000000000000004,8.0,8.0,20.0
198,-3.558,-4.89,3.0,0.051000000000000004,8.0,8.0,20.0
199,-15.996,11.783,3.0,0.051000000000000004,8.0,8.0,20.0
