in,Lon,Lat,x,y,q,tc,te,tl,Node
CT-1011.1,-118.2929991,34.2594785,-2.262,14.598,178,2.967,8,20,2787
CT-1011.22,-118.2901593,34.2677264,-2.1,15.168,168,2.8,8,20,2787
CT-1012.2,-118.281645,34.25161318,-1.614,14.055,155,2.583,8,20,2787
CT-1012.21,-118.2925889,34.25433384,-2.239,14.243,132,2.2,8,20,2787
CT-1012.22,-118.2885383,34.25135681,-2.008,14.037,123,2.05,8,20,2787
CT-1013,-118.2710113,34.24878318,-1.007,13.859,159,2.65,8,20,2787
CT-1014,-118.2941741,34.24285664,-2.33,13.45,151,2.517,8,20,2786
CT-1021.03,-118.3542002,34.22508405,-5.76,12.221,113,1.883,8,20,2616
CT-1021.04,-118.3454105,34.21619234,-5.258,11.607,191,3.183,8,20,2776
CT-1021.05,-118.3492775,34.20988084,-5.48,11.171,77,1.283,8,20,2672
CT-1021.07,-118.3380203,34.24047789,-4.835,13.285,180,3,8,20,2778
CT-1031.01,-118.3078996,34.27324569,-3.113,15.549,110,1.833,8,20,2785
CT-1031.02,-118.3074005,34.26338917,-3.085,14.868,219,3.65,8,20,2785
CT-1032.01,-118.3236389,34.26564955,-4.012,15.024,172,2.867,8,20,2785
CT-1032.02,-118.3435122,34.27493967,-5.146,15.666,171,2.85,8,20,2622
CT-1033,-118.3554902,34.25738348,-5.831,14.453,167,2.783,8,20,2778
CT-1034.01,-118.3183972,34.25397365,-3.713,14.218,99,1.65,8,20,2785
CT-1034.02,-118.3083605,34.25594539,-3.14,14.354,176,2.933,8,20,2785
CT-1041.03,-118.3925886,34.28210415,-7.948,16.161,227,3.783,8,20,2596
CT-1041.05,-118.404698,34.2761529,-8.64,15.75,313,5.217,8,20,2596
CT-1041.08,-118.3985819,34.2731546,-8.291,15.543,336,5.6,8,20,2597
CT-1041.24,-118.3748431,34.28728811,-6.934,16.52,201,3.35,8,20,2631
CT-1042.01,-118.416112,34.28650543,-9.29,16.466,314,5.233,8,20,2623
CT-1042.03,-118.4115664,34.27906279,-9.032,15.951,390,6.5,8,20,2623
CT-1042.04,-118.3954524,34.28935438,-8.111,16.662,280,4.667,8,20,2629
CT-1043.1,-118.4292934,34.27637805,-10.044,15.766,434,7.233,8,20,2524
CT-1043.21,-118.418096,34.27166305,-9.405,15.44,145,2.417,8,20,2525
CT-1043.22,-118.4218872,34.27424427,-9.621,15.618,128,2.133,8,20,2524
CT-1044.01,-118.4327339,34.26704367,-10.242,15.121,274,4.567,8,20,2523
CT-1044.03,-118.4345058,34.25879959,-10.344,14.551,164,2.733,8,20,2516
CT-1044.04,-118.4287037,34.26392554,-10.012,14.905,283,4.717,8,20,2520
CT-1045,-118.4257603,34.25551576,-9.845,14.324,190,3.167,8,20,2517
CT-1046.1,-118.4190051,34.26044043,-9.458,14.665,274,4.567,8,20,2525
CT-1046.2,-118.422477,34.25790924,-9.657,14.49,248,4.133,8,20,2525
CT-1047.01,-118.4152261,34.26847937,-9.242,15.22,299,4.983,8,20,2525
CT-1047.03,-118.4006005,34.25522985,-8.408,14.304,155,2.583,8,20,2595
CT-1047.04,-118.4088744,34.26253546,-8.88,14.809,296,4.933,8,20,2595
CT-1048.21,-118.4163078,34.24657539,-9.306,13.706,203,3.383,8,20,2521
CT-1048.22,-118.4209572,34.24587528,-9.572,13.658,156,2.6,8,20,2593
CT-1048.23,-118.4130215,34.24897009,-9.118,13.872,363,6.05,8,20,2521
CT-1048.24,-118.4095491,34.25150202,-8.919,14.047,220,3.667,8,20,2595
CT-1060.1,-118.4434157,34.32534619,-10.844,19.149,217,3.617,8,20,2568
CT-1060.2,-118.4283916,34.32128226,-9.987,18.869,234,3.9,8,20,2571
CT-1061.11,-118.4099096,34.31891151,-8.933,18.705,220,3.667,8,20,2567
CT-1061.12,-118.412407,34.30554745,-9.077,17.781,272,4.533,8,20,2627
CT-1061.13,-118.4222197,34.30615959,-9.637,17.824,203,3.383,8,20,2567
CT-1061.14,-118.4270021,34.30273132,-9.91,17.587,472,7.867,8,20,2567
CT-1064.03,-118.4412865,34.30602351,-10.725,17.814,221,3.683,8,20,2562
CT-1064.05,-118.4482978,34.31469111,-11.124,18.413,226,3.767,8,20,2568
CT-1064.06,-118.4598496,34.32224571,-11.782,18.935,271,4.517,8,20,2552
CT-1064.07,-118.4365695,34.31057898,-10.455,18.129,120,2,8,20,2566
CT-1064.08,-118.4400887,34.31326765,-10.656,18.315,309,5.15,8,20,2562
CT-1065.1,-118.4848513,34.32359049,-13.209,19.028,385,6.417,8,20,2551
CT-1065.2,-118.4613647,34.30886233,-11.871,18.01,297,4.95,8,20,2548
CT-1066.03,-118.5204596,34.31263732,-15.243,18.271,174,2.9,8,20,493
CT-1066.04,-118.473696,34.30443704,-12.575,17.705,262,4.367,8,20,2535
CT-1066.41,-118.5084454,34.29847398,-14.56,17.293,120,2,8,20,493
CT-1066.42,-118.5070259,34.28632751,-14.481,16.453,143,2.383,8,20,495
CT-1066.43,-118.5220478,34.28947085,-15.338,16.67,204,3.4,8,20,484
CT-1066.45,-118.4941853,34.29056796,-13.747,16.746,233,3.883,8,20,495
CT-1066.46,-118.4939571,34.27974283,-13.736,15.998,144,2.4,8,20,495
CT-1066.48,-118.4558469,34.29310318,-11.558,16.921,270,4.5,8,20,2561
CT-1066.49,-118.4606676,34.28925459,-11.834,16.656,166,2.767,8,20,2544
CT-1070.1,-118.4467328,34.30208522,-11.036,17.542,209,3.483,8,20,2561
CT-1070.2,-118.450494,34.29755981,-11.252,17.229,495,8.25,8,20,2561
CT-1081.01,-118.5416647,34.27931073,-16.46,15.968,105,1.75,8,20,484
CT-1081.02,-118.5550788,34.28046342,-17.225,16.048,136,2.267,8,20,494
CT-1081.03,-118.5400123,34.28643079,-16.364,16.46,167,2.783,8,20,484
CT-1081.04,-118.5460205,34.29431839,-16.705,17.005,109,1.817,8,20,494
CT-1082.02,-118.5816186,34.28674039,-18.739,16.482,433,7.217,8,20,480
CT-1082.03,-118.5616672,34.29308797,-17.599,16.92,150,2.5,8,20,494
CT-1082.04,-118.5667164,34.28091058,-17.89,16.079,106,1.767,8,20,480
CT-1091,-118.4631721,34.27716748,-11.978,15.82,117,1.95,8,20,2540
CT-1092,-118.4745027,34.27743373,-12.625,15.839,140,2.333,8,20,2526
CT-1093,-118.4804457,34.27120314,-12.966,15.408,122,2.033,8,20,492
CT-1094,-118.4557131,34.26872002,-11.554,15.237,179,2.983,8,20,2496
CT-1095,-118.4440484,34.27384352,-10.887,15.591,359,5.983,8,20,2511
CT-1096.01,-118.451462,34.25863004,-11.312,14.539,213,3.55,8,20,2485
CT-1096.03,-118.465428,34.25365666,-12.111,14.196,196,3.267,8,20,2482
CT-1096.04,-118.4653641,34.26154941,-12.106,14.741,139,2.317,8,20,2482
CT-1097,-118.4809004,34.2619391,-12.993,14.768,225,3.75,8,20,490
CT-1098,-118.4816096,34.25371631,-13.035,14.2,248,4.133,8,20,490
